entry_id	trans_english	Chatino,_Zacatepec_Phonemic
10.49	go away, depart	kyā; tyā
10.491	disappear	ha čkãʔ ?a
10.51	flee	šnã
10.52	follow	tʸoʔo ndaʔã; tʸaʔã ndaʔã
10.53	pursue	tʸoʔo ndaʔã ʔĩ
10.55	reach, arrive	kila ~ kala
10.56	approach	hʸã kʷiʔ seʔẽ ti
10.57	enter	stẽ
10.61	carry (bear)	kutī̃
10.612	carry-in-hand	tʸukʷi yaʔ (kyā)
10.613	carry-on-shoulder	kʷiʔʸa
10.614	carry-on-head	kutī̃ ke
10.615	carry-underarm	suʔʷa ... tu skũ
10.62	bring	wʔʸa; c̷ā ʔʸa
10.63	send	suʔʷa
10.64	lead (vb)	kulo tukʷī̃; kʷuʔu tukʷī̃
10.65	drive	c̷ā loʔo
10.66	ride	tʸukʷa
10.67	push, shove	tukʷa naʔā̃
10.71	road	tukʷī̃ tlʸu
10.72	path	tukʷī̃ lti ti; tukʷī̃ ndʸaʔã kiyaʔ-
10.74	bridge	[kʷin'te]
10.75	carriage, wagon, cart	[ka're ta]
10.76	wheel	sneʔ
10.77	axle	--
10.78	yoke	yka yō
10.81	ship	yka naʔã
10.83	boat	yka naʔã
10.831	canoe	[ka ndu'wa]
10.832	outrigger	--
10.84	raft	--
10.85	oar	--
10.851	paddle (noun)	--
10.852	row (vb)	--
10.86	rudder	yaʔ yka naʔã
10.87	mast	yka ndʸū̃ hluʔʷe (yka naʔã)
10.88	sail (noun)	teʔ ndukʷi lō
10.89	anchor	čkʷã stãʔ
10.91	harbor, port	kičẽ tuʔʷa tuhoʔo
10.92	land (vb)	tʸoʔo; kiʔʸa l-yū
11.11	have	šuʔʷi
11.12	own, possess	tiya ʔĩ; šuʔʷi ʔĩ
11.13	take	šɲi
11.14	seize, grasp	šɲi; ta-yaʔ
11.15	hold	tʸukʷi yaʔ-
11.16	get, obtain	kaha
11.17	keep, retain	šnũ suʔʷe; šoʔ suʔʷa
11.18	thing	nã; čaʔ
11.21	give	ta
11.22	give back	tʸa
11.24	preserve, look after	kuʔni kʷã ʔĩ; kʷaʔa
11.25	save, rescue	kulā
11.27	destroy	katĩ; kuʔni tʸī
11.28	harm, injure, damage	kuʔni ɲuʔũ; kaha ča
11.31	seek, look for	kunā̃
11.32	find	kaha
11.33	lose	suʔʷa tnaʔ
11.34	release, let go	kulā; štiʔ
11.43	money	tɲi
11.44	coin	tɲi
11.51	rich	kuliyaʔ
11.52	poor	tiʔi
11.53	beggar	nu nhɲã [lomstã]
11.54	avaricious, stingy	tihi
11.61	lend	hɲiʔ
11.62	borrow	nã nhɲã
11.63	owe	c̷a tukʷi
11.64	debt	tneʔ
11.65	pay (vb)	tʸa tɲi; šuʔʷa tneʔ
11.66	account, reckoning	[kʷen'ta]
11.69	tax, tribute	tɲi tɲã lō; tɲi nu ndlo neʔ lka tɲã
11.77	hire	ta hɲã ʔĩ
11.78	wages	siyaʔ-
11.79	earn	kaha tɲi; kuʔni [kanã]
11.81	buy	šiʔi
11.82	sell	kuhʷiʔ
11.83	trade, barter	šaʔã yuʔʷa
11.84	merchant	neʔ mseʔ; neʔ tā̃
11.85	market (place)	lo kiyaʔ; na?ã kiyaʔ
11.86	store, shop	[tiyẽ n'ta]
11.87	price	liyaʔ
11.88	dear (costly, expensive)	kaʔã ngaʔã; kaʔã nsuʔʷi lō
11.89	cheap	šʔnã
11.91	share (distribute)	kuc̷a
11.92	weigh	kulo wiyaʔ tiʔĩ
12.1	after	čũʔ ndiʔĩ la
12.11	behind	čũʔ; nde čũʔ
12.2	beside	nde laʔa; nde siʔ-
12.3	down, below	ʔʸa; nde ʔʸa
12.4	before	lō; nde lō; kulo la; nutihi ka
12.41	front	nu ndukʷa lō; nu ngʷa ti kulo
12.5	inside, in	niʔ; nde niʔ
12.6	outside	liyaʔ
12.7	under	niʔ
12.8	up, above	lō
12.11	place	seʔẽ
12.12	put	suʔʷa; štʸa
12.13	sit	tʸukʷa
12.14	lie down	škʷa; štʸi
12.15	stand	c̷ā tū̃
12.16	remain, stay	kinũ
12.17	remains, left overs	nu ti ndukʷa la
12.21	collect, gather	šoʔ tiʔĩ
12.212	pick up	kusoʔ
12.213	pile up	šoʔ tiʔĩ
12.22	join, unite	kala
12.23	separate	suʔʷe tiʔĩ
12.232	divide	suʔʷe
12.24	open	slā; kalā
12.25	shut, close	tukũʔ
12.26	cover	kušī̃
12.27	hide, conceal	suʔʷa kuc̷iʔ
12.31	high	kʷã; nde kʷã
12.32	low	tɲã; ka tɲãla
12.33	top	lō
12.34	bottom	kiyaʔ; sū̃; tuseʔẽ
12.35	end	lō--; la wa mdʸī--
12.352	pointed	ča lō
12.353	edge	tuʔʷa
12.36	side	siʔ; laʔa; c̷uʔ
12.37	middle, center	hluʔʷe la
12.41	right (side)	laʔa seʔẽ kʷĩ
12.42	left (side)	laʔa seʔẽ kā
12.43	near (adv)	kʷiʔ ti; kʷiʔ seʔẽ ti
12.44	far (adv)	tihʸuʔ
12.45	east	seʔẽ ndʸoʔo-tukʷa kʷičā
12.46	west	seʔẽ ngyā kʷičā
12.47	north	nde hiʔni; nde seʔẽ tuʔʷa
12.48	south	nde hiʔni; seʔẽ ndʸaʔã kʷiča; nde seʔẽ tikēʔ
12.53	grow	kalū
12.54	measure	kulo wiyaʔ
12.541	span, fathom	skũ
12.55	large, big	tlʸu
12.56	small, little	lʸuʔ; šuwe
12.57	long	tukʷī̃; tukʷī̃ kuʔ
12.58	tall	kʷã
12.59	short	lʸuʔ (ti) kuʔ; šuwe kuʔ
12.61	wide, broad	šē̃ lō
12.62	narrow	lti ti; lti lō
12.63	thick (in dimension)	tnũ tuʔʷa
12.65	thin (in dimension)	ti ~ lti
12.67	deep	kiʔɲi; tlʸā
12.68	shallow	lti ti tiʔa
12.71	flat	lkʷa
12.73	straight	ɲi
12.74	crooked	ykʷã
12.75	hook	čkʷã skĩʔ
12.76	corner	nskã
12.77	cross	[krsi]; wsi
12.78	square	nã hakʷa nskã
12.81	round	skʷi
12.82	circle	lō skʷi; sneʔ
12.83	sphere, ball	mluʔ
12.84	line	sta
12.85	hole	
12.92	like, similar	suʔʷa; taʔa; taʔa suʔʷa
12.93	change	šaʔã; šisaʔã
13.0	zero, nothing	ʔa ska
13.1	one	ska
13.2	two	tukʷa
13.3	three	snã
13.4	four	hakʷa
13.5	five	kiʔʸu
13.6	six	skʷa
13.7	seven	kati
13.8	eight	snuʔ
13.9	nine	kā
13.10	ten	tī
13.101	eleven	tī ška
13.102	twelve	ti tʸukʷa
13.103	fifteen	tiʔʸũ
13.104	twenty	ka-la
13.105	hundred	ska [si'yẽ tu]
13.106	thousand	[mi]
13.107	count	kʷa
13.14	every, all	nǰga nã; ti-tiya nã
13.15	much, many	kaʔã ~ hnaʔã ~ kinaʔã
13.16	more	hnaʔã la
13.17	little (quantity), few	čĩʔ ti
13.18	enough	(wi)yaʔ
13.181	some	ndiya čĩʔ
13.19	multitude, crowd	sa tlʸu ti; hnaʔã nten
13.21	full	nã msaʔã
13.22	empty	laha
13.23	part, piece	yuʔʷe
13.24	half	sa hluʔʷe nã
13.33	alone, only	ska ti
13.34	first	ti kulo; nu nčka kulo
13.35	last	nu wa ndʸī
13.36	second	nu nčka tukʷa
13.37	pair	ska lta
13.38	two times	tukʷa yaʔ tukʷa lta
13.42	third	nu nčka snã
13.44	three times	snã yaʔ
14.11	time	[wra]
14.12	age	sa-kʷa yihã nsuʔʷi
14.13	new	kʷi; tihi
14.14	young	kuneʔ
14.15	old	kula
14.16	early	ti tlʸa
14.17	late	wa m-sĩ
14.18	now	ni
14.19	immediately	[wra]; lʸa
14.21	swift, fast, quick	ndla ti; ndze
14.22	slow	tiyaʔ; čã
14.23	hasten, hurry	kuʔni ndla; ndla tiʔ
14.24	retard, delay	kuʔni tiyaʔ
14.25	begin, beginning	tʸisnã ~ tʸukʷi snã
14.252	last, endure	ta-lō
14.26	end (temporal)	la wa mdʸī čaʔ
14.27	finish	kuʔni tʸī
14.28	cease, stop	hakuʔni; hakalaʔ; c̷ā tū̃
14.29	ready	walka ča; tʸiʔĩ ndla
14.31	always	nǰga [wra]; škʷiʔ
14.32	often	taʔa ti
14.33	sometimes	ndiya yaʔ
14.331	soon	ndla; ndze
14.332	long-time (for a)	sʔni; ti šʔni
14.34	never	ha yaʔ; ʔaska yaʔ
14.35	again	šiyaʔ
14.41	day	c̷ã
14.42	night	tla
14.43	dawn	kiʔya šā
14.44	morning	nde tlʸa
14.45	noon, midday	ndiʔʸa kʷã
14.451	afternoon	la msĩ
14.46	evening	nu šiʔĩ ti šā
14.47	today	c̷ã ni
14.48	tomorrow	la kʸā; tʸā
14.481	day-after-tomorrow	wča
14.49	yesterday	kā
14.491	day-before-yesterday	ti; la ti
14.51	hour	[wra]
14.53	clock, timepiece	čkʷã [wra]
14.61	week	[smnã]
14.62	Sunday	[tumĩ 'ku]
14.63	Monday	[lu'ni]
14.64	Tuesday	[mar'te]
14.65	Wednesday	[mer'ku]
14.66	Thursday	['hwēwe]
14.67	Friday	[wi'er ne]
14.68	Saturday	['saru]
14.71	month	koʔ
14.73	year	yihã
14.74	winter	koʔ-tlʸaʔ
14.75	spring	niʔ kʷã
14.76	summer	niʔ kʸō
14.77	autumn	koʔ kē; koʔ taʔa hʸoʔo
14.78	season	koʔ (niʔ) kʷã; koʔ (niʔ) kʸō
15.21	smell (vb intrans)	tʸukʷa tʸiʔi
15.212	sniff	
15.22	smell (vb trans)	ykʷẽʔ (tʸiʔi)
15.25	fragrant, good smelling	ši tʸiʔi
15.26	stinking, bad smelling	čẽ ɲaʔã tʸiʔi; tukũ tʸiʔi
15.31	taste	tiya tiʔ; (ku) wiyaʔ ʔĩã
15.35	sweet	ši
15.36	salty	tiyẽʔ
15.37	bitter	tlʸā
15.38	acid, sour	tiyeʔ; šeʔ
15.39	brackish	nã tiyẽʔ
15.41	hear	kunã
15.42	listen	kunã
15.44	sound, noise	nu kʷẽ nginẽ; nu nda tʸiʔi
15.45	loud	kʷẽ tʸiʔi
15.46	quiet, silence	tī̃; nu tī̃ (ti) ndiʔĩ
15.51	see	ɲaʔã
15.52	look, look at	ɲaʔã kʷiʔʸa
15.55	show	kʷuʔu
15.56	shine	šuʔʷi šā
15.57	bright	šā
15.61	color	[ko'lo]
15.62	light (in color)	luwi
15.63	dark (in color)	tla
15.64	white	ngatẽ
15.65	black	ngata
15.66	red	ngaʔa
15.67	blue	kušiʔ
15.68	green	ngaʔā
15.69	yellow	kuc̷i
15.71	touch	kalaʔ
15.712	pinch	šɲãʔ
15.72	feel	kuwe tiʔ; kī tiʔ
15.74	hard	tla
15.75	soft	hoʔo
15.76	rough	čeʔ
15.77	smooth	kuti
15.78	sharp	ča
15.79	blunt, dull	kũʔ
15.81	heavy	tiʔĩ
15.82	light (in weight)	sa
15.83	wet, damp	lc̷aʔ
15.84	dry	wtʸi
15.85	hot	tikēʔ
15.851	warm	c̷ũ
15.86	cold	tlʸaʔ
15.87	clean	luwi
15.88	dirty, soiled	kūʔ
15.89	wrinkled	tē̃ʔ
16.11	soul, spirit	[krsi'ya]; tiye
16.15	surprised, astonished	yc̷ẽ; nduwe tiʔ
16.18	good fortune, luck	čaʔ suʔʷe nu kaha ʔnā̃
16.19	misfortune, bad luck	ha mdoʔo suʔʷe čaʔ; ha ngyā toʔo suʔwe
16.23	joyful, glad, happy	c̷ā tiʔ; suʔʷe nsuʔʷi tiye
16.25	laugh	stʸi
16.251	smile	stʸi
16.26	play	kihʸa; tʸiʔĩ-hʸa
16.27	love	suʔʷe šuʔʷi tiye loʔo; tiya tiʔ
16.29	kiss	ku tuʔʷa; ku skaʔ
16.3	embrace	šɲi skũ
16.31	pain	tiʔi
16.32	grief, sorrow, sadness	čaʔ šiʔĩ
16.33	anxiety, worry	nduwe tiʔ; (lʸe ʔa) ndaʔã ʔa čaʔ tiye
16.34	regret, be sorry	ka šiʔĩ tiʔ; šiʔʸa
16.35	pity	tʔnã
16.37	cry, weep	kunã
16.38	tear (noun)	tiʔa kilō
16.39	groan	tuʔʷa tʸiʔi
16.41	hate	tiʔi tiʔ
16.42	anger	msĩʔ tiʔ; [mnã]
16.44	envy, jealousy	tiʔi tiʔ
16.45	shame (noun)	hʸuʔu tiʔ
16.48	proud	siyeʔ
16.51	dare	kuʔni tnũ tiye
16.52	brave	ngula; ngula tiye
16.53	fear, fright	kuc̷ẽ-
16.54	danger	seʔẽ kuši ti
16.62	desire, want	nčka tiʔ; nhɲã [krsiya]
16.622	choose	suwi
16.63	hope	kita- čaʔ ka ska nã
16.65	faithful	ntẽ nu ɲi; nu ndukʷi suʔʷe tiye
16.66	true	čaɲi
16.67	lie, tell lies	(kʷi)ɲi lʸoʔo ʔĩ-
16.68	deceit	čaʔ kʷiɲi
16.69	forgive	kuʔni- čaʔ tlʸu tiʔ
16.71	good	suʔʷe
16.72	bad	kuši; šaʔã
16.73	right, correct	suʔʷe; ɲi; ti kʷiʔ čaʔ
16.74	wrong	siʔi ngʷaʔã; siʔi čaʔ kãʔ; čaʔ kʷiɲi; kʷiɲi ʔa-
16.76	fault	čaʔ kuši; yʔni kuši-
16.77	mistake, error	tʸoʔo c̷ā yaʔ-; tʸoʔo c̷a ke-
16.78	blame	ndiʔĩ kiʔʸa ʔĩ-
16.79	praise	kuʔni tlʸu
16.81	beautiful	ndiʔʸa ɲaʔã
16.82	ugly	čẽ
16.83	greedy	škʷī tiʔ; tʸī tiʔ
16.84	clever	ša tiʔ; nsuʔʷi ʔa čaʔ tiya
17.11	mind	ke-; tiye-; čaʔ nu kiʔʸa ke; čaʔ nu tʸaʔã tiye
17.13	think (= reflect)	tʸaʔã čaʔ tiye
17.14	think (= be of the opinion)	škeʔ tiʔ
17.15	believe	kyā ndaʔã tiʔ; c̷ā ɲaʔã tiʔ
17.16	understand	ka wiya tiʔ
17.17	know	hlʸo tiʔ
17.171	guess	kī tiʔ
17.172	imitate	kuʔni suʔʷa ʔĩã
17.18	seem	tʸoʔo ʔĩ ska nã
17.19	idea, notion	čaʔ ndoʔo ke ti; kiʔʸa čaʔ ke
17.21	wise	tiya
17.22	foolish, stupid	šiyuʔ
17.23	insane, crazy	yeʔ; ndiyuʔ; [ntu]
17.24	learn	kuʔni šaʔã
17.242	study	ka saʔã
17.25	teach	kʷuʔu ~ kluʔu
17.26	pupil	nu šuwe [šla]
17.27	teacher	tu [šla]; [mstru]
17.28	school	[šla]
17.31	remember	šuʔʷa tiʔ; šuʔʷi tiʔ
17.32	forget	hlʸā tiʔ
17.34	clear, plain	(luz) luwi; luwi šā; ɲi
17.35	obscure	tukʷi
17.36	secret	mnã; kuc̷iʔ
17.37	sure, certain	čaɲi; ti kʷiʔ čaʔ
17.38	explain	kic̷aʔ; kʷuʔu
17.41	intention, purpose	tɲã nu mbiʔʸa ke kuʔni
17.42	cause	kuʔni čaʔ ka
17.43	doubt	ha tʸū̃ tiye
17.44	suspect	kī tiʔ; škeʔ tiʔ
17.441	betray	kuhʷiʔ šuʔʷa
17.45	need, necessity	lihʸi čaʔ ʔĩ; nʔni čaʔ ka
17.46	easy	sa; sati
17.47	difficult	keʔ; tukʷi
17.48	try, attempt	kuʔni wiyaʔ
17.49	way, manner	sa ɲaʔã ka
17.51	and	loʔo ~ loʔ
17.52	because	čaʔ; čaʔ nu
17.53	if	[si]; ta
17.54	or	ta ...; [o ta...]
17.55	yes, affirmative	hahaʔã; 'hāni; kʷiʔ
17.56	no, negative	siʔi; ha ...
17.61	how?	ni ɲaʔã...; sa ɲaʔã
17.62	how many?	ni sa ɲaʔã kʷa...; ni lkʷa...
17.63	how much?	ni sa ɲaʔã kʷa...; ni lkʷa...
17.64	what?	ni (ɲa)ʔã nã...
17.65	when?	ni wra...; ni šā...
17.66	where?	la ya...; nde yaʔ
17.67	which?	ni ɲaʔã nu...
17.68	who?	ti lka...; nka nu...; tu lka...
17.69	why?	ni čaʔ...
18.11	voice	tʸiʔi
18.12	sing	kula tuʔʷa
18.13	shout, cry out	šiʔʸa
18.15	whisper	čkʷiʔ mnã
18.16	mumble	
18.17	whistle	šnẽ
18.18	shriek, screech	šiʔʸa kʷẽ
18.19	howl	kula (šneʔ)
18.21	speak, talk	čkʷiʔ
18.211	stutter, stammer	yiha tuʔʷa-
18.22	say	čkʷiʔ; ndukʷĩ ~ hʷĩ
18.221	tell story	kic̷aʔ; ta čaʔ
18.222	speech (make a)	čkʷiʔ ska čaʔ
18.23	silent (be)	šuʔʷi mnã
18.24	language	čaʔ nu nčkʷiʔ-
18.26	word	čaʔ
18.28	name	nā̃; nĩ
18.31	ask (question, inquire)	kuni-čaʔ
18.32	answer	škʷẽ
18.33	admit, confess	kic̷aʔ ɲi
18.34	deny	siʔi; čkʷiʔ čaʔ siʔi
18.35	ask, request	hɲã
18.36	promise	skãʔ čaʔ loʔo
18.37	refuse	ha šlʸā
18.38	forbid	kuʔni tʸī; tukũʔ lō; kʷaʔa
18.39	rebuke, scold	kic̷aʔ kiʔʸa; kic̷aʔ ɲi; ɲi čkʷiʔ
18.41	call (=summon)	šiʔʸa ʔĩ-
18.42	call (=name)	štʸa nĩ; ni ɲaʔã nā̃
18.43	announce	kic̷aʔ
18.44	threaten	ši-c̷ẽ
18.45	boast	kuʔni tlʸu čaʔ ʔĩ ykʷiʔ
18.51	write	kʷaʔã kitʸi
18.52	read	naʔã lo kitʸi; čkʷiʔ lo kitʸi
18.56	paper	kitʸi
18.57	pen	[plu'mã]
18.61	book	kitʸ; ['līwru]
18.67	poet	--
18.71	flute	yka kī
18.72	drum	snẽ kihĩ
18.73	horn, trumpet	kuwī čkʷã
18.74	rattle	msnũ
19.11	country	ska lo yū; yū seʔẽ ndlo ska [wi 'yernu] tɲã
19.12	one's native country	kičẽ tʸi-
19.15	city, town	kičẽ tnũ
19.16	village	kičẽ
19.17	boundary	tuʔʷa yū
19.21	people (populace)	ntẽ; ntẽ čalʸū
19.23	tribe, clan	
19.24	chief, chieftain	šʔnã
19.25	staff, walking stick	yka š-tʸũ
19.31	rule, govern	kulo tɲã
19.32	king, ruler	nu lka tɲã; nu ndiʔʸa lō; yu [wi'yernu]
19.33	queen	kunaʔã nu nčka lō; kʷilʸoʔo [rē]
19.36	noble, nobleman	nu kuliyaʔ taʔa [rē]
19.37	citizen, subject	yu kičẽ; neʔ kičẽ
19.41	master	šʔnã
19.42	slave	[msu] nu msiʔi ntẽ
19.43	servant	[msu]
19.44	freeman	yu nu ndiʔĩ suʔʷe
19.45	command, order	kulo tɲã
19.46	obey	takiyaʔ tɲã ʔĩ; tukʷa tɲã ʔĩ-
19.47	let, permit	ta ča-wiyaʔ
19.51	friend, companion	taʔa
19.52	enemy	taʔa ndzũ; nu (lka) [kontra]
19.54	neighbor	nu ndiʔĩ kʷiʔ seʔẽ ti
19.55	stranger	yu kata
19.56	guest	ntẽ nu ngila tunaʔã; nu kahaʔ tunaʔã
19.57	host	nu lka tʸi; nu nda seʔẽ kahaʔ
19.58	help, aid	ta yaʔ ʔĩ-
19.59	hinder, prevent	tukũʔ lō čaʔ
19.61	custom	čaʔ kula; tɲã nu ngʷa sʔni
19.62	strife, quarrel	čaʔ kusū̃
19.63	conspiracy, plot	tɲã nu kuʔni mnã; mnã ti kuʔni suʔʷa čaʔ
19.65	meet	tʸukʷa taʔa
19.72	prostitute	saʔa ʔĩ-
20.11	fight (vb)	šū̃
20.13	war, battle	seʔẽ ndzū̃; seʔẽ ndiʔĩ neʔ wsū̃
20.14	peace	tī̃ ti ndiʔĩ čalʸū
20.15	army	ska lta tnũ [sn'dā du]
20.17	soldier	[sn'dāru]; yu la; yu kusū̃
20.21	weapons, arms	yaʔ wsū̃
20.22	club	yka nu kiʔni ke-
20.222	battle-ax	[a'čā] wsū̃
20.23	sling	slaʔ
20.24	bow	kilʸa
20.25	arrow	kilʸa
20.26	spear	yka ča
20.27	sword	[s'pāra]; [štʸi] wsū̃
20.28	gun, cannon	kitũ
20.31	armor (defensive)	teʔ čkʷã; čkʷã nu šuʔʷi čũʔ-
20.33	helmet	čkʷã nu šuʔʷi kē-; [mslu] čkʷã
20.34	shield	čkʷã skũ nu ndaʔa lō-
20.35	fortress	seʔẽ kʷã; seʔẽ liye
20.36	tower	naʔã kʷã
20.41	victory	tʸihĩ lʸo; kuʔni [kanã]
20.42	defeat	wa ndihĩ lʸo; wa rkʷiʔĩ; wa yʔni [kanã]
20.43	attack	šū̃ loʔo
20.44	defend	kʷaʔa
20.45	retreat	šnã
20.46	surrender	ta ʔĩ(-) yaʔ(-)
20.47	captive, prisoner	[pre'su]
20.471	guard, sentinel	nu ndiʔĩ kʷã
20.48	booty, spoils	čaʔ suʔʷe nu ngulā ʔĩ
20.49	ambush	tʸiʔĩ mnã tukʷī̃
20.51	fisherman	nu c̷ā kuta kula
20.52	fishhook	čkʷã ča (čaʔ kuta kula)
20.53	fishing line	hū̃; lti
20.54	fishnet	kisu
20.55	fish trap	tōʔ
20.56	bait	tā̃ yaʔa
20.61	hunt	c̷ā kuta; tʸaʔã kuta
20.62	shoot	kū̃
20.63	miss (target)	kʸā laʔa ti; kyā ntã ti; nu ha ngū̃ ɲi
20.64	trap (noun)	soʔo
20.65	trap (vb)	kuta ʔni (loʔo soʔo)
21.11	law	tɲã ndlo ntẽ; [lē]
21.15	court	neʔ [wsi'ya]
21.16	judge (vb)	kuʔni wiyaʔ
21.17	judgment	wra nu kuʔni wiyaʔ kiʔya ʔĩ
21.18	judge (noun)	[wse]
21.21	plaintiff	nu nhɲã kiʔʸa
21.22	defendant	nu ndiʔĩ kiʔʸa; nu yʔni kuši
21.23	witness	nu wa naʔã ɲi ʔã ngʷa; nu čkʷiʔ čaʔ ʔī̃
21.24	swear	čkʷiʔ čawiyaʔ ʔĩ(-) čaʔ skãʔ čaʔ loʔo ta nĩ hoʔo čaʔ...
21.25	oath	
21.31	accuse	štʸa kiʔʸa; kulo kiʔʸa
21.32	condemn	kulo kiʔʸa
21.33	convict (vb)	kulo kiʔʸa
21.34	acquit	kuʔni čaʔ tlʸu-tiʔ
21.35	guilty	nu ndiʔĩ kiʔʸa ʔĩ
21.36	innocent	ntẽ luwi; nu ha ndiʔĩ kiʔʸa ʔĩ
21.37	penalty, punishment	nu tiʔi
21.38	fine	kulo liyaʔ
21.39	prison, jail	naʔã čkʷã
21.42	murder	kuhʷi ʔĩ ntẽ
21.43	adultery	tʸiʔĩ čaʔ ʔĩ loʔo kʷilʸoʔo ška ntẽ
21.44	rape	kuʔni ɲuʔũ (ʔĩ kunaʔã)
21.46	arson	suʔʷa kīʔ
21.47	perjury	čaʔ kʷiɲi
21.51	steal	kuʔni ... kunã
21.52	thief	nu (nʔni) kunã
22.11	religion	čaʔ hoʔo
22.12	God	[ndi'ō se]; (santos) hoʔo
22.13	temple, church	lā
22.14	altar	lo hoʔo
22.15	sacrifice, offering	[lo-ms'tã]
22.16	worship	kuʔni tnũ
22.17	pray	hɲã čaʔ tlʸu tiʔ; čkʷiʔ loʔo [ndi'ōse]
22.18	priest	sti hoʔo
22.19	holy, sacred	kuti ~ kti
22.22	preach	suʔʷa kʷẽ; kic̷aʔ ɲi; kʷẽ čkʷiʔ
22.23	bless	lkʷã; suʔʷa yaʔ lo
22.24	curse	čkʷiʔ kiʔʸa
22.26	fast (vb)	kuʔni kuʔnã; ha ku ʔa (kʸiha)
22.31	heaven	niʔ kʷã
22.32	hell	hwlʸā
22.35	demon (evil spirit)	kʷiʔĩ kuši; neʔ laha; neʔ čĩ
22.37	idol	nkʷĩ hoʔo
22.42	magic, witchcraft, sorcery	čaʔ taʔa
22.43	sorcerer, witch	yu taʔa; neʔ taʔa
22.44	fairy, elf	kušē
22.45	ghost, phantom	kʷiʔĩ; kušē
22.47	omen, portent	ndī-tiʔ ska čaʔ kuši
