entry_id	trans_english	Chatino,_Zacatepec_Phonemic
3.29	lamb	slʸaʔ kuneʔ
3.32	boar	kuweʔ kišĩʔ
3.34	sow	kuweʔ tyiʔ
3.35	pig	kuweʔ
3.36	goat	['čivu] kuteʔ
3.37	he-goat	['čivu]
3.38	kid	['čivu] kuneʔ
3.41	horse (equine)	[kʷiyu]
3.42	stallion	[kʷiyu] kala
3.44	mare	[yuwa]
3.45	foal, colt	kʷiyu kuneʔ
3.46	ass, donkey	['wuru]
3.47	mule	[mču]; [mlʸa]
3.5	fowl	
3.52	cock, rooster	kʷeʔe
3.54	hen	kʷitu kuteʔ; kʷitu tnan
3.55	chicken	kʷitu
3.56	goose	
3.57	duck	['patu]
3.58	nest	wtẽ; siʔyā
3.581	bird	kiɲi
3.582	seagull	kōʔ
3.583	heron	kti
3.584	eagle	lakʷiʔʸa
3.585	hawk	kʷiʔʸa
3.586	vulture	lašu
3.591	bat	kʷē̃
3.592	parrot	['loru]
3.593	crow	tʸakā
3.594	dove	stʸũ
3.596	owl	koho nskã
3.61	dog	šneʔ
3.614	rabbit	ča-kʷiči
3.62	cat	[mštʸũ]
3.622	opossum	lʸa
3.63	mouse, rat	tɲãʔ
3.65	fish	kula
3.652	fin (dorsal)	
3.653	fishscale	šiyeʔ
3.654	gill	
3.655	shell	skʷaʔ
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	ʔo; ngʷoʔo
3.72	lion	kʷiči
3.73	bear	
3.74	fox	kutaʔ
3.75	deer	kʷiɲãʔ
3.76	monkey	
3.77	elephant	
3.78	camel	
3.81	insect	ʔni šuwe
3.811	louse	kʷitʸĩʔ; š-tʸĩʔ
3.812	nit (louse egg)	skuwe kʷitʸĩʔ
3.813	flea	kʷiʔyu
3.814	centipede	kunuʔ kyō
3.815	scorpion	seʔẽ
3.816	cockroach	skʷaʔ
3.817	ant	kʷitʸēʔ
3.818	spider	ngʷiyuʔ
3.819	spider web	s-teʔ ngʷiyuʔ
3.82	bee	kʷitũ
3.821	beeswax	kiɲãʔ kʷitũ
3.822	beehive	skʷaʔ kʷitũ
3.823	wasp	kʷitũ
3.83	fly	škaʔ
3.831	sandfly (midge), gnat	ngitʸĩ
3.832	mosquito	rtẽ
3.84	worm	kunuʔ
3.85	snake	kunã
3.91	firefly	kīʔ kitãʔ
3.92	butterfly	si
3.93	grasshopper	skuʔ
3.94	snail	ɲē
3.95	frog	kʷitʸiʔ
3.96	lizard	kuc̷iʔ c̷eʔ
3.97	crocodile, alligator	kuʔnã
3.98	turtle	nkũ
4.11	body	tʸukʷi ɲaʔā̃-; tiɲaʔā̃-
4.12	skin, hide	kihĩ-
4.13	flesh	kunãʔ-
4.14	hair (head)	kičãʔ-
4.142	beard	sū-
4.144	body hair	slu-
4.145	pubic hair	
4.146	dandruff	šiyeʔ
4.15	blood	tnẽ-
