entry_id	trans_english	Zhuang-Longzhou_Phonemic
1.1	world	taɨ.3 faʔ.4 thi:n.1 ja.6; łi.5 kia:i.5
1.21	earth, land	ti.6
1.212	earth=ground, soil	tum.1
1.213	dust	nəm.6 muk.7
1.214	mud	mo:n.6 lai.2; puŋ.2
1.215	sand	ła:i.2
1.22	mountain, hill	phja.1; ʔdo:i.3
1.222	cliff, precipice	ta:t.7
1.23	plain, field	ti.6 phi:ŋ.1
1.24	valley	lu:k.8
1.25	island	ti.6 ʔbo:k.7
1.26	mainland	kin.2 ta.6; kan.2 ta.6
1.27	shore	łu.2 ŋə:m.2
1.28	cave	namʔ.4
1.31	water	ha:i.3
1.32	sea	fət.8 fa:uʔ.1
1.322	calm (of sea)	ha:i.3
1.323	rough (of sea)	hu.2
1.324	foam	phai.1; thum.1; khum.1
1.329	ocean	po.1 la:ŋ.6
1.33	lake	ta.6; hu:i.3
1.34	gulf, bay	namʔ.4 kiu.3; namʔ.4 pan.5 pe.5
1.341	lagoon	ʔbo.5
1.342	reef	phu.6 pu.3
1.343	headland, point	ʔduŋ.1 maiʔ.4; ʔduŋ.1
1.35	wave	maiʔ.4
1.352	tide	maiʔ.4
1.353	lowtide	hin.1
1.354	hightide	hin.1 nuk.8 ku.1
1.36	river, stream, brook	ti.6 tuŋ.6
1.362	whirlpool	faʔ.4; pio:ŋ.6 faʔ.4
1.37	spring, well	ha.1 van.2
1.38	swamp	ha:i.1; ha:i.1 pa:u.3
1.39	waterfall	ʔda:u.1 ʔdi.5
1.41	woods, forest	me:p.8; me.6 me:p.8
1.42	tree (cf 08.600)	po.6 lo:i.2
1.43	wood	faʔ.4 ʔom.5; faʔ.4 tau.3
1.44	stone, rock	faʔ.4 me:p.8; jap.7
1.45	earthquake	lum.2 lu:ŋ.1 phan.1 lu:ŋ.1
1.51	sky	ŋu.2 va.1; lu:ŋ.2 va.1
1.52	sun	ʔde:t.7
1.53	moon	ʔdam.1
1.54	star	la.6; mu:k.8; ŋau.2; kiham.1
1.55	lightning	na:i.2
1.56	thunder	hi.5
1.57	lightning (as striking)	lum.2
1.58	storm	pha.3 faʔ.4; phɨ.3 faʔ.4
1.59	rainbow	mo:k.7
1.61	light (noun)	phɨn.1; phan.1
1.62	darkness	łi:t.7
1.63	shade, shadow	mu:i.1 kha:ŋ.3; mu:i.1 ka:u.6
1.64	dew	hit.7
1.71	air	thi:n.1 hi.5
1.72	wind	fai.2
1.73	cloud	luk.8 fai.2; ha:ŋ.1 fai.2; linʔ.4 fai.2
1.74	fog	van.2 fai.2
1.75	rain (noun)	piau.6
1.76	snow (noun)	pu:n.2 fai.2
1.77	ice	puŋ.1; mai.3; la:t.8
1.78	weather	mai.3
1.81	fire	hiŋ.1; ti:m.3; thɨ.1
1.82	flame (noun)	ʔdap.7
1.83	smoke (noun)	ko:p.8 fai.2; la:i.2 ho.2
1.84	ashes	fɨn.2
1.841	embers	tha:n.5
1.851	burn (vb trans)	kɨn.2
1.852	burn (vb intrans)	ti.6 po.6
1.86	light, kindle, ignite	ti.6 me.6
1.861	extinguish	po.6
1.87	match (noun)	me.6
1.88	firewood	luk.8 ʔdik.7
1.89	charcoal	phu.3 ʔba:u.5; ʔdik.7 ʔba:u.5
2.1	person, human being	phu.3 ła:u.1; ʔdik.7 ła:u.1
2.21	man (vs. woman)	phu.3 ła:u.1
2.22	woman	luk.8 ʔdik.7
2.23	male	luk.8 ła:m.1 nam.1; luk.8 ʔe:ŋ.1
2.24	female	po.6; tu.1 po.6
2.25	boy	me.6; tu.1 me.6
2.251	young man (adolescent)	to.2 ʔau.1
2.26	girl	po.6 thau.3; ʔo.2 pa.5
2.261	young woman (adolescent)	me.6 thau.3; ʔo.2 ca.3
2.27	child	po.6 me.6 thau.3
2.28	infant, baby	ti.6 po.6
2.31	husband	ti.6 me.6
2.32	wife	luk.8 ʔba:u.5
2.33	marry	luk.8 ła:u.1
2.34	marriage, wedding	luk.8; ta:i.6 laŋ.1
2.341	divorce	pi.6 no:ŋʔ.4 ʔba:u.5
2.35	father	ko.5
2.36	mother	no:ŋʔ.4 ʔba:u.5
2.37	parents	pi.6 no:ŋʔ.4 ła:u.1; pa.3 na.6
2.38	married man	ce.5
2.39	married woman	no:ŋʔ.4 ła:u.1; me.6 a.1; me.6 na.6
2.41	son	pi.6 no:ŋʔ.4
2.42	daughter	luk.8 to:i.5
2.43	offspring (son or daughter)	kuŋ.5 co.3; je.2
2.44	brother	ʔuŋ.1 ke.5
2.444	older brother	pho.2 co.3; na:ŋ.2
2.445	younger brother	ʔa.1 pho.2
2.45	sister	la:n.1; la:n.1 ʔba:u.5
2.454	older sister	la:n.1; la:n.1 ʔba:u.5 va:i.6 łen.1
2.455	younger sister	ʔa:u.5; śuk.7; je.5; je.5 pi.6; khauʔ.4
2.456	sibling	je.5; ʔo.2 je.5
2.458	twins	je.5; ʔo.2 je.5
