entry_id	trans_english	Yaminahua_Phonemic
1.1	world	mai-tio
1.21	earth, land	mai [bai]
1.212	earth=ground, soil	mai
1.213	dust	mapo [bapo]
1.214	mud	mɨβɨ
1.215	sand	maši
1.22	mountain, hill	mãči kɨya
1.222	cliff, precipice	maβa
1.23	plain, field	mai mĩspa
1.24	valley	mači tɨnãmã naki-raβɨ
1.25	island	βaka nɨ̃ṣ̌pakĩa mai [waʔa nɨ̃ṣ̌paʔĩa...]
1.26	mainland	mai ɨβapa
1.27	shore	βaka kɨ̃sɨmɨ̃ [waʔa...]
1.28	cave	tapɨiti
1.31	water	βaka [waʔa]
1.32	sea	βaka-βã [waʔa...]
1.322	calm (of sea)	βãka-βã βɨro ikima [...iʔiba]
1.323	rough (of sea)	βãka-βã βɨro iki [...iʔi]
1.324	foam	βãkoṣ̌ [wãʔoṣ̌]
1.329	ocean	βaka-βã
1.33	lake	ĩa
1.34	gulf, bay	βaka čitia
1.341	lagoon	βaka amãnão ṣ̌ačiβo [...ṣ̌ačiho]
1.342	reef	
1.343	headland, point	
1.35	wave	βaka pakɨai
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	βaka; aṣ̌ka; ṣ̌ɨṣ̌a
1.362	whirlpool	βaka šiβi
1.37	spring, well	βaka poyo poyo iki
1.38	swamp	
1.39	waterfall	mãṣ̌a poiti
1.41	woods, forest	nii [dii]
1.42	tree (cf 08.600)	iβi
1.43	wood	koṣ̌a
1.44	stone, rock	makɨṣ̌; tokiri
1.45	earthquake	mĩ-ma-βa
1.51	sky	nai [dai]
1.52	sun	ṣ̌ini
1.53	moon	oṣ̌ɨ
1.54	star	išti βɨro; βiši
1.55	lightning	kana pɨiša iki
1.56	thunder	nai tiri iki
1.57	lightning (as striking)	kana
1.58	storm	nɨ̃βɨ-βa
1.59	rainbow	nãβa βai
1.61	light (noun)	pei ika; ota
1.62	darkness	βakiš [waʔiš]
1.63	shade, shadow	mãta tõka
1.64	dew	niβi
1.71	air	nɨβɨ
1.72	wind	nɨβɨ
1.73	cloud	kõi
1.74	fog	čaka pakɨi [čaʔa paʔɨi]
1.75	rain (noun)	oi
1.76	snow (noun)	--
1.77	ice	oi nami
1.78	weather	
1.81	fire	čii
1.82	flame (noun)	toro
1.83	smoke (noun)	kõi
1.84	ashes	čii mapo
1.841	embers	čii rɨ̃kɨ
1.851	burn (vb trans)	koakĩ [koaʔĩ]; koo βaki
1.852	burn (vb intrans)	ṣ̌oisakĩ
1.86	light, kindle, ignite	kɨtɨ βakĩ
1.861	extinguish	noka βakĩ [doʔa waʔĩ]
1.87	match (noun)	čii
1.88	firewood	karo
1.89	charcoal	c̷ɨstɨ
2.1	person, human being	yora
2.21	man (vs. woman)	noko βɨnɨ
2.22	woman	kɨro
2.23	male	βɨrona-βakɨ
2.24	female	ṣ̌oto-βaʔɨ; ãβi
2.25	boy	βɨrona-βakɨ
2.251	young man (adolescent)	naɨtapa
2.26	girl	ṣ̌otoko-βakɨ [waʔɨ]
2.261	young woman (adolescent)	naɨtaβa; ṣ̌omaya
2.27	child	βakɨ
2.28	infant, baby	βakɨ-šta; yomɨ-šta; βakɨ yomɨ
2.31	husband	βɨnɨ
2.32	wife	ãβi
2.33	marry	βi-a-nã-kĩ
2.34	marriage, wedding	
2.341	divorce	ɨnɨ-nãkĩ
2.35	father	ɨpa
2.36	mother	ɨβa
2.37	parents	
2.38	married man	ãβi-ya
2.39	married woman	βɨnɨ-ya
2.41	son	βakɨ
2.42	daughter	βakɨ
2.43	offspring (son or daughter)	βakɨ
2.44	brother	
2.444	older brother	oči
2.445	younger brother	ɨṣ̌to
2.45	sister	
2.454	older sister	čipi
2.455	younger sister	čiko [čiʔo]
2.456	sibling	onɨβɨc̷a; poi
2.458	twins	raβɨ kãia; βɨ̃so raβɨ
2.46	grandfather	čata; ṣ̌ota
2.461	old man	ani-βo
2.47	grandmother	čiči; ṣ̌ano
2.471	old woman	yõṣ̌a-βo
2.48	grandson	βaβa βɨrona-βakɨ
2.49	granddaughter	βaβa ṣ̌oto-βakɨ
2.51	uncle	
2.511	mother's brother	koka
2.512	father's brother	ɨpa βɨc̷a
2.52	aunt	
2.521	mother's sister	ɨβa βɨc̷a
2.522	father's sister	yaya; ači
2.53	nephew	pia
2.54	niece	pia
2.55	cousin	mimiki; čai; c̷aβɨ
2.56	ancestors	ṣ̌ini-pao
2.57	descendants	aβɨ βɨna-βo
2.61	father-in-law (of a man)	rayos
2.611	father-in-law (of a woman)	βãβaβa
2.62	mother-in-law (of a man)	rayos
2.621	mother-in-law (of a woman)	βãβaβa
2.63	son-in-law (of a man)	rayos
2.631	son-in-law (of a woman)	rayos
2.64	daughter-in-law (of a man)	βaβaβã
2.641	daughter-in-law (of a woman)	
2.71	stepfather	ɨpa
2.72	stepmother	ṣ̌ota-βa
2.73	stepson	βakɨ βɨc̷a
2.74	stepdaughter	βakɨ βɨc̷a
2.75	orphan	apa-mais
2.76	widow	iβo-ma-βa
2.77	widower	ɨa-ma-pa
2.81	relatives, kinsmen	yora
2.82	family	
2.91	I	ɨ̃; ɨa
2.92	you (singular)	mĩ; mia
2.93	he/she/it	atõ; a
2.94	we	nõ; noko
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	mã; mato
2.96	they	atõ; ato
3.11	animal	yõinã
3.12	male (adj)	βɨnɨ
3.13	female (adj)	ãβi; kɨro
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[βakka]
3.21	bull	[βakka] βɨnɨ
3.22	ox	
3.23	cow	[βakka]
3.24	calf	
3.25	sheep	[omiha]
3.26	ram	[karanĩro]
3.28	ewe	[omiha] kɨro
3.29	lamb	[omiha] βakɨ
3.32	boar	[koči] βɨnɨ
3.34	sow	[koči] kɨro
3.35	pig	[koči]
3.36	goat	[karinĩro]
3.37	he-goat	[karinĩro] βɨnɨ
3.38	kid	[karinĩro] βakɨ
3.41	horse (equine)	[kaβayo]
3.42	stallion	[kaβayo] βɨnɨ
3.44	mare	[kaβayo] kɨro
3.45	foal, colt	[kaβayo] βakɨ
3.46	ass, donkey	[mora]
3.47	mule	[mora]
3.5	fowl	pɨi-ya
3.52	cock, rooster	takara βɨnɨ
3.54	hen	takara kɨro
3.55	chicken	takara
3.56	goose	
3.57	duck	nõnõ
3.58	nest	naa
3.581	bird	pɨi-ya
3.582	seagull	
3.583	heron	βɨčo
3.584	eagle	tɨtɨ-pãβa
3.585	hawk	tɨtɨ
3.586	vulture	išpi
3.591	bat	kaši
3.592	parrot	βaβa
3.593	crow	
3.594	dove	riβi
3.596	owl	popo
3.61	dog	paṣ̌ta
3.614	rabbit	õc̷a
3.62	cat	mĩšito
3.622	opossum	išanãpa; maṣ̌o-tɨnɨ-roa
3.63	mouse, rat	ṣ̌oya; nĩi ṣ̌oya
3.65	fish	βoɨ
3.652	fin (dorsal)	kaspaka [kaspaʔa]
3.653	fishscale	pɨsɨ
3.654	gill	tɨsto
3.655	shell	pao; c̷ano; pato
3.661	shark	--
3.662	porpoise, dolphin	ɨnɨ naβa; ɨnɨ šino
3.663	whale	--
3.664	stingray	payo
3.665	freshwater eel	koni
3.71	wolf	ɨnɨ paṣ̌ta; ɨnɨ šino; paṣ̌ta ṣ̌oya
3.72	lion	[riyõ]
3.73	bear	[oso]
3.74	fox	
3.75	deer	čaṣ̌o
3.76	monkey	šino
3.77	elephant	[iriβãti]
3.78	camel	[kamĩčo]
3.81	insect	
3.811	louse	ia
3.812	nit (louse egg)	ɨ̃sta
3.813	flea	mai ṣ̌ɨna
3.814	centipede	ṣ̌akočo
3.815	scorpion	niβo
3.816	cockroach	mãpača
3.817	ant	ɨɨ
3.818	spider	šinãčoko
3.819	spider web	šinãčoko pani
3.82	bee	ṣ̌ara βina
3.821	beeswax	ṣ̌ara mapo; ṣ̌ĩti
3.822	beehive	βona [hoda]
3.823	wasp	βina
3.83	fly	nãpɨ
3.831	sandfly (midge), gnat	ropoto; nãpɨ mĩšti
3.832	mosquito	βĩi
3.84	worm	nõi
3.85	snake	rono
3.91	firefly	tapi
3.92	butterfly	kaβaβɨna [kawaβɨda]
3.93	grasshopper	kõkɨc̷ɨrɨ [kõʔɨ̃tsɨrɨ]
3.94	snail	sãka; nočo; nopoṣ̌; βõto
3.95	frog	toa
3.96	lizard	ṣ̌ɨkɨ
3.97	crocodile, alligator	kapɨ
3.98	turtle	ṣ̌aβɨ; nɨsa; kimi; nɨṣ̌o; nɨṣ̌o-βa
4.11	body	yora
4.12	skin, hide	βiči
4.13	flesh	nami
4.14	hair (head)	βoo [huu]
4.142	beard	kɨṣ̌tɨ
4.144	body hair	rani
4.145	pubic hair	ṣ̌ani
4.146	dandruff	kõo ṣ̌omã
4.15	blood	imi
4.151	vein, artery	pono
4.16	bone	ṣ̌ao
4.162	rib	piši
4.17	horn	mãṣ̌o
4.18	tail	tɨnɨ
4.19	back	piči
4.191	spine	katɨ ṣ̌ao
4.2	head	mapo
4.201	side of head, temple	tapara
4.202	skull	mapo ṣ̌ao
4.203	brain	mapo nãti
4.204	face	βɨ̃-mãnã
4.205	forehead	βi-špi
4.207	jaw	kõti ṣ̌ao
4.208	cheek	tamo
4.209	chin	kõti
4.21	eye	βɨ-ro
4.212	eyebrow	βišpi ṣ̌ani
4.213	eyelid	βɨro kɨčo
4.214	eyelash	βɨro kɨčo ṣ̌ani
4.215	blink	βɨ̃-c̷o-kĩ
4.22	ear	pačo
4.221	earlobe	pačo pači
4.222	earwax	pačo tanɨ
4.23	nose	rɨ-čoko
4.231	nostril	rɨ-čoko kini
4.232	mucus (nasal)	rɨ-ṣ̌o
4.24	mouth	aṣ̌βa
4.241	beak	ṣ̌ɨta
4.25	lip	kɨ̃ṣ̌a
4.26	tongue	ana
4.27	tooth	piti
4.271	gums	piti tapo
4.272	molartooth	mačapa
4.28	neck	tɨṣ̌o
4.281	nape of neck	tɨ-c̷aka-ti
4.29	throat	ti-špi
4.3	shoulder	põ-ti
4.301	shoulderblade	pɨṣ̌a-mã-ti
4.302	collarbone	ti-piši-ti
4.31	arm	põ-ya
4.312	armpit	po-čo
4.32	elbow	po-to-ṣ̌ko
4.321	wrist	mɨ̃kɨ čičia
4.33	hand	mɨ̃kɨ
4.331	palm of hand	mɨ̃kɨ nata
4.34	finger	mɨ-to-ti
4.342	thumb	mɨtoti ɨβapa; miβi ɨβapa
4.344	fingernail	mi-c̷is
4.345	claw	mi-c̷is čai
4.35	leg	kiši čičia
4.351	thigh	kiši
4.352	calf of leg	βitaṣ̌ nami
4.36	knee	ratoko
4.37	foot	taɨ
4.371	ankle	o-po-ṣ̌ko
4.372	heel	taɨ čičoko
4.374	footprint	taɨ
4.38	toe	taɨ mɨṣ̌
4.392	wing	pɨ-ta
4.393	feather	pɨi
4.4	chest	ṣ̌oči
4.41	breast (of woman)	ṣ̌oma; čočo
4.412	nipple, teat	čočo rɨ-čoko; ṣ̌oma rɨčoko
4.42	udder	čočo
4.43	navel	tokirišpi
4.44	heart	oĩti
4.441	lung	tãṣ̌a
4.45	liver	taka
4.451	kidney	sĩo
4.452	spleen	čišanã
4.46	stomach	ãto; õiti; ṣ̌aki
4.461	intestines, guts	poko
4.462	waist	čĩka
4.463	hip	čĩka
4.464	buttocks	čipa
4.47	womb	βakɨ raka-ti
4.49	testicle	oβo
4.492	penis	ĩso-ti; βoṣ̌-ki [hoṣ̌ki ...]
4.51	breathe, breath	ṣ̌ãka ikĩ
4.52	yawn, gape	ṣ̌aβa-kĩ
4.521	hiccough	c̷ɨo-kĩ
4.53	cough	oko-kĩ
4.54	sneeze	ašti ikĩ
4.55	perspire	nĩskai
4.56	spit	mɨčo-kĩ
4.57	vomit	anã-kĩ; anãpakɨ-kĩ
4.58	bite	kɨyo-kĩ
4.59	lick	taṣ̌o-kĩ
4.591	dribble	βaa iki
4.61	sleep	oṣ̌a-kĩ
4.612	snore	rɨ̃-aṣ̌ iki
4.62	dream	nama-kĩ
4.63	wake up	moi kĩ
4.64	break wind	c̷i-pis-kĩ
4.65	urinate	ĩso-kĩ
4.66	defecate	saβa-kĩ
4.67	have sexual intercourse	čota-kĩ; čota-nã-kan-i
4.68	shiver	čoa-kĩ
4.69	bathe	naši-kĩ
4.71	beget (of father)	too βa-kɨ
4.72	born (to be)	kãi-kĩ
4.73	pregnant	onia
4.732	conceive	onia
4.74	live, living, life	nia; iki
4.75	die, dead	nai
4.751	drowned	ãsa
4.76	kill	rɨtɨ-kĩ
4.77	corpse	
4.78	bury (the dead)	mai βakĩ
4.79	grave, tomb	mai-a-βo ano
4.81	strong, mighty, powerful	mic̷isipa; kɨrɨṣ̌
4.82	weak	pooi; pači
4.83	well, health	šara
4.84	sick, sickness	isini iki
4.841	fever	yona-kĩ
4.842	goiter	tɨsto-pa-βa-ya
4.843	cold (catarrh)	rɨ̃ṣ̌o-kĩ
4.85	wound, sore	rɨtɨa; šamo
4.852	bruise	ṣ̌onã
4.853	swelling	βaraṣ̌ ika
4.854	itch	ṣ̌oa-kĩ
4.855	blister	toṣ̌poa
4.856	boil (noun)	koyo
4.857	pus	koo
4.858	scar	toa
4.86	cure, heal	šara-βa-kĩ
4.87	physician	[notoro]
4.88	medicine, drug	rao
4.89	poison	rao
4.91	tired, weary	ṣ̌õkɨnã-kĩ
4.912	rest	tɨnɨ-kĩ
4.92	lazy	ṣ̌ani
4.93	bald	mapo roa; mãyɨ-βa
4.94	lame	kimãri
4.95	deaf	pastõ
4.96	mute	mɨka-mis-ma
4.97	blind	βɨ̃ṣ̌o
4.98	intoxicated	pãɨa
4.99	naked, bare	čitoria
5.11	eat	pi-kĩ
5.12	food	aa nõ pi-kai
5.121	cooked	piča-mɨ-a
5.122	raw	paṣ̌a
5.123	ripe	pačia
5.124	green, unripe	ṣ̌oonã
5.125	rotten	payoko-mɨ-a
5.13	drink	aya-kĩ
5.14	hunger	βonãi-kĩ
5.141	famine	
5.15	thirst	nõamãi-kĩ
5.16	suck	koko-kĩ
5.18	chew	naka-kĩ
5.181	swallow	ṣ̌ɨa-kĩ
5.19	choke	ãsa-kĩ
5.21	cook	pĩča-kĩ
5.22	boil (vb)	kopɨ-kopɨ iki
5.23	roast, fry	ṣ̌oi-kĩ; čiiša-kĩ
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	[oča] mɨβɨ-ti; kĩti
5.27	kettle	[titira]
5.28	pan	
5.31	dish	
5.32	plate	sapa
5.33	bowl	[tasõ]
5.34	pitcher, jug	kɨčo; kɨpo
5.35	cup, drinking vessel	kɨčo
5.36	saucer	
5.37	spoon	[kočara]
5.38	knife	nami sɨno-ti
5.39	fork	nami čači-ti
5.391	tongs	ači-ma-ti
5.41	meal (a)	piča-mɨ-a
5.42	breakfast	βakišpari pii
5.43	lunch	ṣ̌ini kɨya pii
5.44	dinner	
5.45	supper	yatapakɨ pii
5.46	peel	βɨroβa-kĩ; raṣ̌to-kĩ
5.47	sieve, strain	toa-kĩ
5.48	scrape	βɨṣ̌a-kĩ
5.49	stir, mix	toa toa aki; kara βɨni
5.51	bread	[pã]
5.53	dough	
5.54	knead	kamo-kamos-akĩ
5.55	meal, flour	rɨnɨ; mɨto
5.56	crush, grind	čano-kĩ
5.57	mill	rɨnɨ-ti
5.58	mortar	nãnĩ-ti
5.59	pestle	čači-ti
5.61	meat	nami
5.63	sausage	
5.64	soup, broth	ɨnɨ
5.65	vegetables	
5.66	bean	[poroto]
5.7	potato	poa
5.71	fruit	βimi
5.712	bunch	tɨṣ̌kaya
5.75	fig	
5.76	grape	[oma]
5.77	nut	ɨṣ̌ɨ
5.78	olive	konõi
5.79	oil	ṣ̌ini
5.791	grease, fat	ṣ̌ini
5.81	salt	taši
5.82	pepper	noči βiso
5.821	chili pepper	noči
5.84	honey	βona [huda]; aya
5.85	sugar	[asoka]
5.86	milk (noun)	čočo ɨnɨ
5.87	milk (vb)	c̷ii βakĩ
5.88	cheese	
5.89	butter	ṣ̌ini βɨ̃tɨ
5.9	beverage, drink	aya-ti
5.91	mead	--
5.92	wine	--
5.93	beer	[sirimisa]; aya-ti
5.94	fermented drink	mãmã; mãmã paɨa
5.97	egg	too
5.971	egg yolk	too nato
6.11	put on (clothes)	saβɨ-kĩ
6.12	clothing, clothes	rapa-ti
6.13	tailor	rapa-ti βa-mis
6.21	cloth	sama
6.22	wool	ṣ̌opo
6.23	linen, flax	--
6.24	cotton	ṣ̌apo
6.25	silk	--
6.27	felt	--
6.28	fur	βiči
6.29	leather	βiči
6.31	spin	toro aki
6.32	spindle	iβi toro-ati
6.33	weave	ṣ̌ɨβa-kĩ
6.34	loom	ṣ̌ɨβa-ti
6.35	sew	kiši βa-kĩ
6.36	needle	ṣ̌omoṣ̌
6.37	awl	c̷ɨpɨsa-ti
6.38	thread	[iro]
6.39	dye	
6.41	cloak	pɨ-ra-komɨ-ti
6.411	poncho	
6.42	woman's dress	saya
6.43	coat	ãβɨ nãčo
6.44	shirt	rapa-ti
6.45	collar	rapa-ti tɨčo
6.46	skirt	pi-nišɨ-bɨ-ti
6.461	grass-skirt	--
6.48	trousers	či-raṣ̌o-ti
6.49	stocking, sock	nara-omɨ-ti
6.51	shoe	o-ṣ̌aka-mɨ-ti; [sapato]
6.52	boot	o-ṣ̌aka-mɨ-ti; [mota]
6.54	shoemaker, cobbler	o-ṣ̌aka-mɨ-ti βa-mis
6.55	hat, cap	ma-i-ti; ma-rako-mɨ-ti
6.57	belt, girdle	čɨ-nɨṣ̌ɨ-mɨ-ti; [sitora]
6.58	glove	mɨ-ṣ̌aka-ti; mɨ-rako-mɨ-ti
6.59	veil	--
6.61	pocket	nõṣ̌a-ti
6.62	button	rapa-ti βɨro; [čopa] βɨro
6.63	pin	ṣ̌omoṣ̌
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	[anĩča]
6.74	bracelet	mɨ-nɨṣ̌ɨ-mɨ-ti
6.75	necklace	tɨo-ti
6.76	bead	yõimã
6.77	earring	pa-šoro-mɨ-ti; pa-šo i-ti; pa-rota-mɨ-ti
6.78	headband, headdress	manaṣ̌ɨmɨ-ti; mai-ti
6.79	tattoo	
6.81	handkerchief, rag	[pãyoira]; sama βaṣ̌tɨ
6.82	towel	[toayo]
6.91	comb	βo-ṣ̌-ti
6.92	brush	βo-aro-mɨ-ti; [sipičo]
6.921	braid	βoo ṣ̌ɨ-βai; βoo nɨṣ̌ɨ nɨṣ̌ɨ ika
6.93	razor	čiri koṣ̌kɨ-ti
6.94	ointment	
6.95	soap	mãmõ
6.96	mirror	βɨ-is-ti
7.11	dwell, live	i-ki [i-ʔi]
7.12	house	pɨṣ̌ɨ
7.13	hut	pɨṣ̌ɨ
7.131	garden-house	tapas
7.14	tent	[karapa]
7.15	yard, court	ɨmãi-ti
7.16	men's house	
7.17	cookhouse	piča-ti
7.18	meeting house	pɨṣ̌ɨ ičanã-ti
7.21	room	
7.22	door, gate	βɨpo-ti; kãi-ti; βɨ-taoṣ̌ ati; nastɨ-ti
7.221	doorpost, jamb	nĩči-ti
7.23	lock (noun)	c̷ɨrɨ-ti
7.231	latch, door-bolt	c̷ɨrɨ-ti
7.24	key	[čamis]
7.25	window	nais-ti; õiti
7.26	floor	oča
7.27	wall	kɨnɨ-ti
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	kipi-ti
7.42	bed	oṣ̌a-ti; raka-ti; kaka βa-ti
7.421	pillow	tɨ̃kɨsamɨ-ti; tɨ̃kɨsai
7.422	blanket	[rasara]
7.43	chair	c̷ao-ti
7.44	table	[mĩsa]
7.45	lamp, torch	[rãpari]; [kirosi]; kaβačo ota-ti
7.46	candle	[mira]
7.47	shelf	akiki βa-ti; tapo
7.48	trough	
7.51	roof	pɨṣ̌ɨ ma-opo-mɨ-ti
7.52	thatch	ṣ̌ɨpa pɨšɨ
7.53	ridgepole	mãṣ̌kanã
7.54	rafter	ači-ma-ti
7.55	beam	pĩškanã
7.56	post, pole	nĩči-ti; iβi
7.57	board	[taβara]
7.58	arch	
7.61	mason	
7.62	brick	[raniriyo]
7.63	mortar	
7.64	adobe	
8.11	farmer	oro-mɨ-mis
8.12	field (for cultivation)	tarɨ
8.13	garden	tarɨ
8.15	cultivate, till	oro-mɨ-kĩ
8.16	fence	kɨnɨ-a
8.17	ditch	ṣ̌oβai-ti
8.21	plow	
8.212	furrow	
8.22	dig	põki-kĩ
8.23	spade	[para]
8.24	shovel	[para]
8.25	hoe	nini-ti
8.26	fork	
8.27	rake	nini-ti
8.31	sow	βana-kĩ
8.311	seed	ɨṣ̌ɨ
8.32	mow, reap	sɨpa-kĩ
8.33	sickle, scythe	--
8.34	thresh	toša-kĩ
8.35	threshing-floor	--
8.41	crop, harvest	topi-kĩ
8.42	grain (barley, oats etc)	
8.43	wheat	--
8.44	barley	--
8.45	rye	--
8.46	oats	[aminã]
8.47	maize, corn	ṣ̌iki
8.48	rice	[aros]
8.51	grass	βasi
8.52	hay	
8.53	plant (noun)	βana
8.531	plant (vb)	βana-kĩ
8.54	root	tapo
8.55	branch	põya
8.56	leaf	pɨi
8.57	flower	čaro
8.6	tree	iβi
8.61	oak	
8.62	beech	
8.63	birch	
8.64	pine	
8.65	fir	
8.66	acorn	--
8.67	vine	niši
8.68	tobacco	romɨ
8.69	smoke (tobacco)	poɨ aki
8.691	pipe	šinĩmõ-ti
8.72	tree stump	βoro
8.73	tree trunk	iβi kaya
8.74	forked branch	tɨšpa
8.75	bark	iβi βiči
8.76	sap	iβi βɨpo
8.81	palm tree	ɨpɨ
8.82	coconut	[koko]
8.83	citrus fruit	--
8.84	banana tree	šĩko
8.85	banyan	--
8.91	sweet potato	kari
8.912	yam	kari
8.92	tapioca, manioc, cassava	yoa
8.93	gourd	
8.931	pumpkin, squash	βãra
8.94	bamboo	kora; kora yõko; kora čoši
8.941	sugar cane	[kaɲa]
8.96	fish poison (root)	[βaraβasko]
8.97	nettle	nãβaβakisi
8.98	mushroom	čora; kono; yõko; tarapačo
9.11	do, make	akĩ; ikĩ; βa-kĩ
