entry_id	trans_english	Mosetén_Phonemic
1.1	world	bæ'dʸe
1.21	earth, land	'hak
1.212	earth=ground, soil	yuči'haʔ; 'hak
1.213	dust	pœ'dai; 'hak
1.214	mud	bo'hka
1.215	sand	ha'maiɲ
1.22	mountain, hill	mœ'kæ
1.222	cliff, precipice	c̷æn
1.23	plain, field	tah'ɲi; bæɲi'ka
1.24	valley	hinak'kaiɲ
1.25	island	pu'ču
1.26	mainland	
1.27	shore	ha'maiɲ
1.28	cave	'dtu
1.31	water	uh'ɲi
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	c̷i'ke
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	uh'ɲi
1.362	whirlpool	
1.37	spring, well	tko
1.38	swamp	[kuriči]
1.39	waterfall	
1.41	woods, forest	de'reʔ
1.42	tree (cf 08.600)	de'reʔ
1.43	wood	['tabra]
1.44	stone, rock	'mix
1.45	earthquake	
1.51	sky	mãye'dʸeʔ
1.52	sun	'c̷œɲ
1.53	moon	'iwa
1.54	star	õrõ'taʔ
1.55	lightning	'perere
1.56	thunder	behna'yi
1.57	lightning (as striking)	'perere
1.58	storm	'perere
1.59	rainbow	opi'tu
1.61	light (noun)	õrõ'taʔ
1.62	darkness	yomoiʔ'ra; šo'kam
1.63	shade, shadow	o'ɲom
1.64	dew	soɲoh'no fibihbi'yeʔ
1.71	air	tkiʔ'ma
1.72	wind	kiʔ'ma
1.73	cloud	erubu'ye
1.74	fog	yikbaba-'dʸeʔ
1.75	rain (noun)	a'ɲe
1.76	snow (noun)	yikbaba'dʸeʔ
1.77	ice	c̷ãf'wa
1.78	weather	'hœndsi
1.81	fire	'c̷ih
1.82	flame (noun)	yenamki-'c̷ih; c̷ih-yenam'ki
1.83	smoke (noun)	hiʔi'sa
1.84	ashes	čim
1.841	embers	kœh
1.851	burn (vb trans)	xixoʔ'ɲe
1.852	burn (vb intrans)	mii'tiʔ
1.86	light, kindle, ignite	pas'se
1.861	extinguish	kibe'he
1.87	match (noun)	[pa'fera]
1.88	firewood	'c̷ih
1.89	charcoal	kœh
2.1	person, human being	'mointki
2.21	man (vs. woman)	'c̷oɲ
2.22	woman	'pheɲ
2.23	male	'c̷oɲ
2.24	female	'pheɲ
2.25	boy	mi'ki-t
2.251	young man (adolescent)	na'na-t
2.26	girl	mi'ki-s
2.261	young woman (adolescent)	na'na-s
2.27	child	mi'ki-t
2.28	infant, baby	xuih'ɲo
2.31	husband	wem-t'ye
2.32	wife	he'yeye; 'pheɲ
2.33	marry	we'mi
2.34	marriage, wedding	weme-'dʸe
2.341	divorce	ɲak'čui; ɲakčũi-'dʸe (?)
2.35	father	'tata; 'ata
2.36	mother	'nonoʔ
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	'awa
2.42	daughter	'awa
2.43	offspring (son or daughter)	
2.44	brother	wo'xi-tk
2.444	older brother	wo'xi-t-i'su
2.445	younger brother	wo'xi-t ka'ki-tk
2.45	sister	wo'xi-ʔ
2.454	older sister	wo'xi-ʔ-i'su
2.455	younger sister	wo'xi-ʔ-ka'ki-s
2.456	sibling	
2.458	twins	e'pu
2.46	grandfather	wui'ʔa
2.461	old man	'išu 'c̷oɲ
2.47	grandmother	he'ye
2.471	old woman	'išu pheɲ
2.48	grandson	wui'ʔa
2.49	granddaughter	he'ye
2.51	uncle	
2.511	mother's brother	kyu'ye; 'papa
2.512	father's brother	'ata; xein'dʸek
2.52	aunt	
2.521	mother's sister	c̷e'dʸe
2.522	father's sister	'yaya
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	irik'yač
2.57	descendants	awa-'ʔin
2.61	father-in-law (of a man)	kyu'ye
2.611	father-in-law (of a woman)	pa'pa; xep'ya
2.62	mother-in-law (of a man)	ki-s
2.621	mother-in-law (of a woman)	'yaya
2.63	son-in-law (of a man)	kyu'ye
2.631	son-in-law (of a woman)	'xei
2.64	daughter-in-law (of a man)	xep'ya
2.641	daughter-in-law (of a woman)	'xii
2.71	stepfather	'ata
2.72	stepmother	c̷e'dʸe
2.73	stepson	nos-'dʸe-ki
2.74	stepdaughter	nos-'dʸeʔ
2.75	orphan	[wa'čaɲ]
2.76	widow	c̷inta'ki-s
2.77	widower	c̷inta'ki-t
2.81	relatives, kinsmen	četi-'dʸe
2.82	family	četi-'dʸe
2.91	I	yo'ẽ
2.92	you (singular)	mi
2.93	he/she/it	mœ; mo
2.94	we	
2.941	we (inclusive)	'c̷uɲ
2.942	we (exclusive)	
2.95	you (plural)	mi'ʔin
2.96	they	mœ'ʔin; mo'ʔin
3.11	animal	hebak-'dʸe
3.12	male (adj)	'c̷oɲ
3.13	female (adj)	'pheɲ
3.15	livestock	[wa'ka]-ʔin
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	['toro]
3.22	ox	['bweye]
3.23	cow	['waka]
3.24	calf	'bansis
3.25	sheep	[obe'ka]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	ki'ʔti
3.34	sow	[ku'c̷i]
3.35	pig	[ku'c̷i]
3.36	goat	[ka'bra]
3.37	he-goat	['čibo]
3.38	kid	
3.41	horse (equine)	[kaba'yu]
3.42	stallion	
3.44	mare	['yewa]
3.45	foal, colt	
3.46	ass, donkey	['buro]
3.47	mule	['mura]
3.5	fowl	haiht'ki
3.52	cock, rooster	ohte'reʔ
3.54	hen	a'taba
3.55	chicken	mi'ki-t a'taba
3.56	goose	['ganso]
3.57	duck	[pa'to]
3.58	nest	tix'mo
3.581	bird	haiht'ki
3.582	seagull	
3.583	heron	boyih'naʔ
3.584	eagle	hoʔ
3.585	hawk	
3.586	vulture	ši'ʔe
3.591	bat	c̷i'ɲiʔ
3.592	parrot	ku'c̷ibi; ut'ki; awa'rõ; twa; i'yaʔ
3.593	crow	
3.594	dove	oʔo'toʔ; fwa'ye; fwehf'weʔ
3.596	owl	oʔbo'yoʔ
3.61	dog	ač'yo
3.614	rabbit	antkya'kya; mat'kyaʔ
3.62	cat	['miši]
3.622	opossum	wa'riši
3.63	mouse, rat	'čošo; ča'maʔ
3.65	fish	ta'bedʸe
3.652	fin (dorsal)	čikin-'dʸe
3.653	fishscale	papaiɲ
3.654	gill	šaʔa'waʔ
3.655	shell	c̷aa'c̷a
3.661	shark	--
3.662	porpoise, dolphin	xebaba-'dʸe
3.663	whale	[ba'yena]
3.664	stingray	i'sinœ
3.665	freshwater eel	i'c̷o
3.71	wolf	
3.72	lion	nye'ta
3.73	bear	[oso] huyučye'ɲe
3.74	fox	fofohis; waawa'a
3.75	deer	bačyo'na; ɲe
3.76	monkey	bu'yu
3.77	elephant	--
3.78	camel	--
3.81	insect	yi'riris 'ʔin
3.811	louse	'c̷ix
3.812	nit (louse egg)	fen-'c̷ix
3.813	flea	miix
3.814	centipede	se'wa'yaʔ
3.815	scorpion	ihki'ki
3.816	cockroach	ša'bo
3.817	ant	kastkit'ki; ki'kiki; kya'ki; a'yuša
3.818	spider	ohto'ko; mi'kis ohto'ko
3.819	spider web	byohto'ko
3.82	bee	ku'ruma
3.821	beeswax	iix'pe
3.822	beehive	tihmœ ku'ruma-s
3.823	wasp	'c̷ib
3.83	fly	heroh'ro
