entry_id	trans_english	Mansi_Phonemic
3.52	cock, rooster	sʸisʸkur̃ʸek
3.54	hen	ne sʸisʸkur̃ʸek
3.55	chicken	sʸisʸkur̃ʸek koy; sʸisʸkur̃ʸek pɨɣr̃ʸisʸ
3.56	goose	lunt
3.57	duck	was
3.58	nest	pʸitʸi; umʸi
3.581	bird	towlɨŋ uy
3.582	seagull	xalew
3.583	heron	tar̃ɨɣ
3.584	eagle	yuswoy
3.585	hawk	xor̃txan
3.586	vulture	- -
3.591	bat	towlaŋ matapr̃ʸisʸ
3.592	parrot	yipʸi
3.593	crow	ur̃ʸinekwa
3.594	dove	- -
3.596	owl	maŋkla; yipʸi
3.61	dog	amp; kutʸuw
3.614	rabbit	sowɨr̃
3.62	cat	katʸi
3.622	opossum	- -
3.63	mouse, rat	matapr̃ʸisʸ ~ por̃suy; xuntɨlʸ
3.65	fish	xul
3.652	fin (dorsal)	xul tax
3.653	fishscale	sam
3.654	gill	nʸaxsʸam
3.655	shell	kʸer̃
3.661	shark	- -
3.662	porpoise, dolphin	- -
3.663	whale	- -
3.664	stingray	- -
3.665	freshwater eel	- -
3.71	wolf	salɨ pur̃ne uy ~ salɨ uy ~ xaytnut
3.72	lion	- -
3.73	bear	wor̃tolnut; tor̃ʸew
3.74	fox	oxsar̃
3.75	deer	salɨ
3.76	monkey	- -
3.77	elephant	- -
3.78	camel	- -
3.81	insect	- -
3.811	louse	takum
3.812	nit (louse egg)	sanɨɣ
3.813	flea	sus
3.814	centipede	- -
3.815	scorpion	- -
3.816	cockroach	tar̃akan
3.817	ant	xoswoy
3.818	spider	nʸimsar̃ekwa
3.819	spider web	nʸimsar̃ pun ~ nʸimsar̃ pats
3.82	bee	maɣwar̃up
3.821	beeswax	- -
3.822	beehive	maɣwar̃up kol
3.823	wasp	palum
3.83	fly	ser̃ʸiwar̃up
3.831	sandfly (midge), gnat	manʸuy, lʸomwoy
3.832	mosquito	lʸomwoy
3.84	worm	nʸar̃uy; matar̃; woykanuy
3.85	snake	yalpɨŋuy
3.91	firefly	- -
3.92	butterfly	lapantɨ
3.93	grasshopper	pumtoslup
3.94	snail	- -
3.95	frog	por̃ʸiɣpanekwa
3.96	lizard	osʸsʸaleɣ
3.97	crocodile, alligator	- -
3.98	turtle	- -
4.11	body	alpi
4.12	skin, hide	sow
4.13	flesh	nʸowlʸ
4.14	hair (head)	at
4.142	beard	tus
4.144	body hair	at
4.145	pubic hair	at
4.146	dandruff	xalʸp
4.15	blood	wɨɣɨr̃; kʸelpa
4.151	vein, artery	kʸelptar̃s
4.16	bone	luw
4.162	rib	oŋtɨl
4.17	horn	anʸt
4.18	tail	leɣ
4.19	back	sɨs
4.191	spine	sɨsluw
4.2	head	puŋk
4.201	side of head, temple	wowtma
4.202	skull	puŋkluw
4.203	brain	walm
4.204	face	wʸilʸt
4.205	forehead	wʸilʸtyat
4.207	jaw	ulsʸ
4.208	cheek	payt
4.209	chin	eŋɨn
4.21	eye	sam
4.212	eyebrow	sam xulʸm punɨt
4.213	eyelid	samyer̃
4.214	eyelash	sampun
4.215	blink	r̃apasʸ; r̃apsʸuŋkwʸe
4.22	ear	palʸ
4.221	earlobe	- -
4.222	earwax	palʸ oŋx
4.23	nose	nʸol
4.231	nostril	nʸolssamas
4.232	mucus (nasal)	polx
4.24	mouth	sup
4.241	beak	towlɨŋ uy nʸol
4.25	lip	pʸitʸmʸi
4.26	tongue	nʸelum
4.27	tooth	puŋk
4.271	gums	puŋknʸowlʸit
