entry_id	trans_english	Mansi_Phonemic
10.47	go	yiŋkwʸe; minuŋkwʸe; yalasaŋkwʸe
10.471	go up	nox xaŋxɨɣlaluŋkwʸe; nox xaŋxuŋkwʸe
10.472	climb	xaŋxuŋkwʸe; xaŋxsuŋkwʸe
10.473	go down	yola waɣluŋkwʸe
10.474	go out	kon kwalsuŋkwʸe; kon kwaluŋkwʸe
10.48	come	yoxtuŋkwʸe; yoxtalaŋkwʸe
10.481	come back	yuwle minuŋkwʸe; yuwle yoxtuŋkwʸe
10.49	go away, depart	kon kwaluŋkwʸe
10.491	disappear	ustalaxtuŋkwʸe
10.51	flee	xaytuŋkwʸe
10.52	follow	ur̃ɣalaŋkwʸe; nʸawluŋkwʸe
10.53	pursue	posuŋkwʸe; nʸawluŋkwʸe
10.55	reach, arrive	yoxtuŋkwʸe
10.56	approach	watimaŋkwʸe
10.57	enter	sʸaltuŋkwʸe
10.61	carry (bear)	totuŋkwʸe; alantaŋkwʸe
10.612	carry-in-hand	kat kʸiwɨr̃t totɨɣlaŋkwʸe
10.613	carry-on-shoulder	waŋn tar̃mɨl totɨɣlaŋkwʸe
10.614	carry-on-head	puŋk tar̃mɨl totɨɣlaŋkwʸe
10.615	carry-underarm	xanɨlpattat totɨɣlaŋkwʸe
10.62	bring	totuŋkwʸe
10.63	send	ketuŋkwʸe; ketɨɣlaluŋkwʸe
10.64	lead (vb)	wanltaŋkwʸe; totɨɣlaluŋkwʸe
10.65	drive	posuŋkwʸe
10.66	ride	mʸinuŋkwʸe; yalaŋkwʸe
10.67	push, shove	tuyuŋkwʸe; puwtuŋkwʸe
10.71	road	lʸoŋx
10.72	path	lʸoŋxyas
10.74	bridge	unsax
10.75	carriage, wagon, cart	- -
10.76	wheel	lak
10.77	axle	- -
10.78	yoke	- -
10.81	ship	nayiŋxap ~ ulʸaŋ xap
10.83	boat	xap
10.831	canoe	xap
10.832	outrigger	- -
10.84	raft	por̃
10.85	oar	tup
10.851	paddle (noun)	sanstup
10.852	row (vb)	towuŋkwʸe
10.86	rudder	possum
10.87	mast	par̃s aŋkwal ~ nayiŋ xap sayt
10.88	sail (noun)	par̃s
10.89	anchor	yakar̃
10.91	harbor, port	- -
10.92	land (vb)	paɣ kwaluŋkwʸe; paɣ puxtɨɣlalɨŋkwʸe
11.11	have	onʸsʸuŋkwʸe
11.12	own, possess	onʸsʸuŋkwʸe
11.13	take	wʸiŋkwʸe; woylaluŋkwʸe
11.14	seize, grasp	puwumtaŋkwʸe; konsɨɣtantuŋkwʸe
11.15	hold	onʸsʸuŋkwʸe; puwuŋkwʸe
11.16	get, obtain	katnpattuŋkwʸe; aluŋkwʸe
11.17	keep, retain	onʸsʸuŋkwʸe; puwuŋkwʸe
11.18	thing	ut; por̃mas
11.21	give	mʸiŋkwʸe; mayɣilaluŋkwʸe
11.22	give back	yuwlʸe mʸiŋkwʸe; yuwlʸe maylaluŋkwʸe
11.24	preserve, look after	ur̃ɣalaŋkwʸe
11.25	save, rescue	lɨlite neɣilttaluŋkwʸe
11.27	destroy	raw sakwatuŋkwʸe; wonʸsʸalɨɣ war̃uŋkwʸe
11.28	harm, injure, damage	r̃et war̃uŋkwʸe
11.31	seek, look for	kʸinsuŋkwʸe
11.32	find	xontɨɣlaŋkwʸe; xontaŋkwʸe
11.33	lose	ustalaŋkwʸe; ustaŋkwʸe
11.34	release, let go	tar̃ataŋkwʸe
11.43	money	oln
11.44	coin	manʸoln ~ ker̃oln
11.51	rich	sʸoliŋ
11.52	poor	nusa; kunʸar̃; sottal
11.53	beggar	nusa
11.54	avaricious, stingy	sʸakar̃
11.61	lend	saymʸilaɣ mʸiŋkwʸe; ar̃ntaɣ mʸiŋkwʸe
11.62	borrow	ar̃ntaɣ wʸiŋkwʸe; saymʸilaɣ woylaŋkwʸe
11.63	owe	saymʸilaniɣ oluŋkwʸe; ar̃ntaŋiɣ oluŋkwʸe
11.64	debt	ar̃nta ~ saymil
11.65	pay (vb)	oytuŋkwʸe
11.66	account, reckoning	lowinʸtupsa
11.69	tax, tribute	- -
11.77	hire	mʸetalaŋkwʸe
11.78	wages	mʸeta tɨn
11.79	earn	oln seluŋkwʸe
11.81	buy	yowtuŋkwʸe
11.82	sell	tɨnalaŋkwʸe
11.83	trade, barter	tɨnalaxtaŋkwʸe
11.84	merchant	wata xum ~ tɨnalaxtan xum
11.85	market (place)	tɨnalaxtan kan
11.86	store, shop	lapka
11.87	price	tɨn
11.88	dear (costly, expensive)	tɨnaŋ
11.89	cheap	tɨntal
11.91	share (distribute)	ur̃tuŋkwʸe
11.92	weigh	weskalaŋkwʸe
12.1	after	yotɨl ~ tuwɨl; yuyi ~ palt
12.11	behind	yuyil ~ yuyi-palt
12.2	beside	poxat
12.3	down, below	yoln; yolalʸ
12.4	before	sar̃t; sar̃tnuw; pʸes por̃at
12.41	front	kol elɨpal
12.5	inside, in	kʸiwɨr̃t
12.6	outside	konɨ-palt
12.7	under	yolɨn
12.8	up, above	numɨn
12.11	place	ma ~ kan
12.12	put	punuŋkwʸe; tusʸtalaŋkwʸe
12.13	sit	unluŋkwʸe
12.14	lie down	xuyuŋkwʸe
12.15	stand	lʸulʸuŋkwʸe
12.16	remain, stay	xulʸtuŋkwʸe
12.17	remains, left overs	xulʸtɨm utɨt
12.21	collect, gather	atuŋkwʸe; watuŋkwʸe
12.212	pick up	nox almaŋkwʸe
12.213	pile up	- -
12.22	join, unite	akwan oltuŋkwʸe
12.23	separate	kʸittɨɣ ur̃tuŋkwʸe
12.232	divide	lakkwa-ur̃tuŋkwʸe
12.24	open	punsuŋkwʸe
12.25	shut, close	lap-pantuŋkwʸe; lap-towr̃taŋkwʸe
12.26	cover	lepuŋkwʸe
12.27	hide, conceal	tuytuŋkwʸe; tuytɨɣlaŋkwʸe
12.31	high	kar̃sʸ ~ lʸulʸiŋ
12.32	low	talkwa
12.33	top	numʸi-pal; talʸix
12.34	bottom	patta
12.35	end	owɨl; yuwowɨl
12.352	pointed	pelp; talʸxaŋ
12.353	edge	talʸix; yer̃; wata
12.36	side	pal; yer̃; poxa
12.37	middle, center	kotʸilʸ
12.41	right (side)	yomas-pal ~ xonɨ-pal
12.42	left (side)	wor̃ti-pal
12.43	near (adv)	lʸapat
12.44	far (adv)	xosat ~ eln
12.45	east	xotal neɣlane pal
12.46	west	nʸor̃ pal; xotal untne yer̃
12.47	north	luyma
12.48	south	mor̃tɨ ma
12.53	grow	yanɨɣmaŋkwʸe; teluŋkwʸe
12.54	measure	ar̃talaŋkwʸe; mʸer̃ʸitaŋkwʸe
12.541	span, fathom	- -
12.55	large, big	yanɨɣ
12.56	small, little	manʸ
12.57	long	xosa
12.58	tall	kar̃sʸ ~ lʸulʸiŋ
12.59	short	watʸi
12.61	wide, broad	paxwaŋ ~ losʸit
12.62	narrow	osʸsʸa; mar̃um
12.63	thick (in dimension)	osɨŋ
12.65	thin (in dimension)	osʸsʸa
12.67	deep	mʸil
12.68	shallow	tosam
12.71	flat	pant
12.73	straight	soxta
12.74	crooked	sowi
12.75	hook	waŋkr̃ʸep
12.76	corner	sampatta
12.77	cross	pʸer̃na 
12.78	square	nʸilasampattap
12.81	round	yeŋta
12.82	circle	yeŋta lak
12.83	sphere, ball	yeŋta xur̃ɨɣ
12.84	line	sʸur̃tmʸil
12.85	hole	as
12.92	like, similar	tamlʸe xur̃ipa
12.93	change	pentuŋkwʸe
13.0	zero, nothing	wonʸsʸal ~ nematar̃
13.1	one	akw ~ akwa
13.2	two	kʸit ~ kʸitɨɣ
13.3	three	xur̃um
13.4	four	nʸila
13.5	five	at
13.6	six	xot
13.7	seven	sat
13.8	eight	nʸololow
13.9	nine	ontolow
13.10	ten	low
13.101	eleven	akwxuyplow
13.102	twelve	kʸitxuyplow
13.103	fifteen	atxuyplow
13.104	twenty	xus
13.105	hundred	yinɨɣsat
13.106	thousand	sotɨr̃
13.107	count	pussɨn lowinʸtaŋkwʸe
13.14	every, all	kasɨŋ; pussɨn
13.15	much, many	saw
13.16	more	sawnuw
13.17	little (quantity), few	mosʸ ~ mosʸsʸa
13.18	enough	towlɨ
13.181	some	mosʸsʸa ~ matkʸem ~ towa
13.19	multitude, crowd	sawʸit
13.21	full	taɣlɨŋ
13.22	empty	tatɨl
13.23	part, piece	pal ~ sup ~ lompt
13.24	half	pal ~ sup ~ lompt
13.33	alone, only	akw; tup akw; tup
13.34	first	owɨl ~ sar̃tne mʸinne
13.35	last	yuyi-owɨl
13.36	second	kʸitɨt
13.37	pair	kʸitɨɣ
13.38	two times	kʸitpʸis ~ kʸitsʸos
13.42	third	xurmʸit
13.44	three times	xur̃um pʸis
14.11	time	por̃a
14.12	age	not; yanɨt
14.13	new	yilʸpʸi
14.14	young	manʸlat; manʸ
14.15	old	matum; pʸes
14.16	early	alpɨl; sar̃t
14.17	late	yotɨl
14.18	now	anʸ ~ usʸtɨ
14.19	immediately	akwtɨsʸos; tar̃a molʸax
14.21	swift, fast, quick	pʸelpɨsʸ ~ kar̃kam
14.22	slow	lasʸal
14.23	hasten, hurry	molʸamlaŋkwʸe
14.24	retard, delay	r̃osʸluŋkwʸe
14.25	begin, beginning	owaltaŋkwʸe; owal
14.252	last, endure	xosa oluŋkwʸe
14.26	end (temporal)	yuwowɨl
14.27	finish	astuŋkwʸe; astlaŋkwʸe
14.28	cease, stop	xot poytaŋkwʸe
14.29	ready	astum; astlum; sʸapʸitɨm
14.31	always	akwpʸisɨɣ; kasɨŋ por̃at; akwaɣ
14.32	often	sawsʸos; watixal
14.33	sometimes	watixal
14.331	soon	tɨɣɨl; molʸax
14.332	long-time (for a)	xosa
14.34	never	nemxunʸt
14.35	again	ostɨ
14.41	day	xotal
14.42	night	et
14.43	dawn	ser̃ipos
14.44	morning	alpɨl
14.45	noon, midday	xotalyat
14.451	afternoon	xotalyat yuyipalt por̃a
14.46	evening	etʸipala
14.47	today	tɨxotal
14.48	tomorrow	xolɨtan
14.481	day-after-tomorrow	matxotal
14.49	yesterday	molxotal
14.491	day-before-yesterday	xur̃mʸit xotal
14.51	hour	sʸas
14.53	clock, timepiece	sʸas
14.61	week	sat
14.62	Sunday	sat puŋk xotal
14.63	Monday	sat owɨl xotal
14.64	Tuesday	sat kʸitɨt xotal
14.65	Wednesday	sat xur̃mʸit xotal
14.66	Thursday	sat nʸilɨt xotal
14.67	Friday	sat atɨt xotal
14.68	Saturday	sat xotɨt xotal
14.71	month	otpos ~ yoŋxup
14.73	year	tal
14.74	winter	telɨ
14.75	spring	tuya
14.76	summer	tuyi
14.77	autumn	takwsɨ
14.78	season	- -
15.21	smell (vb intrans)	pasuŋkwʸe
15.212	sniff	atɨnʸtaŋkwʸe
15.22	smell (vb trans)	atɨnʸtaŋkwʸe
15.25	fragrant, good smelling	atɨŋ
15.26	stinking, bad smelling	sʸuxr̃ʸem; saym
15.31	taste	ar̃talalɨɣlaŋkwʸe
15.35	sweet	atɨŋ
15.36	salty	solwalɨŋ
15.37	bitter	wosʸr̃am ~ wosʸr̃amɨŋ
15.38	acid, sour	wosʸr̃amɨŋ; šumum
15.39	brackish	solwaliŋnuw
15.41	hear	xuntlaluŋkwʸe
15.42	listen	xuntlaŋkwʸe
15.44	sound, noise	suy
15.45	loud	suyn
15.46	quiet, silence	suytal
15.51	see	sunsuŋkwʸe
15.52	look, look at	sunsuŋkwʸe
15.55	show	taktalaŋkwʸe; xultiɣlaŋkwʸe
15.56	shine	wolʸɣuŋkwʸe; postuŋkwʸe
15.57	bright	posɨŋ
15.61	color	pos
15.62	light (in color)	atɨr̃
15.63	dark (in color)	semɨlxar̃pa
15.64	white	woykan; yaŋk
15.65	black	semil
15.66	red	kelp ~ wɨɣir̃
15.67	blue	etar̃xar̃ʸi
15.68	green	nʸar̃pumospa
15.69	yellow	wosʸr̃am; xoyim lupta
15.71	touch	nowɣalaŋkwʸe; xoyiltaliɣlaŋkwʸe
15.712	pinch	pasʸr̃aŋkwʸe
15.72	feel	malasʸlaŋkwʸe
15.74	hard	sosum; tak
15.75	soft	kamʸinʸt
15.76	rough	- -
15.77	smooth	sastum
15.78	sharp	pʸelpa; talʸxaŋ
15.79	blunt, dull	nʸas; talʸixtal
15.81	heavy	tar̃wʸitaŋ
15.82	light (in weight)	kupnʸit
15.83	wet, damp	wʸitɨŋ
15.84	dry	tosam
15.85	hot	r̃ʸeɣiŋ; isum
15.851	warm	malʸtʸip; r̃eɣɨŋ
15.86	cold	asʸar̃ma; asʸir̃maŋ
15.87	clean	sɨstam
15.88	dirty, soiled	paŋkɨŋ
15.89	wrinkled	lomar̃ʸiŋ
16.11	soul, spirit	lɨlɨ
16.15	surprised, astonished	- -
16.18	good fortune, luck	sot
16.19	misfortune, bad luck	saw ~ sawatpʸi
16.23	joyful, glad, happy	sʸaɣtɨlɨŋ ~ kasɨŋ
16.25	laugh	muwinʸtaŋkwʸe
16.251	smile	kunʸɣuŋkwʸe
16.26	play	yonɣuŋkwʸe
16.27	love	er̃upsa; er̃uptaŋkwʸe
16.29	kiss	anʸiɣlaŋkwʸe
16.3	embrace	sɨnɣataluŋkwʸe
16.31	pain	awm
16.32	grief, sorrow, sadness	saw ~ sawatpʸi
16.33	anxiety, worry	ur̃ɣalan war̃malʸ
16.34	regret, be sorry	salitaŋkwʸe
16.35	pity	salʸ
16.37	cry, weep	lʸunʸsʸuŋkwʸe
16.38	tear (noun)	samwit
16.39	groan	sakuŋkwʸe
16.41	hate	lawɨl neɣluŋkwʸe
16.42	anger	kant; law; sam
16.44	envy, jealousy	- -
16.45	shame (noun)	esɨr̃ma
16.48	proud	yor̃ɨŋ ~ yor̃iɣlaɣtan
16.51	dare	- -
16.52	brave	pʸiltal
16.53	fear, fright	pʸilɨsʸma
16.54	danger	pʸilɨsʸma
16.62	desire, want	taŋxuŋkwʸe ~ kasasʸaŋkwʸe
16.622	choose	pʸer̃ʸiyalɨɣlaŋkwʸe
16.63	hope	- -
16.65	faithful	- -
16.66	true	musxalɨ
16.67	lie, tell lies	lapalaxtuŋkwʸe
16.68	deceit	laplɨl
16.69	forgive	- -
16.71	good	yomas; musxalɨ
16.72	bad	lʸulʸ
16.73	right, correct	yomaspal; musxalɨ
16.74	wrong	sowʸi
16.76	fault	wunawot
16.77	mistake, error	sowʸi war̃malʸ
16.78	blame	lʸawtne
16.79	praise	esɣil
16.81	beautiful	xor̃amaŋ ~ nʸotne ~ xur̃iŋ
16.82	ugly	xur̃ital; lʸulʸ xur̃ip
16.83	greedy	nʸelaŋ; sʸakar̃
16.84	clever	nomtiŋ
17.11	mind	nomt
17.13	think (= reflect)	nomsuŋkwʸe
17.14	think (= be of the opinion)	yomas nomsuŋkwʸe
17.15	believe	aɣtuŋkwʸe
17.16	understand	ossɨɣ war̃uŋkwʸe; tar̃a pattuŋkwʸe; tor̃ɣamtaŋkwʸe
17.17	know	waŋkwʸe
17.171	guess	nomsuŋkwʸe
17.172	imitate	akwtox war̃uŋkwʸe
17.18	seem	naŋkxatuŋkwʸe ~ susxatuŋkwʸe
17.19	idea, notion	nomt ~ os
17.21	wise	nomtaŋ
17.22	foolish, stupid	ossam
17.23	insane, crazy	kʸitxal
17.24	learn	xanʸisʸtaxtuŋkwʸe
17.242	study	ossiɣ war̃uŋkwʸe
17.25	teach	xanʸisʸtaŋkwʸe
17.26	pupil	xanʸisʸtaxtan nʸawr̃am
17.27	teacher	nʸawr̃am xanʸisʸtan xotpa
17.28	school	nʸawr̃am xanʸisʸtan kol
17.31	remember	nomuŋkwʸe
17.32	forget	yor̃uwlaŋkwʸe
17.34	clear, plain	etar̃
17.35	obscure	- -
17.36	secret	tuytxatɨm ~ sɨtam ~ tulɨt
17.37	sure, certain	wʸesʸkat
17.38	explain	tor̃ɣamtaptuŋkwʸe
17.41	intention, purpose	ar̃talaxtap
17.42	cause	manar̃ maɣɨstelne nak
17.43	doubt	at wane war̃malʸ
17.44	suspect	at waŋkwʸe
17.441	betray	lawuŋkwʸe
17.45	need, necessity	er̃ne war̃malʸ
17.46	easy	kupnʸit
17.47	difficult	tar̃wʸitiŋ
17.48	try, attempt	sɨmɨŋɨs war̃uŋkwʸe
17.49	way, manner	ar̃talaŋkwʸe
17.51	and	- -
17.52	because	os
17.53	if	tayi maɣɨs
17.54	or	kʸe
17.55	yes, affirmative	aman
17.56	no, negative	toxatɨ ~ toxa
17.61	how?	xumus?
17.62	how many?	mansawʸit ~ mankʸem ~ manax?
17.63	how much?	manar̃?
17.64	what?	xunʸ?
17.65	when?	xot?; xotalʸ?; xotɨl?
17.66	where?	mansɨr̃?; manxur̃ip?; xotɨ?
17.67	which?	xotyut?; xoŋxa?
17.68	who?	manr̃ɨɣ?; manar̃ maɣɨs?
17.69	why?	tur̃suy?
18.11	voice	er̃ɣuŋkwʸe; luyɣuŋkwʸe
18.12	sing	r̃oŋxuŋkwʸe
18.13	shout, cry out	wosɣuŋkwʸe
18.15	whisper	- -
18.16	mumble	lomɣuŋkwʸe
18.17	whistle	kʸisɣuŋkwʸe
18.18	shriek, screech	lʸulʸ tur̃ɨl r̃oŋxuŋkwʸe
18.19	howl	or̃wʸinʸtaŋkwʸe; sʸiwɣuŋkwʸe
18.21	speak, talk	potar̃taŋkwʸe
18.211	stutter, stammer	taɣlaŋkwʸe
18.22	say	lawuŋkwʸe
18.221	tell story	potar̃taŋkwʸe
18.222	speech (make a)	latɨŋ onʸsʸuŋkwʸe
18.23	silent (be)	astal oluŋkwʸe; mar̃awiyir̃ oluŋkwʸe
18.24	language	latiŋ
18.26	word	latiŋ
18.28	name	nam
18.31	ask (question, inquire)	kʸitɨɣlaŋkwʸe
18.32	answer	yuwlʸe lawuŋkwʸe
18.33	admit, confess	kasasʸaliɣlaŋkwʸe
18.34	deny	xot pʸer̃iɣtaxtuŋkwʸe
18.35	ask, request	takʸiɣ kʸitɨɣlaŋkwʸe
18.36	promise	lawxatuŋkwʸe
18.37	refuse	at kasasʸaŋkwʸe
18.38	forbid	lap yar̃maltaŋkwʸe
18.39	rebuke, scold	- -
18.41	call (=summon)	wowuŋkwʸe
18.42	call (=name)	namayaŋkwʸe
18.43	announce	maxumn lawuŋkwʸe
18.44	threaten	pʸilataluŋkwʸe
18.45	boast	essiɣxatuŋkwʸe
18.51	write	xansuŋkwʸe
18.52	read	lowʸinʸtaŋkwʸe
18.56	paper	nepak
18.57	pen	xasne yiw
18.61	book	nepak
18.67	poet	- -
18.71	flute	- -
18.72	drum	- -
18.73	horn, trumpet	er̃ɣan manʸtur̃ tur̃pa
18.74	rattle	manʸ loŋxanʸsʸip
19.11	country	ma
19.12	one's native country	sossa ma
19.15	city, town	us
19.16	village	pawɨl
19.17	boundary	- -
19.21	people (populace)	maxum ~ mʸir̃
19.23	tribe, clan	r̃ut
19.24	chief, chieftain	kusʸay
19.25	staff, walking stick	suw yiwowɨl
19.31	rule, govern	puŋktotuŋkwʸe
19.32	king, ruler	- -
19.33	queen	- -
19.36	noble, nobleman	- -
19.37	citizen, subject	- -
19.41	master	kusʸay
19.42	slave	- -
19.43	servant	mʸetxum
19.44	freeman	osa ~ lɨpasʸ
19.45	command, order	lawuŋkwʸe
19.46	obey	xotpan xontluŋkwʸe
19.47	let, permit	tar̃ataŋkwʸe
19.51	friend, companion	yur̃t ~ r̃uma
19.52	enemy	wor̃ak
19.54	neighbor	lʸapat olne xotpa
19.55	stranger	motxotpa
19.56	guest	muyxum ~ muyn xotpa
19.57	host	kusʸay
19.58	help, aid	nʸotuŋkwʸe
19.59	hinder, prevent	tor̃astaŋkwʸe
19.61	custom	pʸisʸ
19.62	strife, quarrel	wor̃asʸlaxtin war̃malʸ
19.63	conspiracy, plot	wor̃ak war̃malʸ
19.65	meet	xontiɣlaluŋkwʸe; lʸalʸt xontuŋkwʸe
19.72	prostitute	posar̃
20.11	fight (vb)	alxatuŋkwʸe; xontlaŋkwʸe
20.13	war, battle	xont
20.14	peace	xonttal olupsa
20.15	army	- -
20.17	soldier	- -
20.21	weapons, arms	pʸisalʸ
20.22	club	muwɨr̃
20.222	battle-ax	- -
20.23	sling	- -
20.24	bow	yowt
20.25	arrow	nʸol
20.26	spear	owta
20.27	sword	soxt sʸir̃ay
20.28	gun, cannon	pʸisalʸ
20.31	armor (defensive)	- -
20.33	helmet	- -
20.34	shield	- -
20.35	fortress	- -
20.36	tower	- -
20.41	victory	yolɨmtan war̃malʸ; nox patne war̃malʸ
20.42	defeat	- -
20.43	attack	xont
20.44	defend	ur̃ɣalalɨɣlaŋkwʸe
20.45	retreat	yuwlʸe nupɨl mʸinuŋkwʸe
20.46	surrender	miŋkwʸe
20.47	captive, prisoner	- -
20.471	guard, sentinel	- -
20.48	booty, spoils	alsʸ
20.49	ambush	tuytxatɨm unluŋkwʸe
20.51	fisherman	xul alisʸlan xotpa
20.52	fishhook	nʸas
20.53	fishing line	nʸas kwalɨɣ
20.54	fishnet	xulp
20.55	fish trap	mʸer̃ʸoša
20.56	bait	- -
20.61	hunt	wor̃ayaŋkwʸe
20.62	shoot	patlaptaŋkwʸe
20.63	miss (target)	tar̃a patamtaŋkwʸe
20.64	trap (noun)	ker̃nʸol alsʸ
20.65	trap (vb)	kʸer̃nʸolɨl puwuŋkwʸe
21.11	law	sakkon
21.15	court	sut
21.16	judge (vb)	sutʸitaŋkwʸe
21.17	judgment	- -
21.18	judge (noun)	sut xotpa
21.21	plaintiff	- -
21.22	defendant	- -
21.23	witness	- -
21.24	swear	- -
21.25	oath	- -
21.31	accuse	wunawotɨɣ lawuŋkwʸe
21.32	condemn	wunawotɨɣ lawuŋkwʸe
21.33	convict (vb)	wunawotɨɣ lawuŋkwʸe
21.34	acquit	wunawottal pattuŋkwʸe
21.35	guilty	wunawot
21.36	innocent	wunawottal
21.37	penalty, punishment	- -
21.38	fine	astr̃ap
21.39	prison, jail	kasna kol
21.42	murder	alne war̃malʸ
21.43	adultery	posar̃
21.44	rape	- -
21.46	arson	namɨl ulʸan tɨttane war̃malʸ
21.47	perjury	- -
21.51	steal	tulmantaŋkwʸe
21.52	thief	tulmax
22.11	religion	tor̃um war̃malʸ
22.12	God	tor̃um
22.13	temple, church	yalpɨŋ kol
22.14	altar	yalpɨŋ kan
22.15	sacrifice, offering	yir̃
22.16	worship	puŋk pinuŋkwʸe
22.17	pray	poyksʸiŋkwʸe
22.18	priest	pup
22.19	holy, sacred	yalpaŋ
22.22	preach	xanʸisʸtaŋkwʸe
22.23	bless	yomas lawuŋkwʸe
22.24	curse	- -
22.26	fast (vb)	- -
22.31	heaven	tor̃umxar̃ʸi
22.32	hell	- -
22.35	demon (evil spirit)	kulʸ
22.37	idol	tuŋx
22.42	magic, witchcraft, sorcery	sʸar̃ɣane
22.43	sorcerer, witch	xinʸ otɨr̃ ne
22.44	fairy, elf	- -
22.45	ghost, phantom	yisxor̃
22.47	omen, portent	- -
