entry_id	trans_english	Armenian,_Eastern_Phonemic
4.25	lip	š[ə]rtʰunkʰ, shurtʰ
4.26	tongue	lezu
4.27	tooth	atˀam
4.271	gums	lind
4.272	molartooth	seɣanatˀam
4.28	neck	viz
4.281	nape of neck	c̷ˀoc̷ˀrakˀ
4.29	throat	kˀokˀord
4.3	shoulder	us
4.301	shoulderblade	usatʰiakˀ
4.302	collarbone	anrakˀ
4.31	arm	tʰev
4.312	armpit	tʰevatˀakˀ
4.32	elbow	armunkˀ
4.321	wrist	dastˀakˀ
4.33	hand	d͜zer̃kʰ
4.331	palm of hand	apʰ
4.34	finger	matˀ
4.342	thumb	b[ə]tʰamatˀ
4.344	fingernail	yeɣung
4.345	claw	čˀankˀ, magil
4.35	leg	s[ə]runkʰ, votˀkʰ
4.351	thigh	zistˀ, azd[ə]r
4.352	calf of leg	s[ə]r[ə]nkʰamis, s[ə]r[ə]nkʰad͜zukˀ
4.36	knee	c̷unkˀ
4.37	foot	votˀkʰ
4.371	ankle	(votˀkʰi) kˀočˀ
4.372	heel	kˀ[ə]runkˀ, garšapˀar
4.374	footprint	votˀkʰi hetˀkʰ, votˀnahetˀkʰ
4.38	toe	votˀkʰi matˀ, votˀnamatˀ
4.392	wing	tʰev
4.393	feather	pʰetˀur
4.4	chest	kˀurc̷ˀkʰ
4.41	breast (of woman)	(kˀ[ə]noǰ) kˀurc̷ˀkʰ, c̷ˀic̷ˀ
4.412	nipple, teat	pˀ[ə]tˀukˀ
4.42	udder	kˀurc̷ˀ, stˀinkʰ, c̷ˀic̷ˀ
4.43	navel	pˀortˀ
4.44	heart	sirtˀ
4.441	lung	tʰokʰ
4.45	liver	lyard
4.451	kidney	yerikˀam
4.452	spleen	pʰayc̷ˀax
4.46	stomach	stˀamokʰs
4.461	intestines, guts	aɣikʰ, pʰorotˀikʰ
4.462	waist	meǰkʰ, iran
4.463	hip	kˀonkʰ
4.464	buttocks	hetˀuykʰ, n[ə]stˀatˀeɣi
4.47	womb	argand
4.49	testicle	amord͜zikʰ
4.492	penis	ar̃nandam
4.51	breathe, breath	š[ə]nčʰel
4.52	yawn, gape	horanǰel
4.521	hiccough	z[ə]kˀ[ə]r̃tˀal, d͜z[ə]g[ə]rtˀal
4.53	cough	hazal
4.54	sneeze	pʰ[ə]r̃[ə]štˀal
4.55	perspire	kʰ[ə]rtˀnel
4.56	spit	tʰ[ə]kʰel
4.57	vomit	pʰ[ə]sxel, vorc̷ˀkˀal, yetˀ tˀal
4.58	bite	kˀ[ə]c̷ˀel, xaytʰel
4.59	lick	lizel, l[ə]pˀ[ə]stˀel
4.591	dribble	kˀatʰkˀ[ə]tʰel, c̷ˀorel
4.61	sleep	kʰ[ə]nel
4.612	snore	x[ə]r̃[ə]mpʰal, x[ə]rkˀal
4.62	dream	yerazel, yeraz tˀesnel
4.63	wake up	zartʰnel
4.64	break wind	kʰami hanel
4.65	urinate	mizel
4.66	defecate	kˀ[ə]ɣkˀ[ə]ɣankʰ
4.67	have sexual intercourse	ser̃ayin haraberutʰyun unenal
4.68	shiver	doɣal, doɣdoɣal
4.69	bathe	loɣanal
4.71	beget (of father)	beɣmnavorel, argasavorel
4.72	born (to be)	c̷ˀ[ə]nvel
4.73	pregnant	h[ə]ɣi
4.732	conceive	h[ə]ɣianal
4.74	live, living, life	apˀrel, voɣǰ, kˀyankʰ
4.75	die, dead	mer̃nel, mer̃ac̷ˀ
4.751	drowned	xeɣd[ə]vac̷ˀ
4.76	kill	spˀanel
4.77	corpse	diakˀ
4.78	bury (the dead)	tʰaɣel
4.79	grave, tomb	gerezman
4.81	strong, mighty, powerful	užeɣ, h[ə]zor
4.82	weak	tʰuyl, tˀ[ə]kˀar
4.83	well, health	ar̃oɣǰ, ar̃oɣǰutʰyun
4.84	sick, sickness	hivand, hivandutʰyun
4.841	fever	tˀend
4.842	goiter	x[ə]pˀipˀ
4.843	cold (catarrh)	harbux
4.85	wound, sore	verkʰ, xoc̷ʰ, c̷ʰav
4.852	bruise	kˀapˀtˀukˀ
4.853	swelling	aytˀuyc̷ʰ, ur̃uc̷ʰkʰ
4.854	itch	kʰor, marmaǰ
4.855	blister	b[ə]štˀikˀ
4.856	boil (noun)	pˀalar, tʰaraxapˀalar
4.857	pus	tʰarax
4.858	scar	spˀi
4.86	cure, heal	bužel, b[ə]ž[ə]škˀel
4.87	physician	b[ə]žiškˀ
4.88	medicine, drug	deɣ, darman
4.89	poison	tʰuyn
4.91	tired, weary	hognac̷ˀ
4.912	rest	hang[ə]stˀanal
4.92	lazy	c̷ˀuyl
4.93	bald	čˀaɣatˀ
4.94	lame	kˀaɣ
4.95	deaf	xul
4.96	mute	ham[ə]r
4.97	blind	kˀuyr
4.98	intoxicated	harbac̷ˀ
4.99	naked, bare	merkˀ
5.11	eat	utˀel
5.12	food	utˀelikʰ
5.121	cooked	yepʰac̷ˀ
5.122	raw	hum
5.123	ripe	hasac̷ˀ
5.124	green, unripe	xakˀ
5.125	rotten	nexac̷ˀ, pʰ[ə]tˀac̷ˀ, hotˀac̷ˀ
5.13	drink	x[ə]mel
5.14	hunger	sovac̷ˀutʰyun
5.141	famine	sov
5.15	thirst	c̷ˀarav
5.16	suck	c̷ˀ[ə]c̷ˀel
5.18	chew	c̷ˀamel
5.181	swallow	kˀul tˀal
5.19	choke	xeɣdel, xeɣd[ə]vel
5.21	cook	yepʰel
5.22	boil (vb)	yer̃al
5.23	roast, fry	xorovel, tˀapˀakel
5.24	bake	tʰ[ə]xel
5.25	oven	pʰur̃
5.26	pot, cooking vessel	aman, katʰsa
5.27	kettle	yer̃uc̷ʰičʰ, yer̃oc̷ʰ
5.28	pan	tˀapˀakˀ
