entry_id	trans_english	Armenian,_Eastern_Phonemic
9.342	press	čˀ[ə]mlel, mamlel, čˀ[ə]zmlel
9.343	squeeze, wring	čˀ[ə]zmel, kʰamel
9.35	pour	tʰapʰel
9.36	wash	l[ə]vanal
9.37	sweep	avlel
9.38	broom	avel
9.422	tool	gorc̷ˀikʰ
9.43	carpenter	hyus[ə]n, atˀaxd͜zagorc̷ˀ
9.44	build	kˀar̃uc̷ʰel, šinel
9.46	bore	c̷ˀakˀel
9.461	hollow out	pʰorel
9.48	saw	s[ə]ɣoc̷ʰ
9.49	hammer	murčˀ
9.5	nail	mex, gam
9.56	glue	sosind͜z
9.6	smith, blacksmith	darbin
9.61	forge	darbnoc̷ʰ
9.62	anvil	sal
9.63	cast (metals)	d͜zulel
9.64	gold	voskˀi
9.65	silver	arc̷ˀatʰ
9.66	copper, bronze	pˀ[ə]ɣind͜z
9.67	iron	yerkˀatˀ
9.68	lead (noun)	kˀapˀar̃
9.69	tin, tinplate	anag, tʰitʰeɣ
9.71	potter	brutˀ, kˀavagorc̷ˀ
9.72	mold (clay etc)	kˀaɣapˀarel, d͜zulel, d͜zevavorel
9.73	clay	kˀav
9.74	glass	apˀakˀi
9.75	weave, plait	hyusel, gorc̷ˀel
9.76	basket	kˀoɣov, zambyuɣ
9.77	mat	x[ə]sir, kˀapˀertˀ
9.771	rug	gorg
9.78	netbag	c̷ʰanc̷ʰ, c̷ʰanc̷ʰapˀayusakˀ
9.79	fan (noun)	hovhar
9.791	fan (vb)	hovaharvel
9.81	carve	kʰandakˀel, pʰoragrel
9.82	sculptor	kʰandakˀagorc̷ˀ
9.83	statue	ard͜zan
9.84	chisel	kˀ[ə]tˀričʰ, dur, hatˀičʰ
9.88	paint (noun)	nerkˀ
9.89	paint (vb)	n[ə]kˀarel, nerkˀel
10.11	move	šaržel, šarž[ə]vel
10.12	turn over	šur̃ tˀal, š[ə]rǰel, (myus kˀoɣmə) dard͜z[ə]nel
10.13	turn around	šur̃ gal, š[ə]rǰ[ə]vel, dar̃nal
10.14	wind, wrap	pʰatʰatʰel, pˀarurel
10.15	roll	g[ə]lorel, tʰavalel
10.16	drop (vb)	vayr g[ə]c̷ʰel
10.17	twist	volorel
10.21	rise	bard͜zranal, c̷ˀagel
10.22	raise, lift	bard͜zrac̷ʰ[ə]nel
10.23	fall	ənkˀnel
10.24	drip	kˀatʰkˀ[ə]tʰel
10.25	throw	netˀel
10.252	catch (ball)	b[ə]r̃nel
10.26	shake	c̷ʰ[ə]nc̷ʰel, tʰapʰaharel
10.32	flow	hosel
10.33	sink	suzvel, ənkˀ[ə]ɣm[ə]vel, xortˀakˀvel
10.34	float	c̷ˀ[ə]pʰal, tˀarubervel, sahel
10.35	swim	loɣal
10.351	dive	suzvel
10.352	splash	c̷ʰaytˀel, c̷ʰaytˀec̷ʰ[ə]nel
10.36	sail (vb)	navarkˀel
10.37	fly (vb)	tʰ[ə]r̃čʰel
10.38	blow	pʰ[ə]čʰel
10.41	creep, crawl	soɣal
10.412	kneel	c̷ˀ[ə]nradrel, c̷ˀunkˀi gal
10.413	crouch	pˀ[ə]pˀ[ə]zel, kˀ[ə]kˀ[ə]zel
10.42	slide, slip	s[ə]ɣal, sahel, saytʰakˀel
10.43	jump, leap	c̷ʰatˀkˀel, c̷ʰatˀkˀotˀel
10.431	kick	akʰac̷ʰel, kʰac̷ʰi tˀal
10.44	dance	pˀarel
10.45	walk	kʰaylel
10.451	limp	kˀaɣal
10.46	run	vazel
10.47	go	g[ə]nal, yertʰal
10.471	go up	bard͜zranal
10.472	climb	mag[ə]lc̷ʰel
10.473	go down	iǰnel
10.474	go out	durs gal
10.48	come	gal
10.481	come back	veradar̃nal
10.49	go away, depart	her̃anal, mekˀnel
10.491	disappear	anhetˀanal
10.51	flee	pʰaxčʰel
10.52	follow	hetˀevel
10.53	pursue	hetˀapˀ[ə]ndel
10.55	reach, arrive	hasnel, žamanel
10.56	approach	motˀenal
10.57	enter	m[ə]tˀnel
10.61	carry (bear)	kˀ[ə]rel
10.612	carry-in-hand	tˀanel (d͜zer̃kʰov)
10.613	carry-on-shoulder	(usi vra) kˀ[ə]rel
10.614	carry-on-head	(g[ə]lxi vra) kˀ[ə]rel, tˀanel
10.615	carry-underarm	(tʰevi tˀakˀ) kˀ[ə]rel, tˀanel
10.62	bring	berel
10.63	send	uɣarkˀel, ar̃akʰel
10.64	lead (vb)	ar̃aǰnordel, ɣekˀavarel, varel
10.65	drive	varel, kʰ[ə]šel
10.66	ride	d͜ziavarel
10.67	push, shove	h[ə]rel, botʰel, m[ə]štˀel
10.71	road	čˀamba, čˀanapˀarh
10.72	path	arahetˀ, šaviɣ, kˀac̷ˀan
10.74	bridge	kˀamurǰ
10.75	carriage, wagon, cart	kˀar̃kʰ, sayl, vagon, ber̃nakˀar̃kʰ
10.76	wheel	aniv
10.77	axle	ar̃anc̷ʰkʰ, s[ə]r̃nakˀ
10.78	yoke	luc̷ˀ
10.81	ship	nav
10.83	boat	nav, navakˀ
10.831	canoe	makˀuykˀ
10.832	outrigger	--
10.84	raft	lastˀ, lastˀanav
10.85	oar	tʰi
10.851	paddle (noun)	tʰiakˀ
10.852	row (vb)	tʰiavarel
10.86	rudder	ɣekˀ
10.87	mast	kˀaym
10.88	sail (noun)	ar̃agastˀ
10.89	anchor	xarisx
10.91	harbor, port	navahangistˀ, kʰarapʰ
10.92	land (vb)	apʰ iǰnel, vayreǰkʰ kˀatˀarel
11.11	have	unenal
11.12	own, possess	unenal, tˀerə linel
11.13	take	ar̃nel
11.14	seize, grasp	b[ə]r̃nel, əmb[ə]r̃nel
11.15	hold	(d͜zer̃kʰi meǰ) pˀahel, b[ə]r̃nel
11.16	get, obtain	stˀanal, d͜zer̃kʰ berel
11.17	keep, retain	pˀahel, pˀahpˀanel
11.18	thing	ban
11.21	give	tˀal
11.22	give back	veradard͜z[ə]nel, yetˀ tˀal
11.24	preserve, look after	pˀahel, pˀahpˀanel
11.25	save, rescue	pʰ[ə]rkˀel, azatˀel
11.27	destroy	kˀorc̷ˀanel, kʰandel
11.28	harm, injure, damage	v[ə]nasel, viravorel
11.31	seek, look for	pʰ[ə]ntˀr̃el, voronel
11.32	find	g[ə]tˀnel
11.33	lose	kˀorc̷ʰ[ə]nel
11.34	release, let go	azatˀel, (azatˀ) ard͜zakˀel
11.43	money	dram, pʰoɣ
11.44	coin	(metˀaɣa)dram
11.51	rich	harustˀ
11.52	poor	aɣkʰatˀ
11.53	beggar	murac̷ʰkˀan
11.54	avaricious, stingy	agah, ž[ə]latˀ, kˀ[ə]c̷ˀc̷ˀi
11.61	lend	pʰox tˀal
11.62	borrow	pʰox ar̃nel
11.63	owe	partˀakˀan linel, pˀartˀkʰ linel
11.64	debt	pˀartˀkʰ
11.65	pay (vb)	v[ə]čˀarel
11.66	account, reckoning	hašiv
11.69	tax, tribute	harkˀ, tˀurkʰ
11.77	hire	vard͜zel
11.78	wages	ašxatˀavard͜z, r̃očˀikˀ
11.79	earn	vastˀakˀel
11.81	buy	g[ə]nel
11.82	sell	c̷ˀaxel, vac̷ˀar̃el
11.83	trade, barter	apˀrankʰapʰoxanakˀutʰyun, pʰoxanakˀum
11.84	merchant	vačˀar̃akˀan
11.85	market (place)	šukˀa
11.86	store, shop	xanutʰ, kˀ[ə]rpˀakˀ
11.87	price	gin
11.88	dear (costly, expensive)	tʰang
11.89	cheap	ežan
11.91	share (distribute)	bažanel
11.92	weigh	kˀ[ə]šr̃el
12.1	after	hetˀo
12.11	behind	hetˀevə
12.2	beside	kˀoɣkʰə, kˀoɣkʰin, motˀ
12.3	down, below	nerkʰevə, tˀakˀ
12.4	before	ar̃aǰ
12.41	front	ar̃aǰ, ar̃ǰev
12.5	inside, in	meǰə, meǰ
12.6	outside	dursə, durs
12.7	under	tˀakˀə, tˀakˀ
12.8	up, above	verevə, verevum, vra
12.11	place	tˀeɣ, vayr
12.12	put	d[ə]nel
12.13	sit	n[ə]stˀel
12.14	lie down	pˀar̃kˀel
12.15	stand	kˀangnel
12.16	remain, stay	m[ə]nal
12.17	remains, left overs	m[ə]nac̷ʰord, m[ə]nac̷ʰukˀ
12.21	collect, gather	havakʰel, žoɣovel
12.212	pick up	kʰaɣel, havakʰel
12.213	pile up	dizel, kˀutˀakˀel
12.22	join, unite	mianal, miac̷ʰ[ə]nel
12.23	separate	bažanel, anǰatˀel
12.232	divide	bažanel
12.24	open	banal
12.25	shut, close	pʰakˀel
12.26	cover	c̷ˀac̷ˀkˀel
12.27	hide, conceal	tʰakʰc̷ʰ[ə]nel, kʰoɣarkˀel
12.31	high	bard͜z[ə]r
12.32	low	c̷ʰac̷ˀ, c̷ʰac̷ˀ[ə]r, stˀorin
12.33	top	gagatʰ, c̷ˀayr
12.34	bottom	hatˀakˀ, xorkʰ, himkʰ
12.35	end	verǰ
12.352	pointed	sur, s[ə]rac̷ˀayr
12.353	edge	c̷ˀayr, yez[ə]r
12.36	side	kˀoɣm
12.37	middle, center	meǰtˀeɣ, kˀentˀron
12.41	right (side)	aǰ (kˀoɣm)
12.42	left (side)	d͜zax (kˀoɣm)
12.43	near (adv)	motˀ
12.44	far (adv)	her̃u
12.45	east	arevelkʰ
12.46	west	arevmutˀkʰ
12.47	north	hyusis
12.48	south	harav
12.53	grow	ačˀel, mec̷ˀanal
12.54	measure	čʰapʰ
12.541	span, fathom	tʰiz
12.55	large, big	mec̷ˀ, xošor
12.56	small, little	pʰokʰ[ə]r, pˀ[ə]stˀikˀ
12.57	long	yerkˀar
12.58	tall	bard͜z[ə]r, bard͜zrahasakˀ
12.59	short	kˀarčˀ, kˀarčˀahasakˀ
12.61	wide, broad	layn, əndard͜zakˀ
12.62	narrow	neɣ
12.63	thick (in dimension)	hastˀ
12.65	thin (in dimension)	barakˀ
12.67	deep	xor, xorunkˀ
12.68	shallow	c̷ˀanc̷ˀaɣ
12.71	flat	tˀapʰakˀ
12.73	straight	uɣiɣ, šitˀakˀ
12.74	crooked	c̷ˀur̃, kˀor, kˀer̃
12.75	hook	kˀer̃, kˀer̃ikˀ, kˀartʰ
12.76	corner	ankˀyun
12.77	cross	xačʰ
12.78	square	kʰar̃akˀusi
12.81	round	kˀ[ə]lor
12.82	circle	š[ə]rǰan, s[ə]rǰanakˀ
12.83	sphere, ball	gund, g[ə]ndakˀ
12.84	line	gic̷ˀ
12.85	hole	c̷ˀakˀ
12.92	like, similar	n[ə]man
12.93	change	pʰoxel, pʰopʰoxel
13.0	zero, nothing	z[ə]ro, vočʰinčʰ
13.1	one	mekˀ
13.2	two	yerkˀu
13.3	three	yerekʰ
13.4	four	čʰors
13.5	five	hing
13.6	six	vec̷ʰ
13.7	seven	yotʰ
13.8	eight	utʰ
13.9	nine	inə
13.10	ten	tˀasə
13.101	eleven	tˀasn[ə]mekˀ
13.102	twelve	tˀasn[ə]yerkˀu
13.103	fifteen	tˀasn[ə]hing
13.104	twenty	kʰsan
13.105	hundred	haryur
13.106	thousand	hazar
13.107	count	hašvel
13.14	every, all	amen, bolor
13.15	much, many	šatˀ
13.16	more	aveli
13.17	little (quantity), few	kʰičʰ
13.18	enough	bavakˀan
13.181	some	mi kʰičʰ
13.19	multitude, crowd	ambox
13.21	full	li, lec̷ʰun
13.22	empty	datˀarkˀ, pˀarapˀ
13.23	part, piece	mas, kˀ[ə]tor
13.24	half	kˀes
13.33	alone, only	menakˀ, miayn (tʰe)
13.34	first	ar̃aǰin
13.35	last	verǰin
13.36	second	yerkˀrord
13.37	pair	zuyg
13.38	two times	yerkˀu angam, kˀ[ə]rkˀnakˀi
13.42	third	yerrord
13.44	three times	yerekʰ angam
14.11	time	žamanakˀ
14.12	age	tˀarikʰ
14.13	new	nor
14.14	young	yeritˀasard
14.15	old	c̷ˀer, tˀarikʰotˀ
14.16	early	vaɣ, kˀanux, šutˀ
14.17	late	uš
14.18	now	hima, ayž[ə]m
14.19	immediately	anmiǰapˀes
14.21	swift, fast, quick	arag, šutˀ, štˀapˀ
14.22	slow	dandaɣ
14.23	hasten, hurry	štˀapˀel, ačˀapˀarel
14.24	retard, delay	ušanal, ušac̷ʰ[ə]nel
14.25	begin, beginning	skˀ[ə]sel, skˀizb
14.252	last, endure	tˀevel, tˀokˀal, handuržel
14.26	end (temporal)	verǰ
14.27	finish	verǰac̷ʰ[ə]nel, avartˀel
14.28	cease, stop	dadarel, kang ar̃nel
14.29	ready	pˀatˀrastˀ
14.31	always	mištˀ
14.32	often	hačˀax
14.33	sometimes	yerbem[ə]n
14.331	soon	šutˀov
14.332	long-time (for a)	yerkˀar, yerkˀar žamanakˀ
14.34	never	yerbekʰ
14.35	again	noric̷ʰ, kˀ[ə]rkˀin
14.41	day	or
14.42	night	gišer
14.43	dawn	aršaluys
14.44	morning	ar̃avotˀ
14.45	noon, midday	kˀesor
14.451	afternoon	kˀesoric̷ʰ hetˀo
14.46	evening	yerekˀo
14.47	today	aysor
14.48	tomorrow	vaɣə
14.481	day-after-tomorrow	vagə čʰe myus orə
14.49	yesterday	yerekˀ
14.491	day-before-yesterday	yerekˀ čʰe ar̃aǰin orə
14.51	hour	žam
14.53	clock, timepiece	žamac̷ʰuyc̷ʰ
14.61	week	šabatʰ
14.62	Sunday	kˀirakˀi
14.63	Monday	yerkˀušabtʰi
14.64	Tuesday	yerekʰšabtʰi
14.65	Wednesday	čʰorekʰšabtʰi
14.66	Thursday	hingšabtʰi
14.67	Friday	urbatʰ
14.68	Saturday	šabatʰ
14.71	month	amis
14.73	year	tˀari
14.74	winter	d͜z[ə]mer̃
14.75	spring	garun
14.76	summer	amar̃
14.77	autumn	ašun
14.78	season	tˀarva yeɣanakˀ
15.21	smell (vb intrans)	hotˀ gal, burel
15.212	sniff	hotˀotˀel
15.22	smell (vb trans)	hotˀ kʰašel
15.25	fragrant, good smelling	anušahotˀ, buravetˀ
15.26	stinking, bad smelling	garšahotˀ, c̷ˀanrahotˀ
15.31	taste	hamə tˀesnel, čˀašakˀel
15.35	sweet	kʰaɣc̷ʰ[ə]r, anuš
15.36	salty	aɣi
15.37	bitter	dar̃ə, leɣi
15.38	acid, sour	tʰ[ə]tʰu
15.39	brackish	šor̃, aɣaham
15.41	hear	l[ə]sel
15.42	listen	l[ə]sel, unkˀ[ə]ndrel
15.44	sound, noise	d͜zayn, aɣmukˀ
15.45	loud	bard͜z[ə]r, bard͜zrad͜zayn
15.46	quiet, silence	handartˀutʰyun, l[ə]r̃utʰyun
15.51	see	tˀesnel
15.52	look, look at	nayel
15.55	show	c̷ʰuyc̷ʰ tˀal
15.56	shine	pʰaylel, šoɣal
15.57	bright	pˀayc̷ˀar̃, var̃, pʰaylun
15.61	color	guyn
15.62	light (in color)	pˀayc̷ˀar̃, bac̷ʰ
15.63	dark (in color)	mug, mutʰ
15.64	white	spˀitˀakˀ
15.65	black	sev
15.66	red	kˀarmir
15.67	blue	kˀapˀuytˀ
15.68	green	kˀanačʰ
15.69	yellow	deɣin
15.71	touch	dipˀčʰel, d͜zer̃kʰ tˀal
15.712	pinch	kˀ[ə]m[ə]štˀel, kˀ[ə]sm[ə]tˀel
15.72	feel	zgal
15.74	hard	pˀind, kˀarc̷ˀ[ə]r
15.75	soft	pʰapʰukˀ, kˀakˀuɣ
15.76	rough	kˀoštˀ, kˀopˀitˀ
15.77	smooth	hartʰ, voɣorkˀ
15.78	sharp	sur, s[ə]rac̷ˀayr
15.79	blunt, dull	butʰ, b[ə]tʰamitˀ
15.81	heavy	c̷ˀan[ə]r
15.82	light (in weight)	tʰetʰev
15.83	wet, damp	tʰac̷ʰ, xonav
15.84	dry	čʰor, c̷ʰamakʰ
15.85	hot	(šatˀ) tˀakʰ, tʰež, šog
15.851	warm	tˀakʰ
15.86	cold	sar̃ə, pˀaɣ, c̷ʰurtˀ
15.87	clean	makʰur
15.88	dirty, soiled	kˀeɣtˀotˀ
15.89	wrinkled	kˀ[ə]nčˀr̃otˀ
16.11	soul, spirit	hogi, vogi
16.15	surprised, astonished	zarmac̷ʰac̷ˀ, apˀšac̷ˀ
16.18	good fortune, luck	baxtˀ, barebaxtˀutʰyun
16.19	misfortune, bad luck	d[ə]žbaxtˀutʰyun, d͜zaxordutʰyun, čʰar baxtˀ
16.23	joyful, glad, happy	urax, z[ə]vartʰ, yerǰanikˀ
16.25	laugh	c̷ˀic̷ˀaɣel
16.251	smile	ž[ə]pˀtˀal
16.26	play	xaɣal
16.27	love	sirel, ser
16.29	kiss	hamburel
16.3	embrace	g[ə]rkˀel
16.31	pain	c̷ʰav
16.32	grief, sorrow, sadness	vištˀ, kˀ[ə]skˀic̷ˀ, tˀ[ə]xrutʰyun
16.33	anxiety, worry	and͜zkˀutʰyun, m[ə]tˀahogutʰyun
16.34	regret, be sorry	apʰsosal, c̷ʰavel
16.35	pity	gutʰ, kˀarekˀc̷ʰutʰyun
16.37	cry, weep	lac̷ʰ linel, lal
16.38	tear (noun)	arc̷ʰunkʰ
16.39	groan	kʰ[ə]rtʰm[ə]nǰel, m[ə]rtʰm[ə]rtʰal, pʰ[ə]ntʰpʰ[ə]ntʰal
16.41	hate	atˀel
16.42	anger	barkˀutʰyun, zayruytʰ
16.44	envy, jealousy	naxand͜z, xand
16.45	shame (noun)	amotʰ
16.48	proud	h[ə]pˀartˀ
16.51	dare	hand[ə]gnel, hamard͜zakˀvel
16.52	brave	kʰaǰ
16.53	fear, fright	vax, ah, yerkˀyuɣ
16.54	danger	v[ə]tˀang
16.62	desire, want	uzenal, c̷ʰankˀanal, pʰapʰagel, əɣd͜zal
16.622	choose	əntˀrel
16.63	hope	huys
16.65	faithful	havatˀarim
16.66	true	irav, irakˀan, čˀ[ə]šmaritˀ
16.67	lie, tell lies	sutˀ, sutˀ asel, s[ə]tˀel
16.68	deceit	xabeutʰyun
16.69	forgive	nerel
16.71	good	lav
16.72	bad	vatˀ
16.73	right, correct	čˀištˀ, uɣiɣ
16.74	wrong	s[ə]xal
16.76	fault	meɣkʰ
16.77	mistake, error	s[ə]xal, vripˀakˀ
16.78	blame	meɣadrankʰ, pˀarsavankʰ
16.79	praise	govel, govabanel
16.81	beautiful	geɣec̷ʰikˀ
16.82	ugly	tˀ[ə]geɣ
16.83	greedy	agah, vorkˀramol
16.84	clever	xelokʰ, xelac̷ʰi, h[ə]mutˀ
17.11	mind	mitˀkʰ, xelkʰ, kˀarc̷ˀikʰ
17.13	think (= reflect)	m[ə]tˀac̷ˀel, xorhel
17.14	think (= be of the opinion)	kˀarc̷ˀel
17.15	believe	havatˀal
17.16	understand	haskˀanal
17.17	know	gitˀenal
17.171	guess	kˀ[ə]r̃ahel, gušakˀel
17.172	imitate	əndorinakˀel, n[ə]manakˀel, n[ə]manvel
17.18	seem	tʰ[ə]val
17.19	idea, notion	gaɣapʰar, haskˀac̷ʰutʰyun, haskˀac̷ʰoɣutʰyun
17.21	wise	imastˀun
17.22	foolish, stupid	himar, apˀuš, tˀ[ə]xmar
17.23	insane, crazy	xentʰ, xelagar
17.24	learn	sovorel
17.242	study	usanel, sovorel
17.25	teach	sovorec̷ʰ[ə]nel, usuc̷ʰanel
17.26	pupil	ašakˀertˀ
17.27	teacher	usuc̷ʰičʰ, dasatˀu, dasaxos
17.28	school	d[ə]pˀroc̷ʰ, usumnaran
17.31	remember	hišel, m[ə]tˀaberel
17.32	forget	mor̃anal
17.34	clear, plain	pˀarz, h[ə]stˀakˀ
17.35	obscure	mutʰ, xavar, aɣotˀ
17.36	secret	gaɣtˀni, gaɣtˀnikʰ
17.37	sure, certain	v[ə]stˀah, stˀuyg
17.38	explain	bac̷ʰatˀrel
17.41	intention, purpose	m[ə]tˀadrutʰyun, n[ə]pˀatˀakˀ, mitˀum
17.42	cause	pˀatˀčˀar̃el, ar̃aǰac̷ʰ[ə]nel
17.43	doubt	kˀaskˀac̷ˀel, tˀarakˀusel
17.44	suspect	kˀaskˀac̷ˀel, kˀaskˀac̷ˀ tˀanel
17.441	betray	matˀnel, davačˀanel
17.45	need, necessity	kˀarikʰ, pˀetˀkʰ, anhražeštˀutʰyun
17.46	easy	heštˀ, dyurin
17.47	difficult	d[ə]žvar
17.48	try, attempt	pʰord͜zel, ǰanal
17.49	way, manner	d͜zev, kˀerpˀ
17.51	and	yev, u
17.52	because	vorovhetˀev
17.53	if	yetʰe
17.54	or	kˀam
17.55	yes, affirmative	ayo, hastˀatˀakˀan
17.56	no, negative	vočʰ, ž[ə]xtˀakˀan,
17.61	how?	inčʰpˀes?
17.62	how many?	kʰani?
17.63	how much?	inčʰkʰan?, vorčʰapʰ?, vorkʰan?
17.64	what?	inčʰ?
17.65	when?	yerb?
17.66	where?	ur?, vortˀeɣ?
17.67	which?	vor?
17.68	who?	ov?
17.69	why?	inčʰu?
18.11	voice	d͜zayn
18.12	sing	yergel
18.13	shout, cry out	gor̃al, gočʰel
18.15	whisper	pʰ[ə]spʰ[ə]sal, š[ə]š[ə]nǰal
18.16	mumble	m[ə]rtʰm[ə]rtʰal, pʰ[ə]ntʰpʰ[ə]ntʰal
18.17	whistle	sulel, š[ə]vvac̷ʰ[ə]nel
18.18	shriek, screech	čˀ[ə]čʰal, čˀ[ə]včˀ[ə]val, čˀ[ə]ɣčˀ[ə]ɣal
18.19	howl	vor̃nal, kˀaɣkˀand͜zel
18.21	speak, talk	xosel
18.211	stutter, stammer	kˀakˀazel, tʰotʰovel, kˀ[ə]mkˀ[ə]mal
18.22	say	asel
18.221	tell story	pˀatˀmel
18.222	speech (make a)	čˀar̃ asel, čˀar̃axosel
18.23	silent (be)	l[ə]r̃el
18.24	language	lezu
18.26	word	bar̃, xoskʰ
18.28	name	anun
18.31	ask (question, inquire)	harc̷ʰ[ə]nel
18.32	answer	pˀatˀasxanel
18.33	admit, confess	əndunel, xostˀovanel
18.34	deny	ž[ə]xtˀel
18.35	ask, request	harc̷ʰ[ə]nel, x[ə]ndrel
18.36	promise	xostˀanal
18.37	refuse	meržel
18.38	forbid	argelel
18.39	rebuke, scold	handimanel, kˀ[ə]štˀambel, sastˀel
18.41	call (=summon)	kˀančʰel
18.42	call (=name)	kˀočvel
18.43	announce	haytˀararel, azdararel
18.44	threaten	spˀar̃nal
18.45	boast	pˀarc̷ˀenal
18.51	write	g[ə]rel
18.52	read	kˀardal
18.56	paper	tʰuɣtʰ
18.57	pen	g[ə]rič
18.61	book	girkʰ
18.67	poet	banastˀeɣc̷ˀ
18.71	flute	fleytˀa, švi, yeɣegnapʰoɣ
18.72	drum	tʰ[ə]mbukˀ
18.73	horn, trumpet	pʰoɣ, šepʰor
18.74	rattle	d[ə]ɣ[ə]rdyun, tʰ[ə]xtʰ[ə]xkˀoc̷ʰ
19.11	country	yerkˀir
19.12	one's native country	hayrenikʰ
19.15	city, town	kʰaɣakʰ
19.16	village	gyuɣ
19.17	boundary	sahman
19.21	people (populace)	žoɣovurd, mardikˀ
19.23	tribe, clan	tˀohm, c̷ʰeɣ
19.24	chief, chieftain	pˀetˀ, c̷ʰeɣapˀetˀ
19.25	staff, walking stick	gavazan, c̷ʰupˀ
19.31	rule, govern	kˀar̃avarel, išxel, tˀirel
19.32	king, ruler	tʰagavor, išxan, kʰar̃avaričʰ
19.33	queen	tʰaguhi
19.36	noble, nobleman	azn[ə]vakˀan
19.37	citizen, subject	kʰaɣakʰac̷ʰi, h[ə]pˀatˀakˀ
19.41	master	tˀer, varpˀetˀ
19.42	slave	stˀrukˀ
19.43	servant	c̷ˀar̃a, spˀasavor, aɣaxin
19.44	freeman	azatˀ kʰaɣakʰac̷ʰi
19.45	command, order	hramayel, pˀatˀvirel
19.46	obey	h[ə]nazand[ə]vel, h[ə]pˀatˀakˀvel
19.47	let, permit	tʰuyl tˀal, tʰuylatˀrel
19.51	friend, companion	ənkˀer, ənkˀerakˀic̷ʰ, barekˀam
19.52	enemy	tʰ[ə]šnami
19.54	neighbor	harevan, drac̷ʰi
19.55	stranger	otˀarakˀan, otˀaryerkˀrac̷ʰi
19.56	guest	hyur
19.57	host	hyurənkˀal, tˀantˀer
19.58	help, aid	ognel, ožandakˀel
19.59	hinder, prevent	xangarel, argelkʰ haruc̷ʰel, kˀanxel
19.61	custom	sovoruytʰ
19.62	strife, quarrel	pˀaykʰar, kˀ[ə]r̃iv, večˀ
19.63	conspiracy, plot	dav, davadrutʰyun, xardavankʰ
19.65	meet	handipˀel
19.72	prostitute	pˀor̃nikˀ
20.11	fight (vb)	kˀ[ə]r̃vel
20.13	war, battle	pˀatˀerazm, martˀ, čˀakˀatˀamartˀ
20.14	peace	xaɣaɣutʰyun, haštˀutʰyun
20.15	army	banakˀ
20.17	soldier	zinvor
20.21	weapons, arms	zenkʰ
20.22	club	mahakˀ
20.222	battle-ax	sakˀratˀeg, tˀapˀaratˀeg,
20.23	sling	čˀopˀan, tʰokˀ
20.24	bow	aɣeɣ
20.25	arrow	netˀ
20.26	spear	nizakˀ
20.27	sword	sur, tʰur, suser
20.28	gun, cannon	hrac̷ʰan, tʰ[ə]ndanotʰ, hranotʰ
20.31	armor (defensive)	z[ə]rah
20.33	helmet	saɣavartˀ
20.34	shield	vahan
20.35	fortress	amroc̷ʰ, berd
20.36	tower	aštˀarakˀ
20.41	victory	haɣtʰanakˀ
20.42	defeat	pˀartˀutʰyun
20.43	attack	hard͜zakˀvel, g[ə]rohel
20.44	defend	pˀaštˀpˀanel
20.45	retreat	nahanǰel
20.46	surrender	hand͜zn[ə]vel
20.47	captive, prisoner	geri, bantˀarkˀyal
20.471	guard, sentinel	pˀahakˀ, pˀahakˀaxumb
20.48	booty, spoils	kˀoɣopˀutˀ, avar, tʰalan
20.49	ambush	daran, tʰakˀard, vorogaytʰ
20.51	fisherman	d͜z[ə]kˀnors
20.52	fishhook	kˀartʰ
20.53	fishing line	kˀartʰatʰel
20.54	fishnet	ur̃kˀan, d͜z[ə]kˀnorsakˀan c̷ʰanc̷ʰ
20.55	fish trap	d͜z[ə]kˀnorsasakˀar, maxaɣ
20.56	bait	xayc̷ˀ
20.61	hunt	vorsal
20.62	shoot	kˀrakˀel
20.63	miss (target)	vripˀel
20.64	trap (noun)	tʰakˀard, c̷ˀuɣakˀ
20.65	trap (vb)	c̷ˀuɣakˀə g[ə]c̷ʰel
21.11	law	orenkʰ
21.15	court	datˀaran
21.16	judge (vb)	datˀel, datˀav[ə]čˀir̃ kˀayac̷ʰ[ə]nel
21.17	judgment	v[ə]čˀir̃, datˀav[ə]čˀir̃
21.18	judge (noun)	datˀavor
21.21	plaintiff	hayc̷ʰatˀer, hayc̷ʰvor
21.22	defendant	meɣadryal, ambastˀanyal
21.23	witness	v[ə]kˀa
21.24	swear	yerdum tˀal, yerd[ə]vel
21.25	oath	yerdum
21.31	accuse	meɣadrel
21.32	condemn	meɣadrel, datˀapˀartˀel, pˀarsavel
21.33	convict (vb)	meɣadrel, ambastˀanel
21.34	acquit	anpˀartˀ ard͜zakˀel, ardarac̷ʰ[ə]nel
21.35	guilty	meɣavor
21.36	innocent	anmeɣ
21.37	penalty, punishment	tˀugankʰ, pˀatˀiž
21.38	fine	tˀugankʰ, tˀuyž
21.39	prison, jail	bantˀ
21.42	murder	spˀanel
21.43	adultery	davačˀanutʰyun
21.44	rape	b[ə]r̃nabarum
21.46	arson	h[ə]rkˀizum, h[ə]rdehum
21.47	perjury	yerd[ə]mnazanc̷ʰutˀyun
21.51	steal	goɣanal
21.52	thief	goɣ
22.11	religion	kron
22.12	God	Astˀvac̷ˀ
22.13	temple, church	tˀačˀar, yekˀeɣec̷ʰi
22.14	altar	xoran, zohaseɣan
22.15	sacrifice, offering	zoh, zohaberutʰyun
22.16	worship	pˀaštˀel, yerkˀ[ə]rpˀagel
22.17	pray	aɣotʰel
22.18	priest	yerec̷ʰ, kʰahana
22.19	holy, sacred	surb
