entry_id	trans_english	Basque_Phonemic
1.1	world	['mü̃dü]
1.21	earth, land	lür
1.212	earth=ground, soil	lür
1.213	dust	er'hawc̷̣
1.214	mud	'lohi
1.215	sand	['hariɲa]
1.22	mountain, hill	['mɛ̃di]; ['bortü]
1.222	cliff, precipice	es'pũda; a'rolʸa
1.23	plain, field	ürü'pʰea
1.24	valley	'ibar ~ 'naba
1.25	island	['iṣla]
1.26	mainland	
1.27	shore	'ic̷̣aṣ 'baster
1.28	cave	'harpe
1.31	water	hur
1.32	sea	i'c̷̣aṣo
1.322	calm (of sea)	['ãple]
1.323	rough (of sea)	gaic̷
1.324	foam	'gahün
1.329	ocean	
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ü'heic̷; e'reka
1.362	whirlpool	
1.37	spring, well	ṣor'gia; ü'türi; ['ṣurṣa]; [pʰüc̷ü]
1.38	swamp	'loṣko; 'mala
1.39	waterfall	tʰu'ruṣta
1.41	woods, forest	'oihan
1.42	tree (cf 08.600)	sü'haɲ ~ sü'haɲc̷e
1.43	wood	sur
1.44	stone, rock	'hari; 'bočü
1.45	earthquake	lür i'kʰara
1.51	sky	['selü]
1.52	sun	'ekʰi
1.53	moon	argi'sagi
1.54	star	'isar
1.55	lightning	iɲ'hasi; či'mišta
1.56	thunder	ü̃h'ülgü ~ ül'hü̃gü; 'dü̃da
1.57	lightning (as striking)	ü̃h'ülgü
1.58	storm	[tɛ̃'peṣta]
1.59	rainbow	o'sadar
1.61	light (noun)	'argi
1.62	darkness	ül'hü̃pe
1.63	shade, shadow	'ic̷al
1.64	dew	'ĩhĩc̷
1.71	air	['aide]
1.72	wind	'aise
1.73	cloud	o'dei
1.74	fog	lan'hu; lanha'raide
1.75	rain (noun)	'ebi
1.76	snow (noun)	'elhür
1.77	ice	kʰa'ru
1.78	weather	[dɛ̃'bora] ~ 'aro
1.81	fire	ṣü
1.82	flame (noun)	gar
1.83	smoke (noun)	kʰe
1.84	ashes	hauc̷̣
1.841	embers	'mura
1.851	burn (vb trans)	'ere
1.852	burn (vb intrans)	'ere
1.86	light, kindle, ignite	pʰic̷
1.861	extinguish	'eho
1.87	match (noun)	[alü'meta]
1.88	firewood	'egür
1.89	charcoal	'egür 'ĩkʰac̷
2.1	person, human being	['žɛ̃te]
2.21	man (vs. woman)	'gison
2.22	woman	e'maste
2.23	male	ar; 'kʰočo
2.24	female	ü'rüša
2.25	boy	po'tiko
2.251	young man (adolescent)	mo'tʰiko
2.26	girl	neṣka'čuna
2.261	young woman (adolescent)	neṣka'tila
2.27	child	haur
2.28	infant, baby	haur'ɲi ~ ɲe'ɲe
2.31	husband	'ṣenhar
2.32	wife	e'maste; [eṣ'puẓa]
2.33	marry	'eskũt
2.34	marriage, wedding	es'kũc̷e; es'tei
2.341	divorce	[di'borṣa]; [se'para]
