entry_id	trans_english	Shan_Dialect_Northern_Shan_Phonemic
2.512	father's brother	kon.1 thaw.4 jiŋ.1; na:j.1 thaw.4
2.52	aunt	la:n.1 ca:j.1
2.521	mother's sister	la:n.1 jiŋ.1
2.522	father's sister	luŋ.1
2.53	nephew	na:.5
2.54	niece	ʔa:w.3
2.55	cousin	pa:.4
2.56	ancestors	na:.5
2.57	descendants	ʔa:.3
2.61	father-in-law (of a man)	la:n.3 ca:j.1
2.611	father-in-law (of a woman)	la:n.3 jiŋ.1
2.62	mother-in-law (of a man)	pi:.4 nɔŋ.5 khɛn.4 tɔŋ.5
2.621	mother-in-law (of a woman)	pu:.2 mɔ:n.2
2.63	son-in-law (of a man)	luk.4 la:n.3 hɔ:m.1 khə:.1
2.631	son-in-law (of a woman)	khiŋ.1 pu:.2 na:j.1
2.64	daughter-in-law (of a man)	pɔ:.4 caw.4
2.641	daughter-in-law (of a woman)	mɛ:.4 ʔɔ:k.2 na:j.1
2.71	stepfather	mɛ:.4 caw.4
2.72	stepmother	luk.4 khwoj.3
2.73	stepson	luk.4 khwoj.3
2.74	stepdaughter	luk.4 paɨ.5
2.75	orphan	luk.4 paɨ.5
2.76	widow	ʔu:.4 sɨp.2; pɔ:.4 sɨp.2 ta:m.1
2.77	widower	mɛ:.4 sɨp.2 ta:m.1
2.81	relatives, kinsmen	luk.4 ca:j.1 cɔ:m.1 pho:.3 cɔ:m.1 me:.1
2.82	family	luk.4 jiŋ.1 cɔ:m.1 pho:.3 cɔ:m.1 me:.1
2.91	I	luk.4 pha:n.3 pɔ:.4 mɛ:.4
2.92	you (singular)	mɛ:.4 ma:j.4
2.93	he/she/it	pɔ:.4 ma:j.4
2.94	we	pi:.4 nɔŋ.5 cə.5 khə:.1
2.941	we (inclusive)	pɔ:.4 mɛ:.4 luk.4
2.942	we (exclusive)	kaw.3; kaw.3 kha:.4
2.95	you (plural)	maɨ.1; su:.3
2.96	they	nan.5; man.1; man.1 na:ŋ.1
3.11	animal	haw.1
3.12	male (adj)	haw.1 kha:.4
3.13	female (adj)	haw.1
3.15	livestock	ha:.1 sɔ:ŋ.3 kɔ:.5; haw.1
3.16	pasture	su:.3; su:.3 caw.4
3.18	herdsman	sɔ:ŋ.3 khə:.3
3.19	stable, stall	khaw.3; khaw.3 caw.4
3.2	cattle (bovine)	sat.1
3.21	bull	ca:j.1; to:.3 pɔ:.4
3.22	ox	jiŋ.1; to:.3 mɛ:.4
3.23	cow	phuŋ.3 sat.1
3.24	calf	pa:ŋ.2 le:ŋ.5 wo:.1 kwa:j.1
3.25	sheep	kon.1 le:ŋ.5 wo:.1 kwa:j.1
3.26	ram	khɔ:k.4
3.28	ewe	wo:.1 kwa:j.1
3.29	lamb	wo:.1 ŋa:n.3; wo:.1 so:.1
3.32	boar	wo:.1 pɔ:.4
3.34	sow	wo:.1 mɛ:.4
3.35	pig	wo:.1 ʔɔn.2; kwa:j.1 ʔɔn.2
3.36	goat	kwa:j.1
3.37	he-goat	so:.1
3.38	kid	so:.1 pɔ:.4
3.41	horse (equine)	so:.1 mɛ:.4
3.42	stallion	so:.1 ʔɔn.2
3.44	mare	mu:.3 thən.2 pɔ:.2
3.45	foal, colt	mu:.3 thən.2 mɛ:.4
3.46	ass, donkey	mu:.3
3.47	mule	pɛ:.5
3.5	fowl	pɛ:.5 pɔ:.4
3.52	cock, rooster	pɛ:.5 ʔɔn.2
3.54	hen	ma:.5
3.55	chicken	ma:.5 pɔ:.4
3.56	goose	ma:.5 mɛ:.4
3.57	duck	ma:.5 ʔɔn.2; ma:.5 lɛ:ŋ.3 ʔɔn.2; ma:.5 ʔɔn.2
3.58	nest	ma:.5 li:.4; ma:.5 li:.4 ʔɔn.2
3.581	bird	ma:.5 lɔ:.4
3.582	seagull	to:.3 mi:.1 pi:k.2
3.583	heron	kaj.2 pɔ:.4; kaj.2 phu:.4
3.584	eagle	kaj.2 mɛ:.4
3.585	hawk	kaj.2  ʔɔn.2
3.586	vulture	ha:n.2
3.591	bat	pet.1
3.592	parrot	ha:ŋ.1
3.593	crow	nok.5
3.594	dove	nok.5 na:ŋ.1 ʔi:.2
3.596	owl	nok.5 ja:ŋ.1
3.61	dog	huŋ.5
3.614	rabbit	jew.2; huŋ.5
3.62	cat	la:ŋ.1-ta:.5
3.622	opossum	lɛ:w.3 cɔk.2; ka:.3-wa:w.2
3.63	mouse, rat	miŋ.2
3.65	fish	nok.5 khew.3
3.652	fin (dorsal)	ka:.3 lam.3
3.653	fishscale	nok.5 tu:.4
3.654	gill	ka:.3 ʔɨ:.4; ka:.3 kɛ:.3
3.655	shell	kaw.5
3.661	shark	nok.5 khum.4
3.662	porpoise, dolphin	nok.5 ʔɛn.2 fa:.5
3.663	whale	nok.5 juŋ.1
3.664	stingray	nok.4 thə:n.2 ha:ŋ.3 ja:w.1
3.665	freshwater eel	ma:.3
3.71	wolf	pa:ŋ.3-ta:j.1
3.72	lion	lin.4
3.73	bear	sə:.3 lam.3
3.74	fox	sə:.3
3.75	deer	mɛ:w.1
3.76	monkey	he:n.3 hɔ:m.3
3.77	elephant	naj.2
3.78	camel	nu:.3
3.81	insect	pa:.3
3.811	louse	kɨm.1
3.812	nit (louse egg)	ket.1 pa:.3
3.813	flea	hə:k.2 pa.3
3.814	centipede	ka:p.2 ʔeŋ.3-ŋɛ:.1
3.815	scorpion	pu:.3
3.816	cockroach	kuŋ.4
3.817	ant	pa:.3 sop.1 ca:.1; pa:.3 sop.1 khɛw.1; pa:.3 ŋɛ:.5
3.818	spider	lam.1-phɛ:ŋ.2; pa:.3 kha:.1
3.819	spider web	pa:.3 loŋ.3 woj.2 la:.5
3.82	bee	pa:.3 ka.2-bɛ:n.1
3.821	beeswax	pa:.3 je:n.2
3.822	beehive	ma:.3 naj.1
3.823	wasp	sa:ŋ.2 si:.4
3.83	fly	mi:.3
3.831	sandfly (midge), gnat	ma:.3 li:n.3
3.832	mosquito	cɔ:n.4
3.84	worm	cɔ:n.4 mi:n.3
3.85	snake	me:n.4
3.91	firefly	mo:n.4
3.92	butterfly	pha:n.1
3.93	grasshopper	pha:n.1 kok.1
3.94	snail	wo:.1 thə:n.2
3.95	frog	liŋ.1
3.96	lizard	ca:ŋ.5
3.97	crocodile, alligator	ŋo:ŋ.1 ca:ŋ.5
3.98	turtle	ka-la:.4 ʔok.5
4.11	body	mo:ŋ.4 mɛ:ŋ.1
4.12	skin, hide	haw.3; min.1
4.13	flesh	khaj.2 haw.3; khaj.2 min.1
4.14	hair (head)	mat.1
4.142	beard	mɛ:ŋ.1 ca.2-la:ŋ.1
4.144	body hair	mɛ:ŋ.1 kon.4 ŋɔ:.1
4.145	pubic hair	mɛ:ŋ.1 sa:p.2
4.146	dandruff	mot.5
4.15	blood	koŋ.2-ka:w.3
4.151	vein, artery	jaɨ.1 koŋ.2-ka:w.3
4.16	bone	phɨŋ.4
4.162	rib	khi:.4 phɨŋ.4
4.17	horn	ho:ŋ.1 phɨŋ.4
4.18	tail	tɔ:.2; tɔ:.2 lɔ:n.1
4.19	back	po:k.2
4.191	spine	mɛ:ŋ.1 mon.1
4.2	head	hin.5; cak.1-hep.1
4.201	side of head, temple	juŋ.1
4.202	skull	mɔ:t.4
4.203	brain	mo:ŋ.4 khon.3; mo:ŋ.4 naŋ.3
4.204	face	mo:ŋ.4
4.205	forehead	nɔ:n.3
4.207	jaw	jaj.1; cak.1-jaj.1
4.208	cheek	cak.1-khaj.2-na:.1
4.209	chin	pi:ŋ.3
4.21	eye	tɛk.5
4.212	eyebrow	ŋu:.1
4.213	eyelid	ŋu:.1 lə:m.3
4.214	eyelash	hiŋ.2 hɔ:j.4
4.215	blink	ka:p.2 mə:.4; ka:p.2 wə:.4
4.22	ear	cak.1-tɛ:n.3
4.221	earlobe	hɔ:j.3
4.222	earwax	khe:t.2
4.23	nose	cəŋ.5 hə:n.1; ʔa:k.2 kha:ŋ.3
4.231	nostril	lɛ:n.1
4.232	mucus (nasal)	tɔk.5-kɛ:.5
4.24	mouth	ŋə:k.4
4.241	beak	taw.2
4.25	lip	to:.3 khiŋ.1
4.26	tongue	naŋ.3; naŋ.3 nə:.5
4.27	tooth	nə:.5 (kon.1)
4.271	gums	khon.3 ho:.3
4.272	molartooth	mɔ:j.3 ka:ŋ.1
4.28	neck	khon.3 nə:.5 khon.3 naŋ.3
4.281	nape of neck	mɔ:j.3 ŋa:m.4 kha:.3
4.29	throat	khaj.1 phɔ:k.4
4.3	shoulder	hə:.2
4.301	shoulderblade	lə:t.4
4.302	collarbone	ʔe:n.3 lə:t.4
4.31	arm	ʔe:n.3
4.312	armpit	lu:p.2
4.32	elbow	ʔɔk.1 lu:p.2
4.321	wrist	lup.2 khi:.4 kha:ŋ.4
4.33	hand	khaw.3
4.331	palm of hand	ha:ŋ.3
4.34	finger	laŋ.3
4.342	thumb	lup.2 san.3 laŋ.3
4.344	fingernail	ho:.3; kɔk.1 ho:.3
4.345	claw	si:.2 mɛp.4
4.35	leg	lup.2 kɔk.1 ho:.3
4.351	thigh	ʔɔk.1-ʔɔ:.3
4.352	calf of leg	na:.4
4.36	knee	na:.4 pha:k.2
4.37	foot	lup.2 toŋ.2 ka:ŋ.1
4.371	ankle	kɛ:m.4
4.372	heel	ka:ŋ.1
4.374	footprint	ta:.3
4.38	toe	khon.3 ta:.3
4.392	wing	naŋ.3 ta:.3
4.393	feather	mɔ:j.3 ta:.3
4.4	chest	phɛp.5 ta:.3; mɨn.5 ta:.3
4.41	breast (of woman)	hu:.3
4.412	nipple, teat	tɔŋ.2 hu:.3; ma:n.2 hu:.3
4.42	udder	khi:.4 hu:.3
4.43	navel	khu:.4-laŋ.3
4.44	heart	hu:.1 khu:.4-laŋ.3
4.441	lung	khi:.4 muk.4
4.45	liver	sop.1
4.451	kidney	sop.1 nok.5
4.452	spleen	siŋ.2 sop.1
4.46	stomach	lin.5
4.461	intestines, guts	khew.4
4.462	waist	ŋa:.1 (ca:ŋ.5); hə:k.2
4.463	hip	khew.4 lo:ŋ.3; khew.4 ŋa:.1 lo:ŋ.3
4.464	buttocks	khɔ:.1
4.47	womb	kɔŋ.2-kɔ:.4
4.49	testicle	ko:ŋ.3 khɔ:.1
4.492	penis	ho:.3 ma:.2; ma:.2
4.51	breathe, breath	pik.2 kaj.2
4.52	yawn, gape	lup.2 kha:ŋ.4 khɔ:.1
4.521	hiccough	khɛ:n.3
4.53	cough	kiŋ.2 hɛ:.5
4.54	sneeze	ŋɔk.1 sɔ:k.2; nɔk.1 sɔ:k.2
4.55	perspire	khɔp.4 mɨ:.1
4.56	spit	mɨ:.1
4.57	vomit	pha:.2 mɨ:.1
4.58	bite	niw.5 mɨ:.1
4.59	lick	ho:.3 mɛ:.4 mɨ:.1
4.591	dribble	nep.5 mɨ:.1; ka:p.2 nep.5 mɨ:.1
4.61	sleep	nep.5 tin.3; nep.5 mɨ:.1
4.612	snore	kha:.3
4.62	dream	kha:.3 lo:ŋ.3
4.63	wake up	tɔŋ.2 nɔ:ŋ.4; ma:k.2 ka:w.4
4.64	break wind	ho:.3 khaw.2
4.65	urinate	ti:n.3
4.66	defecate	khɔ:p.2 tin.3
4.67	have sexual intercourse	son.4 tin.3
4.68	shiver	hɔ:j.1 tin.3
4.69	bathe	ho:.3 mɛ:.4 tin.3
4.71	beget (of father)	pi:k.2
4.72	born (to be)	khon.3 (nok.5)
4.73	pregnant	ʔok.1
4.732	conceive	taw.4 nom.1
4.74	live, living, life	tin.2 nom.1
4.75	die, dead	ho:ŋ.1 nom.1; taw.4 nom.1
4.751	drowned	sa:j.3 li:.3
4.76	kill	ma:k.2 ho:.3 caɨ.3
4.77	corpse	pɔ:t.2
4.78	bury (the dead)	tap.1
