entry_id	trans_english	Shan_Dialect_Northern_Shan_Phonemic
7.31	fireplace	tɔ:.1; sa:n.3; phɔ:t.4
7.32	stove	ki:.2
7.33	chimney	jep.5
7.37	ladder	khem.3
7.42	bed	ma:t.2; lek.1 ci:.1
7.421	pillow	maj.3
7.422	blanket	jɔ:m.5
7.43	chair	sə:.4 hom.2 to:.3
7.44	table	pha:.4 sup.1 ho:.3
7.45	lamp, torch	kho:.1 na:ŋ.1 jiŋ.1
7.46	candle	sə:.4 kop.5
7.47	shelf	sə:.4 khɛ:n.3 ja:w.1
7.48	trough	ta:j.1 khɔ:.1; ka:p.2 khɔ:.1
7.51	roof	sin.4 pan.2 toŋ.2; sin.4 ka:.2 wun.2
7.52	thatch	si:.3 pɔ:.4
7.53	ridgepole	ko:n.3 (kha:.3 ja:w.1)
7.54	rafter	pha:.4 tom.1 ʔɛ:ŋ.4 tom.1 ʔɛ:w.3
7.55	beam	moŋ.3 tin.3 pɔt.1; moŋ.3 tin.3 ja:w.1
7.56	post, pole	sɔk.1 tin.3
7.57	board	sɔk.1 tin.3 ʔo:t.2
7.58	arch	kon.1 jep.5 kon.1 mɛ:.1 sɔk.1 tin.3
7.61	mason	ma:k.2 ho:.3; ma:k.2 ho:.3 ŋɛp.5
7.62	brick	sa:j.3 kɛt.1; sa:j.3 ʔɛ:w.3
7.63	mortar	moŋ.3 mɨ:.1
7.64	adobe	pha:.4 tom.1 na:.4
8.11	farmer	thɔ:ŋ.1
8.12	field (for cultivation)	ma:k.2 tum.2
8.13	garden	khem.3 ma:t.2
8.15	cultivate, till	tɔŋ.2 hu:.3
8.16	fence	khə:ŋ.4 kho:.1 mɛ:.1 ha:ŋ.4 pha:ŋ.3
8.17	ditch	kho:.1 sɛ:ŋ.3 kho:.1 kham.1
8.21	plow	kwa:ŋ.1 sɛ:ŋ.3; mɛ:ŋ.1 koj.1
8.212	furrow	wɛ:n.3
8.22	dig	sa:j.3 khɔ:.1
8.23	spade	sa:j.3 khɔ:.1; ma:k.2 nap.5
8.24	shovel	pi:.2 hu:.3
8.25	hoe	khe:n.1 ho:.3
8.26	fork	sam.1 la:j.1
8.27	rake	phɛ:n.2 cet.4 mɨ:.1
8.31	sow	pha:.4 cet.5 na:.4
8.311	seed	wi:.3
8.32	mow, reap	wi:.3 ho:.3
8.33	sickle, scythe	khon.3 pat.1; khon.3 pat.1 mun.4
8.34	thresh	lim.2 phan.4 sa:m.3 kiw.3
8.35	threshing-floor	mit.4 tha:.3 no:t.2
8.41	crop, harvest	man.1 ja:.3 ta:.1 cep.1
8.42	grain (barley, oats etc)	kɔ:n.4 si:.3 khaj.1; sap.5-pja:.2 si:.3
8.43	wheat	cam.4
8.44	barley	ju:.2; saw.1
8.45	rye	hə:n.1
8.46	oats	sum.5
8.47	maize, corn	the:ŋ.3
8.48	rice	sum.5 phɛ:n.2
8.51	grass	wa:ŋ.1; so:n.3 hə:n.1
8.52	hay	hə:n.1
8.53	plant (noun)	sɨŋ.2 faj.1
8.531	plant (vb)	ho:ŋ.1 tum.3 kan.3
8.54	root	luk.1; ʔöŋ.4
8.55	branch	phak.1 tu:.3; phak.1 tu:.3 kə:n.2
8.56	leaf	saw.3 phak.1 tu:.3
8.57	flower	ha:m.1
8.6	tree	maj.5 khat.1 phak.1 tu:.3; sɛ:.4
8.61	oak	sɔ:.1; ka:k.2 sɔ:.1
8.62	beech	hu:.1 lɛ:ŋ.1
8.63	birch	pha:k.4; ha:n.5; pɨn.5
8.64	pine	pha:.3
8.65	fir	phi:.1 faj.1
8.66	acorn	puŋ.1 faj.1
8.67	vine	piw.3 faj.1
8.68	tobacco	kho:.3 laj.3
8.69	smoke (tobacco)	ti:.4 nɔ:n.1; ku:.2 nɔ:n.1
8.691	pipe	mɔ:n.3 ho:.3
8.72	tree stump	pha:.3 maj.3 hom.2
8.73	tree trunk	taŋ.2 naŋ.4
8.74	forked branch	phə:n.3
8.75	bark	kɔk.1 faj.1; faj.1 ta:t.4
8.76	sap	te:n.1
8.81	palm tree	che:ŋ.2
8.82	coconut	li:n.1; ha:ŋ.1 lin.1
8.83	citrus fruit	cɔ:m.3 hə:n.1; muŋ.1 hə:n.1
8.84	banana tree	kha:.1
8.85	banyan	kha:.1 saj.3
8.91	sweet potato	pɛ:.3 cɔ:m.3
8.912	yam	ja:.5 jo:.1
8.92	tapioca, manioc, cassava	ho:n.1
8.93	gourd	saw.3; lak.1
8.931	pumpkin, squash	phɛ:n.2 pɛ:n.4
8.94	bamboo	koŋ.1 na:.4 tu:.3
8.941	sugar cane	mɔ:.3 kɔ:.2 sa:ŋ.4
8.96	fish poison (root)	ma:k.2 ʔut.2
8.97	nettle	lin.3 ja:ŋ.3
8.98	mushroom	ma:k.2 ʔut.2 lip.1
9.11	do, make	caw.4 na:.1
9.12	work	na:.1
9.14	bend	to:ŋ.4; hɛ:ŋ.4
9.15	fold	so:n.3 hə:n.1
9.16	tie, bind	phuk.2 sɔ:m.4
9.161	untie	ho:.5
9.18	chain	khu:.1; hɔŋ.4 khu:.1
9.19	rope, cord	thaj.3
9.192	knot (noun)	hɔ:j.1 thaj.3
9.21	strike (hit, beat)	khut.1
9.211	pound with fist	se:m.3
9.22	cut	so:k.2
9.221	cut down	cɔ:.1
9.222	chop, hew	phə:.3 ŋɛ:m.4; phə:.3 ŋa:m.4
9.223	stab	phə:.3 ko:t.2; phə:.3 khɛ:ŋ.1
9.23	knife	wa:n.2 cə:.5 wa:n.2 phan.1
9.24	scissors, shears	phan.1; cə:.5 phan.1
9.25	ax	ti:.2; pa:t.2
9.251	adze	pha:.5 ti:.2 ŋɔk.1; khew.1
9.26	break	pɔ:.5 khaw.4
9.261	broken	ti:.4 pɔ:.5 khaw.4
9.27	split	ma:k.2 taw.4 khaw.4 nam.5; sim.1 khaw.4 sim.1 nam.5
9.28	tear	met.5 khaw.4 pə:k.2; khaw.4 sa:ŋ.3
9.29	flay, skin	khaw.4 coŋ.2; khaw.4 mɔ:j.3
9.31	rub, wipe	khaw.4 mu:.4 jɔ:.1; khaw.4 ba:.2-le:.2 (English)
9.32	stretch	khaw.4 coŋ.2 ma:.5 ca:m.1
9.33	pull	khaw.4 coŋ.2 ma:.5
9.34	spread out	khaw.4 ka:p.2; khaw.4 khɛ:.2
9.341	hang up	khaw.4 suk.1
9.342	press	khaw.4 pə:k.2 maɨ.2
9.343	squeeze, wring	kɛ:p.2; to:n.4 ka:.4
9.35	pour	ham.1; kɛ:p.2
9.36	wash	phə:ŋ.1
9.37	sweep	khaw.4 kɔ:j.3
9.38	broom	jə:.4 ja:.4
9.422	tool	jə:.4 hɛ:ŋ.4; phə:ŋ.1
9.43	carpenter	to:n.4 ʔɔ:n.2
9.44	build	phuk.2
9.46	bore	ha:k.4 maj.5
9.461	hollow out	tɔ:.3 maj.5
9.48	saw	kiŋ.2 maj.5
9.49	hammer	maɨ.3 maj.5
9.5	nail	na:m.3
9.56	glue	mɔ:k.2
9.6	smith, blacksmith	ton.4 maj.5
9.61	forge	maj.5 nim.3
9.62	anvil	maj.5 lə:.2
9.63	cast (metals)	mat.5 wa:j.3
9.64	gold	maj.5 pɛ:k.2
9.65	silver	pɛ:k.2
9.66	copper, bronze	ma:k.2 tɔ:j.2
9.67	iron	khə:.1 ma:k.2 ʔit.2
9.68	lead (noun)	ja:.4 maj.3; ja:.4 lɛ:ŋ.3
9.69	tin, tinplate	lut.2; ja:.4 lut.2 (tobacco); lut.2 ja:.4 (to smoke)
9.71	potter	mɔ:.4 ja:.4; kɔŋ.4 mɔ:.4 ja:.4
9.72	mold (clay etc)	ma:k.2 mu:.5; pu:.5
9.73	clay	tɔ:.3 maj.5
9.74	glass	tum.3 maj.5
9.75	weave, plait	kiŋ.2 maj.5; ŋɛ:m.4 maj.5; ŋa:m.4 maj.5
9.76	basket	pə:k.2 maj.5; naŋ.3 maj.5
9.77	mat	ja:ŋ.3 maj.5
9.771	rug	ton.4 tha:n.3
9.78	netbag	ma:k.2 ʔun.3; ma:k.2 paw.5
9.79	fan (noun)	ma:k.2 som.4
9.791	fan (vb)	ma:k.2 mo:ŋ.4
9.81	carve	ton.4 koj.4
9.82	sculptor	koj.4
9.83	statue	maj.5 ńɔŋ.2; maj.5 haj.1
9.84	chisel	ma:k.2 kɛ:ŋ.1
9.88	paint (noun)	ma:k.2 sa:ŋ.1 phɔ:.1
9.89	paint (vb)	ma:k.2 ka:.2
10.11	move	maj.5 niw.5
10.12	turn over	ho:.3 man.1; ʔa:.2-lu:.1
10.13	turn around	man.1 hiŋ.2
10.14	wind, wrap	ho:.3 phə:k.2
10.15	roll	man.1 niw.5
10.16	drop (vb)	ma:k.2 nam.5 taw.4
10.17	twist	ma:k.2 pak.5
10.21	rise	wa:j.3
10.22	raise, lift	nɔ:.2
10.23	fall	maj.5 pok.2; maj.5 ko:ŋ.3
10.24	drip	ʔɔ:j.4; wa:j.3
10.25	throw	khə:.1 le:.2 (mə:.2 pa:.3)
10.252	catch (ball)	ha:n.2 let.1 ton.4
10.26	shake	hep.1
10.32	flow	het.1; pɔ:ŋ.3
10.33	sink	het.1 ka:n.3
10.34	float	kot.5
10.35	swim	top.5
10.351	dive	mat.5; kha:t.4
10.352	splash	lit.4; kɛ:.4
10.36	sail (vb)	cə:k.4 lek.1
10.37	fly (vb)	cə:k.4 mat.5; cə:k.4 sen.4 jam.2
10.38	blow	khɔ:t.2; pom.3
10.41	creep, crawl	pɔ:.5; thup.5; hɛ:m.3
10.412	kneel	ta:.3 mɨ:.1 ham.1
10.413	crouch	tɛp.1; cɛt.1
10.42	slide, slip	phan.1 lom.5; phan.1 tok.1
10.43	jump, leap	phan.1; pha:.2; pɔ:m.4; la:n.1
10.431	kick	ci:.1; tɛ:ŋ.1
10.44	dance	mit.4
10.45	walk	kim.1-haj.1
10.451	limp	ta:.3 ma:t.2
10.46	run	ta:.3 mɛt.1
10.47	go	lɛ:w.3; tɛ:k.2
10.471	go up	hak.1; lu:.5; kɔ:j.3
10.472	climb	ŋa:k.4 tɛ:k.2
10.473	go down	sik.2
10.474	go out	lɔ:k.4 naŋ.3
10.48	come	pɔ:t.4; si:.3
10.481	come back	cet.5
10.49	go away, depart	jɨ:t.4; khe:ŋ.4
10.491	disappear	tɨ:t.4; can.3; la:k.4
10.51	flee	tɨ:t.4 ʔɔ:k.2; can.3 ʔɔ:k.2; la:k.4 ʔɔ:k.2
10.52	follow	phɛ:.3 ʔɔ:k.2
10.53	pursue	hɔ:j.4 waj.5; phɛ:n.3 waj.5
10.55	reach, arrive	te:ŋ.3 waj.5; nek.1 waj.5
10.56	approach	mi:p.2; pan.4
10.57	enter	tɔŋ.4 nam.5; thɔ:k.2 nam.5; phim.1
10.61	carry (bear)	sak.5 kho:.1; lɔ:j.1 kho:.1; la:ŋ.5 wa:n.2; suk.4 na:.4
10.612	carry-in-hand	pat.1
10.613	carry-on-shoulder	ju:.1
10.614	carry-on-head	khə:ŋ.4 jip.1 ta:ŋ.1 tɨ:.1
10.615	carry-underarm	mɔ:.3 maj.5; mɔ:.3 mɨ:.1
10.62	bring	het.1; kɔ:.2 sa:ŋ.4; pok.1
10.63	send	ci:.1; wɔŋ.2; woŋ.2; coŋ.3
10.64	lead (vb)	coŋ.3 ʔɔ:k.2
10.65	drive	lek.1 lə:.4
10.66	ride	khɔ:n.5 cɔk.1
10.67	push, shove	lek.1 maj.2 na:.1
10.71	road	ja:ŋ.3; kɔ:.2
10.72	path	ca:ŋ.4 lek.1
10.74	bridge	saw.2
10.75	carriage, wagon, cart	tum.3 lek.1 ti:.4 khe:n.2 lek.1
10.76	wheel	lɔ:.2
10.77	axle	kham.1
10.78	yoke	ŋɨn.1
10.81	ship	tɔ:ŋ.1 lə:ŋ.~; ṭɔ:ŋ.1 lɛ:ŋ.3
10.83	boat	lek.1
10.831	canoe	cɨn.1
10.832	outrigger	he:k.2; čɦɛp.1 he:k.2 (khɛp.1 hɛ:k.2)
10.84	raft	caw.4 mɔ:.4; kon.1 het.1 mɔ:.4
10.85	oar	pə:ŋ.3
10.851	paddle (noun)	lin.3 ne:w.3
10.852	row (vb)	ma:n.2; kɛ:w.4
10.86	rudder	sa:n.3; tɔ:.1
10.87	mast	pe:t.4; sa:.5; ko:j.3; sɔ:ŋ.1
10.88	sail (noun)	pe:t.4 la:ŋ.3 khaw.4
10.89	anchor	sa:t.2
10.91	harbor, port	pha:.4 sə:.2 khon.3 ca:m.1
10.92	land (vb)	thoŋ.3 kha:w.4
11.11	have	tɛp.1 wi:.1
11.12	own, possess	wi:.1
11.13	take	chɛk.1 maj.5
11.14	seize, grasp	mɔ:.3 siw.2 ha:ŋ.4; mɔ:.3 tɔ:ŋ.4
11.15	hold	ha:ŋ.4 to:.3
11.16	get, obtain	siw.2
11.17	keep, retain	si:.3
11.18	thing	ta:.1 si:.3
11.21	give	kha:j.5; toŋ.5 nɨŋ.3
11.22	give back	pin.4 khɨn.4; pin.4 khɨn.1
11.24	preserve, look after	wa:j.2 khɨn.1; pan.2 khɨn.1
11.25	save, rescue	hɔ:.2
11.27	destroy	kiŋ.4; ce:n.3
11.28	harm, injure, damage	pɔ:j.2 tok.1
11.31	seek, look for	lim.2; kew.4 lim.2; kew.4 phan.4
11.32	find	khɨn.4
11.33	lose	juk.5; juk.5 jɔŋ.4
11.34	release, let go	tok.1; se:n.3 tok.1
11.43	money	jɔ:t.2
11.44	coin	sɨŋ.1; wut.5; thɨm.4; pha:t.2; liw.1
11.51	rich	sɨŋ.1 ʔɔ:k.2; thɨm.4 pɛ:t.4 kaj.3 kaj.3
11.52	poor	ti:.5; ńɔp.1
11.53	beggar	khaw.2; khɔ:n.1
11.54	avaricious, stingy	laj.3
11.61	lend	com.3
11.62	borrow	nam.5 lup.2; nam.5 tho:m.4
11.63	owe	phu:.1
11.64	debt	luj.1 nam.5
11.65	pay (vb)	lam.3 nam.5
11.66	account, reckoning	ha:t.2 nam.5
11.69	tax, tribute	phɛ:n.2 la:ŋ.1 ja:n.1
11.77	hire	min.3; win.3
11.78	wages	paw.2
11.79	earn	ka:n.1; ka:n.1 thu:.3
11.81	buy	khup.5 khaw.2
11.82	sell	mo:p.2; mɔ:p.2; ŋɔ:m.3
11.83	trade, barter	pa-la:t.4; mɨ:n.4
11.84	merchant	wɛ:n.3; cɔk.1
11.85	market (place)	pit.5; thi:p.2
11.86	store, shop	ka:.4
11.87	price	paj.3
11.88	dear (costly, expensive)	ha:n.4
11.89	cheap	lɛ:n.4; ʔɛ:n.2
11.91	share (distribute)	kwa:.2
11.92	weigh	kwa:.2 nə:.3; khɨn.4 nə:.3
12.1	after	ka:n.1 khɨn.4
12.11	behind	kwa:.2 taɨ.4; loŋ.1 taɨ.4
12.2	beside	ʔɔ:k.2 kwa:.2; kwa:.2 ta:ŋ.1 nɔ:k.4
12.3	down, below	je:p.2 ńa:.1
12.4	before	ma:.1
12.41	front	khɨn.1 ma:.1; pɔ:k.4 khɨn.1; pɔ:k.4 khɨn.1 ma:.1
12.5	inside, in	pha:t.2 ja:n.3; kwa:.2 kaj.3 kaj.3
12.6	outside	ha:j.3
12.7	under	pa:j.4
12.8	up, above	cɔ:m.1 laŋ.3
12.11	place	lam.1 cɔ:m.1
12.12	put	phɛ:w.3 ma:.1; thɨŋ.3 ma:.1
12.13	sit	cut.5 cam.3 ma:.1
12.14	lie down	khaw.4 ma:.1
12.15	stand	pa:.1 ma:.1; tɔ:.5 ma:.1; mɛ:k.2 ma:.1
12.16	remain, stay	jip.1 ma:.1; tɨ:.1 ma:.1
12.17	remains, left overs	te:ŋ.2 ma:.2 ma:.1
12.21	collect, gather	te:ŋ.2 ho:.3 ma:.1
12.212	pick up	ńap.4 taɨ.4 kiŋ.2- hɛ:.5 ma:.1
12.213	pile up	ce:.1 ma:.1; te:ŋ.2 laŋ.3 ma:.1
12.22	join, unite	ha:p.2 ma:.1
12.23	separate	ʔaw.3 ma:.1
12.232	divide	so:ŋ.2
12.24	open	ʔɔ:n.3 ho:.3; na:m.1 na:.4
12.25	shut, close	hɔ:.4 ka:.1; hɔ:.4 lɔ:.5
12.26	cover	khi:.2 ka:.1; khi:.2 lɔ:.5; khi:.2 ma:.5; khi:.2 kwa:.1
12.27	hide, conceal	ʔi:.1; ʔi:.1 ʔɔ:k.2
12.31	high	ta:ŋ.1
12.32	low	ta:ŋ.1 lin.3
12.33	top	kho:.3
12.34	bottom	lɔ:.5 lot.5-faj.1; lɔ:.5 ma:.5; lɔ:.5 wo:.1
12.35	end	ma:k.2 lɔ:.5
12.352	pointed	kɛ:n.3 lɔ:.5
12.353	edge	ka:n.1 lɔ:.5
12.36	side	hə:.1 lo:ŋ.3
12.37	middle, center	hə:.1
12.41	right (side)	hə:.1 ʔɔ:n.2; hə:.1 pɔt.1
12.42	left (side)	maj.5 pɛ:n.4 phaŋ.2 hə:.1
12.43	near (adv)	pɛ:.1
12.44	far (adv)	la:m.4 pha:j.1 ja:w.1
12.45	east	la:m.4 pha:j.1 pɔt.1
12.46	west	pha:j.1 hə:.1
12.47	north	lɛ:m.4 khat.1 ha:ŋ.3 hə:.1
12.48	south	saw.3 ka:ŋ.3 hə:.1
12.53	grow	la:ŋ.1 ja:n.1; phɛ:n.2 piw.3 hə:.1
12.54	measure	mat.5 hə:.1
12.541	span, fathom	ta:.4 sa:ŋ.1-phɔ:.1; ta:.4 hə:.1
12.55	large, big	sək.4 hɔ:t.4
12.56	small, little	mi:.1
12.57	long	pe:n.3 khɔ:ŋ.3
12.58	tall	ʔaw.3
12.59	short	kam.3; ńɔ:p.1; ŋam.3 waj.5
12.61	wide, broad	jip.1
12.62	narrow	ʔo:m.3
12.63	thick (in dimension)	laj.4; hap.5 laj.4
12.65	thin (in dimension)	khə:ŋ.4 khɔ:ŋ.3
12.67	deep	pan.3
12.68	shallow	soŋ.2; pan.3 khɨn.1
12.71	flat	lum.1 la:.1; pha:ŋ.5 waj.5
12.73	straight	cɔj.4 kɛ:.4 ʔa-sa:k.4 kon.1; cɔj.4 kɛ:.4 phe:.1; kɛ:.4 lɔ:.4
12.74	crooked	ja:.5 lu.5; ja:.5 lɛ:w.3
12.75	hook	lu:.5 lɛ:w.3; phe:.1; ma:t.2; cep.1
12.76	corner	sɔ:.5 ha:.3; sɔk.4 ha:.3; lɔ:m.3 ha:.3
12.77	cross	ha:.3 han.3; ńa:.1
12.78	square	sum.1; sa:j.3
12.81	round	pɔ:j.2 kwa:.2; pɔ:j.2
12.82	circle	ŋɨn.1
12.83	sphere, ball	ŋɨn.1 tɛ:ŋ.1 ka:.1; ŋɨn.1 kiw.2
12.84	line	mi:.1; ma:k.4 mi:.1
12.85	hole	pha:n.3; kɔt.1
12.92	like, similar	kon.1 jɔ:n.1
12.93	change	khi:.4 thi:.2; khi:.4 new.3
13.0	zero, nothing	pan.3 jim.3; pan.3 ku:.4
13.1	one	jɔ:n.1 jim.3; jɔ:n.1 ku:.4; ku:.4
13.2	two	thuk.2 ni:.4
13.3	three	ni:.4
13.4	four	pan.3
13.5	five	ʔa:n.2 nap.5; ʔa:n.2 twa:k.4 lɔŋ.4 ŋɨn.1 tɔ:ŋ.1
13.6	six	khɔ:n.2; sa:k.4 khɔ:n.2
13.7	seven	kin.3 ca:ŋ.4
13.8	eight	ŋɨn.1 ho:.3 lə:n.3
13.9	nine	ŋɨn.1 khaw.4; ŋɨn.1 ta:.2 laj.4
13.10	ten	sɨ:.5
13.101	eleven	kha:j.3
13.102	twelve	lɛ:k.4 kho:.1 ka:.5 kho:.1 kha:j.3 kan.3; ka:.5 kha:j.3 tɔ:.2 kan.3
13.103	fifteen	kon.1 ka:.5 kon.1 kha:j.3
13.104	twenty	ka:t.2
13.105	hundred	sum.5 sjɛ:ŋ.2 (Burmese); sum.5 sɛ:ŋ.2 kha:j.3 kho:.1
13.106	thousand	ka:.4 khan.3
13.107	count	pɛ:ŋ.1; ka:.4 jaɨ.2
13.14	every, all	pɔ:.1; ka:.4 khan.3 pɔ:.1
13.15	much, many	cɛ:k.2 phɛ:.3 pan.3; ho:m.4 pa:.1 lɔŋ.4 ka:.5
13.16	more	caŋ.4; hiw.4
13.17	little (quantity), few	wa:j.1 laŋ.3
13.18	enough	pha:j.2 laŋ.3; ta:ŋ.1 laŋ.3
13.181	some	pha:j.2 kha:ŋ.4; ta:ŋ.1 kha:ŋ.4
13.19	multitude, crowd	ta:ŋ.1 taɨ.4; taɨ.4
13.21	full	pa:.4 na:.4; ta:ŋ.1 na:.4; ʔɔ:n.3 ta:ŋ.1
13.22	empty	pha:j.2 ta:ŋ.1 na:.4
13.23	part, piece	naɨ.1; pha:j.2 naɨ.1; ta:ŋ.1 naɨ.1
13.24	half	pha:j.2 nɔ:k.4; ta:ŋ.1 nɔ:k.4
13.33	alone, only	taɨ.4
13.34	first	nə:.3; pha:j.2 nə:.3; ta:ŋ.1 nə:.3
13.35	last	ti:.4
13.36	second	wa:ŋ.1; tam.1
13.37	pair	naŋ.4
13.38	two times	nɔ:n.1 len.4
13.42	third	cuk.1
13.44	three times	ju:.2; ju:.2 tha:.4
14.11	time	paɨ.5; tha:.4; paɨ.5 tha:.4
14.12	age	khɔŋ.3 lə:.3; khɔŋ.3 kɨt.1
14.13	new	kep.1 hɔ:m.3; tɔ:m.3 cu:.5
14.14	young	kep.1 ʔaw.3
14.15	old	sɔ:n.5 waj.5
14.16	early	kap.1; kɔ:ŋ.5 kan.3 waj.5; phɔ:m.5 ho:m.4 kan.3
14.17	late	pha:t.2 phɛ:.3 kan.3
14.18	now	phɛ:.3 mɛ:ŋ.2 kan.3
14.19	immediately	phuj.2; pɨt.2
14.21	swift, fast, quick	mɨn.1 ta:.3
14.22	slow	hap.1; ʔɨt.1
14.23	hasten, hurry	lap.1 ta:.3
14.24	retard, delay	hom.2
14.25	begin, beginning	sə:ŋ.2; sə:ŋ.2 sim.1
14.252	last, endure	suŋ.3
14.26	end (temporal)	tɛm.2
14.27	finish	cik.1; cɔ:m.3
14.28	cease, stop	taɨ.4 kon.4; taɨ.4 sut.1
14.29	ready	sut.1
14.31	always	lɛ:m.3
14.32	often	chɛ:p.2 lin.3; khɔ:p.2 lin.3; lɛ:n.3 lin.3
14.33	sometimes	pha:j.2; kha:ŋ.4
14.331	soon	ka:ŋ.3; khɨŋ.4 ka:ŋ.3
14.332	long-time (for a)	kɛ:.4; nam.1 kɛ:.4
14.34	never	khwa:.3
14.35	again	sa:j.5
14.41	day	cam.3; kaj.3
14.42	night	ta:ŋ.1 ʔɔ:k.2; wan.1 ʔɔ:k.2
14.43	dawn	ta:ŋ.1 tok.1; wan.1 tok.1
14.44	morning	ta:ŋ.1 hɔŋ.2
14.45	noon, midday	ta:ŋ.1 ca:n.1
14.451	afternoon	jaɨ.2 ma:.1
14.46	evening	khɨp.4 to:j.1; sɔ:k.2 to:j.1
14.47	today	jaŋ.2 to:j.1; wa:j.4 to:j.1
14.48	tomorrow	jaɨ.2; kwa:ŋ.4
14.481	day-after-tomorrow	lek.5; ʔɔ:n.2
14.49	yesterday	ja:w.1
14.491	day-before-yesterday	suŋ.3
14.51	hour	pɔt.1; tɛm.2
14.53	clock, timepiece	jaɨ.2 kwa:ŋ.4; jaɨ.2 jaɨ.2 kwa:ŋ.4 kwa:ŋ.4
14.61	week	cɛ:p.4
14.62	Sunday	na:.3
14.63	Monday	ʔo:n.3
14.64	Tuesday	ma:ŋ.3
14.65	Wednesday	lɨk.5
14.66	Thursday	tɨ:n.4
14.67	Friday	pe:ŋ.1
14.68	Saturday	sɨ:.4
14.71	month	kot.5; ŋɔ:.1
14.73	year	khɔ:.3; met.1
14.74	winter	ce:ŋ.2
14.75	spring	khwaj.2 khwa:.3 pɛ:.3
14.76	summer	si:.2 ceŋ.2
14.77	autumn	mo:n.1
14.78	season	toŋ.2
15.21	smell (vb intrans)	ma:k.2 ʔan.3 mon.1; hoj.2 mon.1
15.212	sniff	thɛ:w.3; šä:ʔ.~
15.22	smell (vb trans)	ɦü:.́
15.25	fragrant, good smelling	ǯə:n.3; mə:n.3 kan.3
15.26	stinking, bad smelling	lɛ:k.4 la:j.4
15.31	taste	paw.2 (ʔam.2 mi:.1 san.3); su:ŋ.3
15.35	sweet	nɨŋ.4
15.36	salty	sɔ:ŋ.3
15.37	bitter	sa:m.3
15.38	acid, sour	si:.2
15.39	brackish	ha:.4
15.41	hear	hok.1
15.42	listen	cet.1
15.44	sound, noise	pɛ:t.2
15.45	loud	kaw.4
15.46	quiet, silence	sip.1
15.51	see	sip.1 ʔet.1
15.52	look, look at	sip.1 sɔ:ŋ.3
15.55	show	sip.1 ha:.4
15.56	shine	sa:w.1 nɨŋ.4 (sa:w.1 = 20)
15.57	bright	pa:k.2 nɨŋ.4 (pa:k.2 = 100)
15.61	color	he:ŋ.3 nɨŋ.4 (he:ŋ.3 = 1000)
15.62	light (in color)	ʔa:n.2
15.63	dark (in color)	taŋ.1 mot.1; taŋ.1 se:ŋ.̆
15.64	white	ŋäǯ.~
15.65	black	ṭɦɛ:ŋ.4; lə:.3
15.66	red	ʔe:.2; ke:.2
15.67	blue	kum.2; kum.2 tho:n.4
15.68	green	phɔ:ŋ.4; kam.4 phɔ:ŋ.4
15.69	yellow	kon.1 ʔum.2; kon.1 nam.3 kon.1 kɨn.1
15.71	touch	te:m.3
15.712	pinch	ʔim.2
15.72	feel	paw.2
15.74	hard	pha:k.2; phit.2
15.75	soft	khɨŋ.4 nɨŋ.4
15.76	rough	kɔ:.5 lew.3; ʔan.3 lew.3
15.77	smooth	tɛ:.2 ŋaw.4; ho:.3 ti:.1; ho:.3 ŋaw.4; thi:.5 nɨŋ.4
15.78	sharp	lɨn.1; lɨn.1 laŋ.3; wa:j.1
15.79	blunt, dull	thi:.5 sɔ:ŋ.3; kam.1 sɔ:ŋ.3; pɔ:k.4 sɔ:ŋ.3
15.81	heavy	ku:.4; kop.5; cum.2
15.82	light (in weight)	sɔ:ŋ.3 pɔ:k.4; sɔ:ŋ.3 kam.1
15.83	wet, damp	kam.1 sa:m.3; pɔ:k.4 sa:m.3; thi:.5 sa:m.3
15.84	dry	sa:m.3 pɔ:k.4; sa:m.3 kam.1
15.85	hot	kha:w.1 ja:m.1
15.851	warm	ʔa-sa:k.4; ʔa:.2-ju:.5 || ka:p.4 pa:n.3
15.86	cold	maɨ.2
15.87	clean	num.2
15.88	dirty, soiled	kaw.2
15.89	wrinkled	thaw.4
16.11	soul, spirit	hɔ:k.2
16.15	surprised, astonished	caw.5
16.18	good fortune, luck	la:.4; tok.1 lɨn.1
16.19	misfortune, bad luck	mə:.4 lew.3
16.23	joyful, glad, happy	kam.1 lew.3
16.25	laugh	waj.1; pha:j.3 faɨ.1; faɨ.1
16.251	smile	thə:ŋ.1; lɔ:j.1 lɔ:j.1
16.26	play	hi:p.4; nɛ:t.4
16.27	love	het.1 haɨ.4 thə:ŋ.1; haɨ.4 na:n.1
16.29	kiss	tɛ:.2; tɛ:.2 ŋaw.4
16.3	embrace	jən.5 khat.1 caɨ.3; jən.5 kan.4 laj.4
16.31	pain	sut.1
16.32	grief, sorrow, sadness	jaw.5; jaw.5 to:.4
16.33	anxiety, worry	jɨt.1; kɨt.1
16.34	regret, be sorry	to:.4 tan.1 waj.5
16.35	pity	ta:.2-se:.2
16.37	cry, weep	kam.1 kam.1
16.38	tear (noun)	ma:ŋ.3 pɔ:k.4; ma:ŋ.4 kam.1
16.39	groan	tɔ:.4 lew.3; kam.1 lew.3
16.41	hate	hɨŋ.3; na:n.1
16.42	anger	lum.1 lum.1; la:.1 la:.1; ʔam.2 tɔn.5 se:.3 pɔ:k.4
16.44	envy, jealousy	thɛ:ŋ.4
16.45	shame (noun)	ka:ŋ.3 wan.1
16.48	proud	ka:ŋ.3 khɨn.1
