entry_id	trans_english	Sanchong_Kelao_Phonemic
1.1	world	hei.42 vei.31; lau.42 jin.42
1.21	earth, land	lau.42 jin.42
1.212	earth=ground, soil	ljuŋ.42
1.213	dust	te.13
1.214	mud	ne.31 ɣuŋ.13
1.215	sand	ha.42 pa.35 ze.31
1.22	mountain, hill	ma.42 mje.13 ʔle.35
1.222	cliff, precipice	fa.13 la.42
1.23	plain, field	lau.42 ɣau.13
1.24	valley	ma.42 ho.13 ŋ.35 (ʔuŋ.35)
1.25	island	ʔa.35 mpuŋ.31
1.26	mainland	ŋ.35
1.27	shore	laŋ.31 ŋ.35
1.28	cave	ʔa.42 pu.42
1.31	water	ʔa.42 cuŋ.42 ŋ.35
1.32	sea	tin.35 ŋkuaŋ.13
1.322	calm (of sea)	ʔa.35 mpo.13
1.323	rough (of sea)	ŋ.35 suai.42 so.35 ʒe.31
1.324	foam	ʔa.35 ntjuŋ.31 śi.33
1.329	ocean	ma.42 śi.42
1.33	lake	ʔa.42 śi.42
1.34	gulf, bay	ʔləu.35 ɣo.13
1.341	lagoon	ʔləu.35 ɣo.13
1.342	reef	ha.13 wei.31
1.343	headland, point	ma.42 wa.42
1.35	wave	ma.42 le.31 ʔau.13
1.352	tide	lei.35 lau.31
1.353	lowtide	wei.31 cho.13
1.354	hightide	wei.31
1.36	river, stream, brook	wei.31 laŋ.31
1.362	whirlpool	lei.35 wei.31 cho.13
1.37	spring, well	ɣaŋ.13 min.31 łjuŋ.35
1.38	swamp	ntjau.13 ʔla.42
1.39	waterfall	ma.31 qha.42 śən.42
1.41	woods, forest	lei.35 ʔa.35
1.42	tree (cf 08.600)	ŋ.35 He.35
1.43	wood	ɣuaŋ.31
1.44	stone, rock	fu.35
1.45	earthquake	ɣau.13 lja.42
1.51	sky	min.31
1.52	sun	le.42 ʔau.13
1.53	moon	ŋaŋ.31 lai.31 haŋ.~̄
1.54	star	min.31 ʔau.31
1.55	lightning	pa.42 wei.31
1.56	thunder	hye.42
1.57	lightning (as striking)	lei.35 hey.42
1.58	storm	haŋ.42 hye.42
1.59	rainbow	to.35 te.13
1.61	light (noun)	khəu.35 hye.42
1.62	darkness	pei.35 (he.42  )
1.63	shade, shadow	pei.35
1.64	dew	pei.35 hey.42; tjual.13 hye.42
1.71	air	kho.35 hye.42
1.72	wind	ʔa.42 ʔo.13
1.73	cloud	tja.13
1.74	fog	ɣəu.42
1.75	rain (noun)	po.35 ho.35
1.76	snow (noun)	ma.42 wa.42
1.77	ice	pu.35 ho.55
1.78	weather	ma.42 wa.42
1.81	fire	lei.35 ho.35
1.82	flame (noun)	lei.35 ho.55
1.83	smoke (noun)	lei.35 wa.42
1.84	ashes	lei.35 wa.42 łjuŋ.42
1.841	embers	to.35 łje.35
1.851	burn (vb trans)	to.35 tja.42
1.852	burn (vb intrans)	pu.55 ho.55
1.86	light, kindle, ignite	ma.42 wa.42
1.861	extinguish	hi.13 khən.13
1.87	match (noun)	hi.13 khən.13
1.88	firewood	sI.55 hən.42so.42 cho.35 ɣai.13
1.89	charcoal	ʔa.42 pa.42
2.1	person, human being	ʔa.42 ne.42
2.21	man (vs. woman)	ʔa.42 pa.42 ʔa.42 ne.42
2.22	woman	pu.35 ho.55
2.23	male	ma.42 wa.42
2.24	female	lei.35 ho.35
2.25	boy	lei.35 wa.42
2.251	young man (adolescent)	to.35 łje.35
2.26	girl	pu.35 tjo.42 pu.35 zo.13
2.261	young woman (adolescent)	ʔa.42 tje.31
2.27	child	pu.35 zo.13
2.28	infant, baby	ʔa.42 njuŋ.31 ma.35 ʔjin.35
2.31	husband	ʔa.42 njuŋ.31
2.32	wife	ma.42 ʔin.35
2.33	marry	pu.35 tje.42 pu.35 zo.13; ma.42 njuŋ.35 ma.42 ʔjin.35
2.34	marriage, wedding	səu.42 lji.13
2.341	divorce	ʔa.42 tja.35
2.35	father	ʔa.42 tja.35
2.36	mother	ʔa.42 ja.42
2.37	parents	ʔa.42 ja.42
2.38	married man	lei.35 ʔla.42
2.39	married woman	lei.35 ʔla.42 wa.42
2.41	son	ʔa.42 tje.42 wa.13 ʔʒəu.35; pu.35 mo.13
2.42	daughter	mo.13 łjuŋ.42
2.43	offspring (son or daughter)	wa.13 ʔʒəu.35
2.44	brother	ʔa.42 ti.31
2.444	older brother	ʔa.42 njuŋ.31
2.445	younger brother	mei.31 ńəu.55 łuŋ.55; mo.13 łuŋ.42
2.45	sister	lei.35 ntjau.42
2.454	older sister	lei.35 wa.42 ntjau.42
2.455	younger sister	pu.35 zo.13 la.42 ʒo.13; njuŋ.31 la.42 ʒo.13
2.456	sibling	pu.35 tjəu.35
2.458	twins	pja.35 pja.42
2.46	grandfather	ʔa.42 pa.42
2.461	old man	ʔa.42 che.35
2.47	grandmother	ʔa.42 ne.42
2.471	old woman	pu.55 jɛ.42
2.48	grandson	pu.55 jɛ.42 (je.42)
2.49	granddaughter	ma.42 je.31
2.51	uncle	ma.42 lje.31
2.511	mother's brother	wa.13 lin.31
2.512	father's brother	ʔa.42 nje.42 lin.31
2.52	aunt	ta.13 lei.35 ho.35
2.521	mother's sister	ta.13 lei.35 wa.42
2.522	father's sister	lei.35 kua.42 cai.42
2.53	nephew	ma.42 səu.42
2.54	niece	pu.55 səu.42
2.55	cousin	qhei.13 nja.13
2.56	ancestors	lau.42 he.42
2.57	descendants	ʔie.35
2.61	father-in-law (of a man)	mu.31
2.611	father-in-law (of a woman)	hən.35
2.62	mother-in-law (of a man)	ʔa.42 ʔi.35
2.621	mother-in-law (of a woman)	ʔa.42 ti.42 səu.42 hən.42
2.63	son-in-law (of a man)	ʔa.42 m.31
2.631	son-in-law (of a woman)	ʔa.42 hje.42 səu.42 hən.42
2.64	daughter-in-law (of a man)	ʔa.42 hje.42
2.641	daughter-in-law (of a woman)	pu.35
2.71	stepfather	ma.42
2.72	stepmother	ɣa.31 ʔa.42 lei.31 kua.33 nti.13 (di.13) to.33
2.73	stepson	ɣa.31 ʔa.42 lei.42
