entry_id	trans_english	Waurá_Phonemic
2.35	father	pa'pa; -žɨ
2.36	mother	ma'ma; -ɨnu
2.37	parents	
2.38	married man	ka-nu-ki-'ya
2.39	married woman	ke-mežɨ-ki-ya-lu
2.41	son	-tãi
2.42	daughter	ic̷u-pa-lu
2.43	offspring (son or daughter)	-tãi-yãu
2.44	brother	-tu-ka'ka
2.444	older brother	-tapɨ-žɨ
2.445	younger brother	-se-žɨ
2.45	sister	-tu-kaka-lu
2.454	older sister	-tapɨ-žu
2.455	younger sister	-se-žu
2.456	sibling	-pa-wa
2.458	twins	ka-naka-'ki
2.46	grandfather	a'tu
2.461	old man	autu-pa-žɨ-mɨ'na
2.47	grandmother	a'c̷i
2.471	old woman	aripi-c̷i-tʸa-lu
2.48	grandson	-wɨ-hɨ
2.49	granddaughter	-wɨ-tu
2.51	uncle	
2.511	mother's brother	u'wa
2.512	father's brother	pa'pa; -žɨ
2.52	aunt	
2.521	mother's sister	ma'ma; -ɨnu
2.522	father's sister	a'kɨ
2.53	nephew	-ta'mi; ɨ'wa
2.54	niece	-tami-c̷ũ'wĩ
2.55	cousin	-tanu'le
2.56	ancestors	-atu-kɨžɨ-tũpã-nau
2.57	descendants	-wɨ-hɨ-nau
2.61	father-in-law (of a man)	-matu-
2.611	father-in-law (of a woman)	-matu-
2.62	mother-in-law (of a man)	-matɨ-
2.621	mother-in-law (of a woman)	-matɨ-
2.63	son-in-law (of a man)	-ĩyẽ-
2.631	son-in-law (of a woman)	-ĩyẽ-
2.64	daughter-in-law (of a man)	ĩc̷uwi
2.641	daughter-in-law (of a woman)	ĩc̷uwi
2.71	stepfather	-ežɨ-mɨna
2.72	stepmother	-ɨnu-mɨna
2.73	stepson	-tãi-mɨna
2.74	stepdaughter	ic̷u-pa-lu-mɨna
2.75	orphan	palawa-
2.76	widow	ka-tũpa-lulu
2.77	widower	ka-tũpa-žɨ
2.81	relatives, kinsmen	-pene-žɨ
2.82	family	
2.91	I	na-tu
2.92	you (singular)	pi-c̷u
2.93	he/she/it	nežɨ
2.94	we	ai-c̷u
2.941	we (inclusive)	ai-c̷u
2.942	we (exclusive)	ai-c̷u
2.95	you (plural)	yi-c̷u
2.96	they	napapa
3.11	animal	apapatai-mɨna
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	-pɨža-pɨhɨ
3.16	pasture	ata-kahɨ-taku
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	teme-ku'ma
3.21	bull	
3.22	ox	
3.23	cow	
3.24	calf	
3.25	sheep	[a'lã]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	autu-ku'ma
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	teme-ku'ma
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	au-tulũ-ka
3.47	mule	autu-ku'ma
3.5	fowl	arauku-'ma
3.52	cock, rooster	arauku-'ma
3.54	hen	arauku-'ma
3.55	chicken	
3.56	goose	wanana-ku'ma
3.57	duck	upi; wanana
3.58	nest	ĩtʸe
3.581	bird	kuhupɨža-tɨ
3.582	seagull	kãkãyã; kãkãyã-ku'ma
3.583	heron	saukalu
3.584	eagle	kuhupɨža
3.585	hawk	kuhupɨža; sĩyalũ
3.586	vulture	awažatalu; wehɨža
3.591	bat	aluwa
3.592	parrot	
3.593	crow	
3.594	dove	watapa; tuku'žẽ
3.596	owl	mulukuhɨ; tuku-tu'ku
3.61	dog	awaulu-ku'ma
3.614	rabbit	
3.62	cat	kuruwãu
3.622	opossum	iyula
3.63	mouse, rat	mukutɨ
3.65	fish	kupatɨ
3.652	fin (dorsal)	-wãiyãtɨ
3.653	fishscale	-žata
3.654	gill	-halapa
3.655	shell	-žata
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	iyapu; ka-pala-'ka
3.665	freshwater eel	aža'pu
3.71	wolf	wau
3.72	lion	
3.73	bear	
3.74	fox	awaulu
3.75	deer	aɣama; yu'ta
3.76	monkey	pahɨ
3.77	elephant	
3.78	camel	
3.81	insect	yakawa'ka
3.811	louse	-neec̷e
3.812	nit (louse egg)	yuwalu
3.813	flea	
3.814	centipede	uwi ɨ-pala'tã
3.815	scorpion	huupa
3.816	cockroach	maakuyalu; mapɨžetelu
3.817	ant	kaitʸalu; meic̷ukutɨ
3.818	spider	yu'wa
3.819	spider web	yuwa-yuwa-ka-pi
3.82	bee	ikitʸunu; tʸulu-tʸulu
3.821	beeswax	iyapi
3.822	beehive	ĩtʸe
3.823	wasp	ata-pɨža
3.83	fly	ec̷ic̷i
3.831	sandfly (midge), gnat	ežũtɨ
3.832	mosquito	eyu; makuku
3.84	worm	ĩyẽi
3.85	snake	uwi
3.91	firefly	wiitʸuku
3.92	butterfly	mapapalu
3.93	grasshopper	ahatɨ
3.94	snail	itʸuwi; walu; ɨtɨžu
3.95	frog	wežeže; kažutukalu
3.96	lizard	su'la; i'ya; yamu'lu
3.97	crocodile, alligator	ya'ka
3.98	turtle	i'tʸu; masasalu; ayuwe
4.11	body	-mɨna-pic̷i
4.12	skin, hide	-mai
4.13	flesh	-hɨtai
4.14	hair (head)	-tɨwɨ
4.142	beard	-pula-numa
4.144	body hair	-mapɨ
4.145	pubic hair	ĩyãpɨku
4.146	dandruff	-mapažata-
4.15	blood	-ɨža
4.151	vein, artery	-wayala-pi
4.16	bone	-napɨ
4.162	rib	-talalaka-
4.17	horn	-uta
4.18	tail	ĩtʸu
4.19	back	-tanaka
4.191	spine	-tanaka-pi
4.2	head	-tɨwɨ
4.201	side of head, temple	-taa-paka
4.202	skull	-tɨwɨ-tari
4.203	brain	-kitʸeže
4.204	face	-paaka
4.205	forehead	-tiwi-tʸu
4.207	jaw	-nana-tapa
4.208	cheek	-halapa
4.209	chin	-numa-saku
4.21	eye	-užutai
4.212	eyebrow	-usiya-mepe
4.213	eyelid	-užutai-tʸenu
4.214	eyelash	-usiya
4.215	blink	
4.22	ear	-tu'lũ
4.221	earlobe	-tu'lũ
4.222	earwax	-kitʸeže
4.23	nose	-kic̷i
4.231	nostril	-kic̷i-yãku
4.232	mucus (nasal)	kic̷itʸũ-
4.24	mouth	-kana-tɨ
4.241	beak	-kic̷i
4.25	lip	-k-ɨža-pi
4.26	tongue	-nei
4.27	tooth	-c̷ewe
4.271	gums	-c̷ewe-te-pi
4.272	molartooth	
4.28	neck	-pĩyũ
4.281	nape of neck	-punu-; ɨ-punu-naku
4.29	throat	-pĩyũ-naku
4.3	shoulder	-senepu
4.301	shoulderblade	-hulũ-tapa
4.302	collarbone	-neec̷e-tɨ
4.31	arm	-wana
4.312	armpit	-tɨpɨžɨ-naku
4.32	elbow	-wana-tɨpulu
4.321	wrist	-kanu-tapa
4.33	hand	-wɨžɨku; -kapɨ-
4.331	palm of hand	-wɨžɨku-taku
4.34	finger	-kapɨ-tɨwɨ
4.342	thumb	-nežɨ-tɨwɨ
4.344	fingernail	-hupa-žata
4.345	claw	-hupa
4.35	leg	-katɨ
4.351	thigh	-putɨ
4.352	calf of leg	-kažɨ-tapa
4.36	knee	-tʸetu
4.37	foot	-ki-c̷apa
4.371	ankle	-tʸalãa-tapa
4.372	heel	-tɨpulu
4.374	footprint	-ki-c̷apa-pɨ'na
4.38	toe	ki-c̷iwi
4.392	wing	-tana
4.393	feather	-mapɨ
4.4	chest	-nupana-taku
4.41	breast (of woman)	-hɨ̃
4.412	nipple, teat	-hɨ̃-tɨ
4.42	udder	-hɨ̃-pi
4.43	navel	-tukuna-tɨ
4.44	heart	-ĩwĩ-c̷i
4.441	lung	-ĩ'wĩ
4.45	liver	-nupana
4.451	kidney	
4.452	spleen	
4.46	stomach	-ula-tapa
4.461	intestines, guts	isitʸa-pi
4.462	waist	-tapu
4.463	hip	-hapa-tɨwɨ
4.464	buttocks	-punu-tɨpe
4.47	womb	-c̷itʸu
4.49	testicle	-kũyũ-tɨ
4.492	penis	-tɨ
4.51	breathe, breath	-ĩ'wĩ
4.52	yawn, gape	apuha
4.521	hiccough	
4.53	cough	a-tulukĩ-sa
4.54	sneeze	ẽec̷ĩhã
4.55	perspire	uc̷atai
4.56	spit	esĩyũ
4.57	vomit	sitʸeke
4.58	bite	taluka
4.59	lick	u-nei-tʸa
4.591	dribble	-ɣa-numa
4.61	sleep	hɨmaka
4.612	snore	ka-tarã-ka
4.62	dream	k-isẽpũ
4.63	wake up	kutɨ
4.64	break wind	elekisa
4.65	urinate	eyuka
4.66	defecate	aaka; hekeweke
4.67	have sexual intercourse	ãitʸa-waka
4.68	shiver	amɨn-
4.69	bathe	akakapa
4.71	beget (of father)	a-ka-tãi-c̷a
4.72	born (to be)	tuw-
4.73	pregnant	c̷ukuyalu
4.732	conceive	peyuka
4.74	live, living, life	kutɨ
4.75	die, dead	a-kama
4.751	drowned	epitʸ-
4.76	kill	a-k-unute-žɨ-ta
4.77	corpse	kama-
4.78	bury (the dead)	apɨta
4.79	grave, tomb	wakapɨ
4.81	strong, mighty, powerful	kala
4.82	weak	mala
4.83	well, health	awɨžɨ-c̷e-tuwa-i
4.84	sick, sickness	atai
4.841	fever	atai
4.842	goiter	
4.843	cold (catarrh)	mitʸe-'ki
4.85	wound, sore	-tala
4.852	bruise	
4.853	swelling	sanana
4.854	itch	weye
4.855	blister	-hemužuka
4.856	boil (noun)	kumic̷i
4.857	pus	kic̷itʸũ-
4.858	scar	pasira
4.86	cure, heal	awɨžɨ-ža-ta
4.87	physician	tʸanala-i-yeke-hɨ
4.88	medicine, drug	tʸanala-
4.89	poison	yuku'wa; a-yukuwa-ta
4.91	tired, weary	mala
4.912	rest	hanakat-
4.92	lazy	meyẽitʸa
4.93	bald	
4.94	lame	ma-kac̷i-
4.95	deaf	ma-tulũ-naku
4.96	mute	ma-kanati
4.97	blind	m-užutai
4.98	intoxicated	
4.99	naked, bare	ma-talã-tɨ
5.11	eat	ãitʸa
5.12	food	ula
5.121	cooked	puhamaka
5.122	raw	ɨpula
5.123	ripe	ɨ-una; ka-un-ene
5.124	green, unripe	yuma-mɨna; ɨpula
5.125	rotten	ɨhɨ; ukuwa
5.13	drink	tuuka
5.14	hunger	sitʸalu; yuma-naku
5.141	famine	sitʸalu-ki-ya-ka
5.15	thirst	kau-nei-c̷a
5.16	suck	utaka
5.18	chew	kaluluka
5.181	swallow	kũyũka
5.19	choke	esuka
5.21	cook	a-wakula-ta
5.22	boil (vb)	a-puka; apužuka
5.23	roast, fry	a-yulaka-ta; e-pehe
5.24	bake	tuma; wɨka
5.25	oven	
5.26	pot, cooking vessel	kamalu-pɨ; nukãi; makula
5.27	kettle	
5.28	pan	kamalu-pɨ; nukãi; makula
5.31	dish	makula-tãi
5.32	plate	makula-tãi; [paratu]
5.33	bowl	makula; hakanai
5.34	pitcher, jug	mehetẽi
5.35	cup, drinking vessel	usitʸu-pɨ; pic̷a-tãi
5.36	saucer	
5.37	spoon	hakanai
5.38	knife	tʸehɨ̃-tãi
5.39	fork	
5.391	tongs	a-haka-la-tɨ
5.41	meal (a)	ãitʸa-ki
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	usĩyã
5.47	sieve, strain	yewehuwa
5.48	scrape	a-malaka
5.49	stir, mix	a-siru-ta; walu-ta
5.51	bread	ule-pe
5.53	dough	
5.54	knead	a-siru-ta
5.55	meal, flour	iki
5.56	crush, grind	e-wic̷a
5.57	mill	['makina]
5.58	mortar	ana
5.59	pestle	ana-tɨ
5.61	meat	-hɨtai
5.63	sausage	
5.64	soup, broth	ka-pisa-la-'ɣa; ai-ya-'ɣa
5.65	vegetables	
5.66	bean	wažayu-tɨ; puhama
5.7	potato	
5.71	fruit	-tai
5.712	bunch	ãhãkažutɨ
5.75	fig	
5.76	grape	
5.77	nut	yuwežɨ-tɨ
5.78	olive	--
5.79	oil	maku-'wi
5.791	grease, fat	-maku
5.81	salt	ɨhɨwɨ
5.82	pepper	ai; katamu-tɨ
5.821	chili pepper	ai-pi-yu'na
5.84	honey	mapa
5.85	sugar	
5.86	milk (noun)	sĩyã
5.87	milk (vb)	
5.88	cheese	
5.89	butter	
5.9	beverage, drink	-usitʸu
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	
5.97	egg	iic̷ai
5.971	egg yolk	
6.11	put on (clothes)	
6.12	clothing, clothes	-nai
6.13	tailor	nai-yeke-hɨ
6.21	cloth	makã
6.22	wool	[a'lã]
6.23	linen, flax	
6.24	cotton	ayu-pe
6.25	silk	--
6.27	felt	--
6.28	fur	-mapɨ
6.29	leather	-mai
6.31	spin	ĩyã
6.32	spindle	kuwa-pi-tʸatɨ
6.33	weave	huka
6.34	loom	huka-paa-katɨ
6.35	sew	sepe
6.36	needle	yawala-wɨ
6.37	awl	pɨhɨka-'ti
6.38	thread	kunumatai; ĩyã-pi
6.39	dye	ɨ-ɣana
6.41	cloak	-petu
6.411	poncho	
6.42	woman's dress	
6.43	coat	
6.44	shirt	-nai
6.45	collar	-neec̷e
6.46	skirt	pi'si
6.461	grass-skirt	pi'si
6.48	trousers	-putɨ
6.49	stocking, sock	
6.51	shoe	
6.52	boot	
6.54	shoemaker, cobbler	
6.55	hat, cap	tɨwɨ-nai
6.57	belt, girdle	-wãtã
6.58	glove	--
6.59	veil	--
6.61	pocket	-hɨ̃ɨ-tapa
6.62	button	
6.63	pin	yawala-wɨ
6.71	ornament, adornment	
6.72	jewel	
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	-neec̷e
6.76	bead	yulatɨžu
6.77	earring	-tulũ-tɨ
6.78	headband, headdress	-haa-tɨwɨ; -tɨwɨ-nai
6.79	tattoo	-sitʸulã
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	palata
6.92	brush	
6.921	braid	mata-matã
6.93	razor	mažupa
6.94	ointment	ulutaki; pususu'ka
6.95	soap	yama'ka; kuyeku
6.96	mirror	unɨ
7.11	dwell, live	tauna
7.12	house	pãi; ɨ-pɨ-na
7.13	hut	mehẽhẽ
7.131	garden-house	ɨnukala
7.14	tent	-pɨ-na-taka
7.15	yard, court	wene-ku-taku
7.16	men's house	kuwakuhɨ
7.17	cookhouse	
7.18	meeting house	kuwakuhɨ
7.21	room	isepi
7.22	door, gate	ku'nu
7.221	doorpost, jamb	pãi-tʸanati-c̷a-tɨ
7.23	lock (noun)	kunu-'ti
7.231	latch, door-bolt	kunu-'ti
7.24	key	[žawi]
7.25	window	wɨhɨka-ti-yãku
7.26	floor	witʸa-taku
7.27	wall	pãa-c̷u-wi; se'pu
7.31	fireplace	ic̷ei-yẽpe
7.32	stove	
7.33	chimney	
7.37	ladder	mapi'ya
7.42	bed	[kama]; amaka
7.421	pillow	
7.422	blanket	petu
7.43	chair	se'pi; pulu-tapa
7.44	table	ke'ye; ata-ka
7.45	lamp, torch	yukakapa'na
7.46	candle	ic̷ei
7.47	shelf	ke'ye; ata-ka
7.48	trough	ata-kana; tau-kana
7.51	roof	ažata; pãi-c̷apa
7.52	thatch	ažata; ikic̷i
7.53	ridgepole	-epu-taku-wa-tɨ
7.54	rafter	waya'ti; ɨ-taku-tɨ
7.55	beam	kuluma
7.56	post, pole	ata-tɨ; pãi-tʸa'ti
7.57	board	ata-ka
7.58	arch	
7.61	mason	
7.62	brick	
7.63	mortar	
7.64	adobe	kehɨ-tɨ
8.11	farmer	
8.12	field (for cultivation)	-petežɨ
8.13	garden	-petežɨ
8.15	cultivate, till	pahaka
8.16	fence	aža-tapi
8.17	ditch	tapa-naku
8.21	plow	
8.212	furrow	
8.22	dig	atɨka
8.23	spade	tunuwãi
8.24	shovel	tunuwãi
8.25	hoe	tunuwãi
8.26	fork	-mewe
8.27	rake	palata
8.31	sow	a-pana
8.311	seed	-tɨ; -pana-tɨ
8.32	mow, reap	hɨkɨ-ta; wisuka; pisitʸa
