entry_id	trans_english	Pilagá_Phonemic
1.1	world	ʔa'lewa
1.21	earth, land	ʔa'lewa
1.212	earth=ground, soil	ʔa'lewa
1.213	dust	ʔe'naa-yaʁa
1.214	mud	senal
1.215	sand	pogaʁanaʁa
1.22	mountain, hill	ḳasoʁonaʁa
1.222	cliff, precipice	komad-'aʁa
1.23	plain, field	'nʔonaʁa
1.24	valley	kʔam-ege
1.25	island	nepe; ʔa'lew-ole-k
1.26	mainland	
1.27	shore	l-oʁo-ge
1.28	cave	l-awak
1.31	water	noʁop
1.32	sea	waʁai
1.322	calm (of sea)	n-'to-či-iɲi
1.323	rough (of sea)	
1.324	foam	l-ʔalii
1.329	ocean	waʁai
1.33	lake	pe'rona
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	le-'paʁa
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	'ɲači
1.362	whirlpool	l-ʔi'yilaʁa-so
1.37	spring, well	l-'opiʔ-yaʁaki
1.38	swamp	lačiiyi
1.39	waterfall	
1.41	woods, forest	wiaḳ
1.42	tree (cf 08.600)	hadaʔ ʔepaḳ ~ hadaʔ ʔipaḳ
1.43	wood	naʔ ʔipaḳ; diʔ ʔepaḳ
1.44	stone, rock	ḳaʔ
1.45	earthquake	n-ʔiki-aʁa
1.51	sky	piyem
1.52	sun	hasoʔ kʔaten-a
1.53	moon	ɲiʔ ʔa'woʁoik
1.54	star	'waḳč-iɲi
1.55	lightning	n-ʔed-'aʁa
1.56	thunder	n-alim-'aʁa
1.57	lightning (as striking)	ḳasoʁonaʁa
1.58	storm	nawomaʁa; l-ayat 'tʔa-daik
1.59	rainbow	wosak
1.61	light (noun)	yʔo'ḳo-či-iɲi; yʔoḳo-te-'lege
1.62	darkness	'n-ʔal-aʁa
1.63	shade, shadow	paḳal
1.64	dew	haʔya
1.71	air	l-ayat
1.72	wind	l-ayat
1.73	cloud	'l-oʔok
1.74	fog	siʔwi
1.75	rain (noun)	'wetep
1.76	snow (noun)	loɲi
1.77	ice	loɲi
1.78	weather	
1.81	fire	'd-oleʔ
1.82	flame (noun)	l-awaḳ
1.83	smoke (noun)	ne-'malaʔ
1.84	ashes	'halo
1.841	embers	poḳo
1.851	burn (vb trans)	y-a'wiy-aʁat
1.852	burn (vb intrans)	y-awik
1.86	light, kindle, ignite	yi-kʔoi
1.861	extinguish	y-alamat
1.87	match (noun)	wok-a-'lege
1.88	firewood	'd-oleʔ l-asek
1.89	charcoal	poḳo
2.1	person, human being	siy-aʁawa
2.21	man (vs. woman)	'leʔem
2.22	woman	yawo
2.23	male	'leʔem
2.24	female	yawo
2.25	boy	noot-ole-k
2.251	young man (adolescent)	nesoḳ-ole-k
2.26	girl	noot-ole
2.261	young woman (adolescent)	ʔaɲ-ole ~ ḳʔaɲ-ole
2.27	child	noot-ole-k; noot-ole
2.28	infant, baby	nʔas-ole-k; nʔas-ole
2.31	husband	l-owa
2.32	wife	l-owa
2.33	marry	'w-oʔon
2.34	marriage, wedding	l-ʔon-'aʁak
2.341	divorce	
2.35	father	le-tʔa
2.36	mother	l-atʔe
2.37	parents	le-tʔa-l
2.38	married man	
2.39	married woman	
2.41	son	le-'kʔo-ʁot
2.42	daughter	le-kʔo-ḳte
2.43	offspring (son or daughter)	le-kʔo-ḳte-pi; le-'kʔo-ḳoʔte-pi
2.44	brother	l-a'ḳaya
2.444	older brother	l-ačoʔḳ-ole-k
2.445	younger brother	l-anoḳ-ole-k
2.45	sister	l-a'ḳaya
2.454	older sister	l-apiloʔo-le
2.455	younger sister	l-anʔo-le
2.456	sibling	l-a'ḳaya
2.458	twins	ne-wa'di-aʁa-ʔ-w
2.46	grandfather	l-a'penaʔ
2.461	old man	y-ʔaʁaik
2.47	grandmother	le-kote; le-ko'menaʔ
2.471	old woman	y-ʔa'ʁainaʔ
2.48	grandson	la-wal
2.49	granddaughter	la-wal
2.51	uncle	ne-te'soḳoʔ
2.511	mother's brother	ne-te'soḳoʔ
2.512	father's brother	ne-te'soḳoʔ
2.52	aunt	l-a'sodo
2.521	mother's sister	l-a'sodo
2.522	father's sister	l-a'sodo
2.53	nephew	l-aʔyole-k
2.54	niece	l-aʔyole
2.55	cousin	l-a'ḳaya
2.56	ancestors	l-api'di-lpi
2.57	descendants	l-aʔyolḳapi
2.61	father-in-law (of a man)	l-iʔyodo
2.611	father-in-law (of a woman)	l-iʔyodo
2.62	mother-in-law (of a man)	l-iʔyodo
2.621	mother-in-law (of a woman)	l-iʔyodo
2.63	son-in-law (of a man)	l-ʔon-'aʁan-ek
2.631	son-in-law (of a woman)	l-ʔon-'aʁan-ek
2.64	daughter-in-law (of a man)	l-ate
2.641	daughter-in-law (of a woman)	l-ate
2.71	stepfather	l-asoʁowa
2.72	stepmother	l-asoʁowa
2.73	stepson	l-asoʁowa
2.74	stepdaughter	l-asoʁowa
2.75	orphan	sa'pelo-ḳ; sa'peʔlo
2.76	widow	pʔai-∅
2.77	widower	pʔai-k
2.81	relatives, kinsmen	'l-aʔak
2.82	family	l-ʔemee-l-ase
2.91	I	hayim
2.92	you (singular)	ʔam
2.93	he/she/it	-ʔme
2.94	we	ḳoʔmi
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	ʔami
2.96	they	-ʔme
3.11	animal	'siiyak
3.12	male (adj)	'leʔem
3.13	female (adj)	yawo
3.15	livestock	la-lo
3.16	pasture	ʔawaḳa-pi
3.18	herdsman	[waka] 'l-oʔo
3.19	stable, stall	[waka] l-aiʔt
3.2	cattle (bovine)	[waka]-pi
3.21	bull	[waka] 'leʔem
3.22	ox	ɲiiʔ-'l-ola
3.23	cow	[waka] yawo
3.24	calf	[waka] 'kʔo-ʁot
3.25	sheep	nʔaanaʁate
3.26	ram	peenaḳ
3.28	ewe	nʔaanaʁate yawo
3.29	lamb	nʔaanaʁate 'kʔo-ʁot
3.32	boar	kooči 'leʔem
3.34	sow	kooči yawo
3.35	pig	kooči
3.36	goat	'ketaḳ
3.37	he-goat	'ketaḳ lowaʔ
3.38	kid	'ketaḳ 'kʔo-ʁot
3.41	horse (equine)	pegaḳ
3.42	stallion	pegaḳ lo'wad-aik
3.44	mare	ha-ɲiʔ pegaḳ yawo
3.45	foal, colt	pegaḳ 'kʔo-ʁot
3.46	ass, donkey	['ʔasena]
3.47	mule	['mola]
3.5	fowl	
3.52	cock, rooster	∅-ɲiʔ ʔo'legaʁa
3.54	hen	ha-ɲiʔ ʔo'legaʁa
3.55	chicken	ʔo'legaʁa
3.56	goose	
3.57	duck	
3.58	nest	le-pataʔh
3.581	bird	'mayoʔ
3.582	seagull	
3.583	heron	
3.584	eagle	
3.585	hawk	
3.586	vulture	pohe
3.591	bat	laik
3.592	parrot	ʔeleʔ
3.593	crow	
3.594	dove	doḳotoʔ
3.596	owl	
3.61	dog	pioḳ
3.614	rabbit	ledema; nesʔ'oʁonaḳ
3.62	cat	miča
3.622	opossum	ʔal-ole-k
3.63	mouse, rat	'čigoʁonaʁa
3.65	fish	'niyaḳ
3.652	fin (dorsal)	'l-oidi-se
3.653	fishscale	li-yo
3.654	gill	l-oḳost-e
3.655	shell	l-'oʔok
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	kataik
