entry_id	trans_english	Polci_Phonemic
1.1	world	atl kwaŋ
1.21	earth, land	atl
1.212	earth=ground, soil	atl
1.213	dust	ruŋ
1.214	mud	ndwap
1.215	sand	nyaasən
1.22	mountain, hill	goŋ; ɓyaŋ; ɗee
1.222	cliff, precipice	--
1.23	plain, field	daasə
1.24	valley	luut
1.25	island	--
1.26	mainland	--
1.27	shore	bə sal
1.28	cave	koroŋ; koroŋ tat; koroŋ pət
1.31	water	maa
1.32	sea	tapga maa
1.322	calm (of sea)	yətər raŋ
1.323	rough (of sea)	--
1.324	foam	--
1.329	ocean	--
1.33	lake	tapga
1.34	gulf, bay	--
1.341	lagoon	--
1.342	reef	--
1.343	headland, point	--
1.35	wave	--
1.352	tide	--
1.353	lowtide	--
1.354	hightide	--
1.36	river, stream, brook	sal; ɗwaarə
1.362	whirlpool	--
1.37	spring, well	googa
1.38	swamp	luut
1.39	waterfall	--
1.41	woods, forest	zəŋəm
1.42	tree (cf 08.600)	pət
1.43	wood	nyansə
1.44	stone, rock	tat
1.45	earthquake	atl dəŋəl
1.51	sky	leyam
1.52	sun	piɗii
1.53	moon	car
1.54	star	taŋətlə
1.55	lightning	vancibi
1.56	thunder	bədlaa gaam
1.57	lightning (as striking)	vancibi
1.58	storm	van te yətər
1.59	rainbow	dlantukure
1.61	light (noun)	wuutu
1.62	darkness	dzughən
1.63	shade, shadow	gwoŋsə
1.64	dew	səsər
1.71	air	yatər
1.72	wind	yatər
1.73	cloud	gajimaare; shaar leyam; zunzuuru
1.74	fog	ɓwandi
1.75	rain (noun)	van
1.76	snow (noun)	--
1.77	ice	--
1.78	weather	--
1.81	fire	wuutu
1.82	flame (noun)	nyatl uutu
1.83	smoke (noun)	kələm
1.84	ashes	geedlə
1.841	embers	gəsəŋ wuutu
1.851	burn (vb trans)	bak
1.852	burn (vb intrans)	cirəp
1.86	light, kindle, ignite	fat
1.861	extinguish	mbis
1.87	match (noun)	[ashaana]; kərəɓə
1.88	firewood	nyansə
1.89	charcoal	ndughən
2.1	person, human being	mbaam
2.21	man (vs. woman)	mani
2.22	woman	ger
2.23	male	mani
2.24	female	ger
2.25	boy	miir
2.251	young man (adolescent)	wun kon
2.26	girl	mii gwe
2.261	young woman (adolescent)	wun gwe
2.27	child	miir
2.28	infant, baby	wumbarto
2.31	husband	baa keen
2.32	wife	[uwargida]
2.33	marry	kap ger
2.34	marriage, wedding	kaptə
2.341	divorce	ŋgartə
2.35	father	baa
2.36	mother	dee
2.37	parents	mərgən
2.38	married man	--
2.39	married woman	uwargida
2.41	son	wun
2.42	daughter	wun gwe
