entry_id	trans_english	Yuwana_Phonemic
1.1	world	ʰkʸo
1.21	earth, land	ʰkʸo
1.212	earth=ground, soil	ʰlẽi
1.213	dust	ʰlẽi
1.214	mud	ʰleʰte
1.215	sand	ʰkabaʰyu
1.22	mountain, hill	ilẽwã
1.222	cliff, precipice	
1.23	plain, field	bẽi
1.24	valley	ilẽwã ʰkɨke
1.25	island	heto ʰwɨ kalatelã
1.26	mainland	
1.27	shore	heto aʰkulẽ
1.28	cave	ilẽwã ʰlaikɨ
1.31	water	au
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	heto huluwaka
1.324	foam	heto ʰkolo
1.329	ocean	
1.33	lake	bãbo
1.34	gulf, bay	
1.341	lagoon	bãbo
1.342	reef	
1.343	headland, point	
1.35	wave	heto huluwaka
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	heto
1.362	whirlpool	heto hulaheikɨ
1.37	spring, well	ʰlẽi-ʰkʷa helou
1.38	swamp	ʰleʰte-ʰta
1.39	waterfall	heto ʰlaho
1.41	woods, forest	'yelito
1.42	tree (cf 08.600)	ʰtawɨ
1.43	wood	ʰtawɨ
1.44	stone, rock	iʰto
1.45	earthquake	ʰlẽi ʰkeʰkekɨtehai
1.51	sky	ʰkʸo
1.52	sun	ʰtilẽwã
1.53	moon	abĩyẽ
1.54	star	atetɨhã
1.55	lightning	ʰkʸo ai bule wetehai
1.56	thunder	ʰkʸo ai hobe tehai
1.57	lightning (as striking)	ʰkʸo ai ʰkãlĩtiyu
1.58	storm	uli oibu'e
1.59	rainbow	yẽtohã
1.61	light (noun)	ʰkʸato
1.62	darkness	ʰtiʰkʷeʰto
1.63	shade, shadow	ʰkʸo ʰkʷoili
1.64	dew	atetɨ tɨli
1.71	air	ʰkʸo
1.72	wind	ʰkʸo
1.73	cloud	bĩʰtu
1.74	fog	bĩʰtu
1.75	rain (noun)	o
1.76	snow (noun)	
1.77	ice	ikʸeka au
1.78	weather	
1.81	fire	ʰkule
1.82	flame (noun)	ʰkule heʰla
1.83	smoke (noun)	ʰkule bĩʰtu
1.84	ashes	ilẽho
1.841	embers	ãhõ
1.851	burn (vb trans)	ʰka ʰtɨlɨ
1.852	burn (vb intrans)	ʰtɨlɨ
1.86	light, kindle, ignite	butitɨ
1.861	extinguish	lõwai'ĩ
1.87	match (noun)	ʰkule bo
1.88	firewood	ʰkule bo
1.89	charcoal	ãhõ
2.1	person, human being	ho
2.21	man (vs. woman)	bãli
2.22	woman	ãu
2.23	male	bãli
2.24	female	ãu
2.25	boy	hãli hã
2.251	young man (adolescent)	bai hã
2.26	girl	hãli hayu
2.261	young woman (adolescent)	bai hau
2.27	child	hãli hã
2.28	infant, baby	ʰtiʰtuhã
2.31	husband	bãli
2.32	wife	hayu; ʰlu
2.33	marry	hayu-ʰka bai
2.34	marriage, wedding	
2.341	divorce	haulɨ̃ lɨ̃ye te ka-bai
2.35	father	ʰlai; ai
2.36	mother	abã
2.37	parents	aĩbõ
2.38	married man	bãli
2.39	married woman	ãũ
2.41	son	ilĩ
2.42	daughter	hayu
2.43	offspring (son or daughter)	ilĩbõ
2.44	brother	abãʰlõ
2.444	older brother	ʰlẽ
2.445	younger brother	hãyẽ
2.45	sister	abalou
2.454	older sister	ʰlu
2.455	younger sister	hãli hayu
2.456	sibling	abãʰlõ
2.458	twins	
2.46	grandfather	ʰlai
2.461	old man	uli ʰtawo
2.47	grandmother	abã; ʰwoiʰlo
2.471	old woman	ʰwoiʰlo
2.48	grandson	ilĩ ilĩ
2.49	granddaughter	ilĩ ilĩ
2.51	uncle	ʰlai
2.511	mother's brother	
2.512	father's brother	ʰlai
2.52	aunt	abã
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	
2.54	niece	
2.55	cousin	
2.56	ancestors	ʰye baite hatɨ
2.57	descendants	
2.61	father-in-law (of a man)	
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	lãwɨ̃
2.74	stepdaughter	
2.75	orphan	'aibõ'telãbãhã
