entry_id	trans_english	Marquesan_Phonemic
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	paáoa
3.664	stingray	
3.665	freshwater eel	e puhi; e kueé
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	
3.75	deer	
3.76	monkey	
3.77	elephant	
3.78	camel	[kamero]
3.81	insect	
3.811	louse	
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	veí
3.815	scorpion	
3.816	cockroach	e popotu; e kokaha; koekoe e úa
3.817	ant	
3.818	spider	e punaveéveé
3.819	spider web	e fataá punaveéveé
3.82	bee	tikaué áma; e tikaué tai manini
3.821	beeswax	áma tikaué
3.822	beehive	
3.823	wasp	
3.83	fly	
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	
3.85	snake	
3.91	firefly	
3.92	butterfly	
3.93	grasshopper	
3.94	snail	
3.95	frog	
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	tino; nino; koói
4.12	skin, hide	kií
4.13	flesh	kiko
4.14	hair (head)	ouoho
4.142	beard	úmiúmi; kumikumi
4.144	body hair	
4.145	pubic hair	
4.146	dandruff	
4.15	blood	toto
4.151	vein, artery	e uáuá; e uáuá-veákiki
4.16	bone	ivi
4.162	rib	vaávaá; vakavaka
4.17	horn	niho; keo
4.18	tail	veó; veó poto; veó óa
4.19	back	tua
4.191	spine	pou; átina; tuútuú
4.2	head	upoó
4.201	side of head, temple	taá mata
4.202	skull	ipu óho; úú
4.203	brain	ipu óó; óó; roro; e ihu tono
4.204	face	mata
4.205	forehead	áe
4.207	jaw	kouvae; kouvae úka; kouvae áó
4.208	cheek	papaína; papaíka
4.209	chin	kouvae
4.21	eye	mata; kikomata
4.212	eyebrow	tukemata (tuémata)
4.213	eyelid	kiímata; kií a mata; kahu mata
4.214	eyelash	huúhuú mata; huú mata
4.215	blink	uhi í te mata; e feíí í te mata; e mata feriri; e mata ninia
4.22	ear	puaika
4.221	earlobe	
4.222	earwax	haá taítaí
4.23	nose	ihu
4.231	nostril	mokamoka ihu
4.232	mucus (nasal)	kope; kaka; kaáka
4.24	mouth	fafa ~ haha
4.241	beak	e kiínutu (e kiíkutu)
4.25	lip	kiínutu; íínutu; kiíkutu
4.26	tongue	éó; aéó
4.27	tooth	niho
4.271	gums	paá niho
4.272	molartooth	niho pona
4.28	neck	kaki; áí; tumu kaki
4.281	nape of neck	honona
4.29	throat	kaki; katiehe
4.3	shoulder	paufifi (pauhihi)
4.301	shoulderblade	ivi pauhihi; tahií ííma
4.302	collarbone	teka paufifi
4.31	arm	ííma; e koóí ííma; e kakano ííma
4.312	armpit	e kaáke; e úa kaáke
4.32	elbow	tuke ííma
4.321	wrist	óhuma
4.33	hand	íma
4.331	palm of hand	tohua ííma; ahuoneo; aohaka ííma
4.34	finger	manamana ííma
4.342	thumb	makamaka nui (makamaka pona)
4.344	fingernail	maikuku
4.345	claw	maiúú; maikuku; matiúú
4.35	leg	vae; vaevae
4.351	thigh	puha
4.352	calf of leg	hiku vaevae; huehue vaevae
4.36	knee	muó
4.37	foot	vae; vaevae
4.371	ankle	paoka; e mea paoka; e patia; puó vaevae
4.372	heel	tuke vae
4.374	footprint	hakatu; ata
4.38	toe	makamaka vaevae
4.392	wing	e pekeheu; e keheu; e peheu
4.393	feather	huú
4.4	chest	umauma; uma
4.41	breast (of woman)	umauma; uma; u; koekoe; kopu
4.412	nipple, teat	mata; u
4.42	udder	hue vaiu
4.43	navel	pito
4.44	heart	e houpo; úa ú te houpo
4.441	lung	ate pua
4.45	liver	ate
4.451	kidney	vií tua
4.452	spleen	ate; ate mama
4.46	stomach	ópu; kopu
4.461	intestines, guts	koekoe
4.462	waist	mata; koói
4.463	hip	teka; hopuhopu; tipitipi
4.464	buttocks	papa hohope; papa titohe; hope
4.47	womb	tumu
4.49	testicle	komai (ómai)
4.492	penis	
4.51	breathe, breath	ao; ea te menava; puhi te ao
4.52	yawn, gape	
4.521	hiccough	neo
4.53	cough	hekei; hapu (fenei)
4.54	sneeze	tihe
4.55	perspire	moahua; tokohana
4.56	spit	tufa í te anuanu; tuha í te anuanu
4.57	vomit	úá
4.58	bite	kakahu
4.59	lick	miti; hoói me te éó
4.591	dribble	e kae; e kae nui; e tahe te kae
4.61	sleep	hiamoe
4.612	snore	haátaki te ihu
4.62	dream	moe; moemoea
4.63	wake up	hakaá; hakavaá
4.64	break wind	hu
4.65	urinate	mimi
4.66	defecate	haá taítaí; haá hoata
4.67	have sexual intercourse	
4.68	shiver	kiíéte; emieé
4.69	bathe	e haka-uku í óto he vai
4.71	beget (of father)	fanau
4.72	born (to be)	hanau; tihe í vaho; koekoe meitaí
4.73	pregnant	ópu tama
4.732	conceive	tupu; kokie
4.74	live, living, life	pohué (pohoé)
4.75	die, dead	mate
4.751	drowned	kaó tai; kaó io he tai
4.76	kill	haámate; kukumi; pehi; tinai
4.77	corpse	tupapaú (e tupapaku) e iviivi
4.78	bury (the dead)	tomi io he épo
4.79	grave, tomb	ana tupapaku
4.81	strong, mighty, powerful	oko; toa
4.82	weak	pepeé; ííkoé; pepaé
4.83	well, health	pohué (pohoé)
4.84	sick, sickness	hopi; mate
4.841	fever	hautete; kamaíí; veáveá
4.842	goiter	kaki uúa; kaki huhua
4.843	cold (catarrh)	fenei (e henei); e hapu
4.85	wound, sore	e tu; e tutina; e maki
4.852	bruise	moho; koka; me he au atu
4.853	swelling	e uto; e puú; e tua uto; e uma puú
4.854	itch	pueva; meneo; epa; pihanahana
4.855	blister	e koópu; e mitaá
4.856	boil (noun)	fefe (kohe; toópuku; hopetue)
4.857	pus	piáu; mea piáu
4.858	scar	maki oá
4.86	cure, heal	oá; haá oá; haá koé te mate
4.87	physician	tatihi; taute
4.88	medicine, drug	haika; hainu
4.89	poison	mea tekeo; mea mate
4.91	tired, weary	tono (toko); paópaó; nano
4.912	rest	haka moe iho; tuku hakaúa
4.92	lazy	haátekao
4.93	bald	ohopekia; ohopitaka
4.94	lame	vae koki; tipikoki; timoe
4.95	deaf	putuí; puaika pivo
4.96	mute	moha
4.97	blind	matapo
4.98	intoxicated	koeá; kona
4.99	naked, bare	áí; aámakaka
5.11	eat	kai; oá; mea e kai
5.12	food	oá; mea e kai; e kai
5.121	cooked	
5.122	raw	
5.123	ripe	
5.124	green, unripe	
5.125	rotten	piáu
5.13	drink	inu
5.14	hunger	one (e oke)
5.141	famine	
5.15	thirst	maó í te vai; e mao
5.16	suck	
5.18	chew	tapií me te épau
5.181	swallow	e hoópuú; e mitihuú; e mitipuú; e mitihoó; e hoóniko
5.19	choke	haá naénaé (e haá kaekae); kukumi; úúmi
5.21	cook	nunu
5.22	boil (vb)	pupuhi
5.23	roast, fry	tao; e nunu
5.24	bake	tunu
5.25	oven	umu
5.26	pot, cooking vessel	[kaheroli; kaheroni]
5.27	kettle	e hue tunuvai (e hue nunu vai)
5.28	pan	
5.31	dish	koóka; papa
5.32	plate	e papa (e tahaha)
5.33	bowl	e ipu; e hue
5.34	pitcher, jug	
5.35	cup, drinking vessel	pué
5.36	saucer	
5.37	spoon	miti; ápu; kapu
5.38	knife	
5.39	fork	
5.391	tongs	punaku
5.41	meal (a)	kai; e kai ia; kaikai
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	íhi; vaú; unu tikaka
5.47	sieve, strain	e haá papua
5.48	scrape	feú
5.49	stir, mix	kavohi; kavai
5.51	bread	
