entry_id	trans_english	Russian_Phonemic
3.817	ant	muravej
3.818	spider	pauk
3.819	spider web	pautina
3.82	bee	pčela
3.821	beeswax	vosk
3.822	beehive	ulej
3.823	wasp	osa
3.83	fly	muxa
3.831	sandfly (midge), gnat	moška; komar
3.832	mosquito	moskit; komar
3.84	worm	červ
3.85	snake	zmeja (už)
3.91	firefly	svetljak
3.92	butterfly	babočka
3.93	grasshopper	saranča; kuznečik
3.94	snail	ulitka
3.95	frog	ljaguška
3.96	lizard	jaščerica
3.97	crocodile, alligator	krokodil
3.98	turtle	čerepaxa
4.11	body	telo
4.12	skin, hide	koža; škura
4.13	flesh	(mjaso) telo
4.14	hair (head)	volosy
4.142	beard	boroda
4.144	body hair	volosy na tele
4.145	pubic hair	
4.146	dandruff	perxot
4.15	blood	krov
4.151	vein, artery	vena; arterija
4.16	bone	kost
4.162	rib	rebro
4.17	horn	rog
4.18	tail	xvost
4.19	back	spina
4.191	spine	spinnoj xrebet
4.2	head	golova
4.201	side of head, temple	visok
4.202	skull	čerep
4.203	brain	mozg
4.204	face	lico
4.205	forehead	lob (čelo)
4.207	jaw	čeljust
4.208	cheek	ščeka
4.209	chin	podborodok
4.21	eye	glaz
4.212	eyebrow	brov
4.213	eyelid	veko
4.214	eyelash	resnica
4.215	blink	migat
4.22	ear	uxo
4.221	earlobe	močka uxa
4.222	earwax	ušnaja sera
4.23	nose	nos
4.231	nostril	nozdrja
4.232	mucus (nasal)	sliz
4.24	mouth	rot
4.241	beak	kljuv
4.25	lip	guba
4.26	tongue	jazyk
4.27	tooth	zub
4.271	gums	desna
4.272	molartooth	korennoj zub
4.28	neck	šeja
4.281	nape of neck	atylok
4.29	throat	gorlo
4.3	shoulder	plečo
4.301	shoulderblade	lopatka
4.302	collarbone	ključica
4.31	arm	ruka
4.312	armpit	podmyška
4.32	elbow	lokot
4.321	wrist	zapjast ́je
4.33	hand	ruka
4.331	palm of hand	ladon
4.34	finger	palec (perst)
4.342	thumb	bol ́šoj palec
4.344	fingernail	nogot
4.345	claw	kogot
4.35	leg	noga
4.351	thigh	bedro
4.352	calf of leg	ikra
4.36	knee	koleno
4.37	foot	noga
4.371	ankle	lodyžka
4.372	heel	pjatka
4.374	footprint	sled
4.38	toe	palec (na noge)
4.392	wing	krylo
4.393	feather	pero
4.4	chest	grud
4.41	breast (of woman)	grud
4.412	nipple, teat	sosok
4.42	udder	vymja
4.43	navel	pupok
4.44	heart	serdce
4.441	lung	lëgkoe
4.45	liver	pečenka; pečen
4.451	kidney	počka
4.452	spleen	selezënka
4.46	stomach	brjuxo; život; želudok
4.461	intestines, guts	kiški
4.462	waist	talija
4.463	hip	bedro; pojasn ́ica
4.464	buttocks	jagodicy
4.47	womb	matka
