entry_id	trans_english	Russian_Phonemic
14.22	slow	medlennyj
14.23	hasten, hurry	toropit ́sja; spešit
14.24	retard, delay	medlit ́; meškat
14.25	begin, beginning	načat ́; načalo
14.252	last, endure	dlit ́sja
14.26	end (temporal)	konec
14.27	finish	(o-)končit ́; doveršit ́
14.28	cease, stop	perestat
14.29	ready	gotovyj
14.31	always	vsegda
14.32	often	často
14.33	sometimes	inogda
14.331	soon	skoro
14.332	long-time (for a)	dolgo
14.34	never	nikogda
14.35	again	opjat ́; eščë raz
14.41	day	den
14.42	night	noč
14.43	dawn	rassvet
14.44	morning	utro
14.45	noon, midday	polden
14.451	afternoon	den
14.46	evening	večer
14.47	today	segodnja
14.48	tomorrow	zavtra
14.481	day-after-tomorrow	poslezavtra
14.49	yesterday	včera
14.491	day-before-yesterday	tretjego dnja; dva dnja nazad
14.51	hour	čas
14.53	clock, timepiece	časy
14.61	week	nedelja
14.62	Sunday	voskresen ́je
14.63	Monday	ponedel ́nik
14.64	Tuesday	vtornik
14.65	Wednesday	sreda
14.66	Thursday	četverg
14.67	Friday	pjatnica
14.68	Saturday	subbota
14.71	month	mesjac
14.73	year	god
14.74	winter	zima
14.75	spring	vesna
14.76	summer	leto
14.77	autumn	osen
14.78	season	vremja goda
15.21	smell (vb intrans)	paxnut
15.212	sniff	njuxat
15.22	smell (vb trans)	cǔvstvorat ́ zapax
15.25	fragrant, good smelling	dušistyj; blagovonnyj
15.26	stinking, bad smelling	vonjučij; smradnyj
15.31	taste	probovat ́ (na v kus)
15.35	sweet	sladkij
15.36	salty	solënyj
15.37	bitter	gor ́kij
15.38	acid, sour	kislyj
15.39	brackish	solonovatyj
15.41	hear	slyšat
15.42	listen	slušat
15.44	sound, noise	zvuk
15.45	loud	gromkij
15.46	quiet, silence	tixij; molčanie
15.51	see	videt
15.52	look, look at	smotret ́; gljadet
15.55	show	pokazat ́; ukazat
15.56	shine	svetit ́ sja; blistat ́; sjat ́; svetet
15.57	bright	svetlyj; jarkij
15.61	color	cvet
15.62	light (in color)	svetlyj
15.63	dark (in color)	tëmnyj
15.64	white	belyj
15.65	black	čërnyj
15.66	red	krasnyj
15.67	blue	sinij; goluboj
15.68	green	zelënyj
15.69	yellow	žëltyj
15.71	touch	trogat
15.712	pinch	uščipnut
15.72	feel	ščupat ́; čuvstvovat
15.74	hard	tvërdyj (žëstkij)
15.75	soft	mjagkij
15.76	rough	grubyj
15.77	smooth	gladkij
15.78	sharp	ostryj
15.79	blunt, dull	tupoj
15.81	heavy	tjažëlyj
15.82	light (in weight)	lëgkij
15.83	wet, damp	mokryj; syroj; vlažnyj
15.84	dry	suxoj
15.85	hot	žarkij; gorjačij
15.851	warm	tëplyj
15.86	cold	xolodnyj
15.87	clean	čistyj
15.88	dirty, soiled	grjaznyj
15.89	wrinkled	morščinistyj
16.11	soul, spirit	duša; dux
16.15	surprised, astonished	udivlënnyj
16.18	good fortune, luck	sčastie
16.19	misfortune, bad luck	nesčastie
16.23	joyful, glad, happy	radostnyj; rad; vesëlyj
16.25	laugh	smejat ́sja
16.251	smile	ulybat ́sja
16.26	play	igrat
16.27	love	ljubov ́; ljubit
16.29	kiss	celovat
16.3	embrace	obnjat ́; obnimat
16.31	pain	bol ́; stradanie
16.32	grief, sorrow, sadness	gore; pečal ́; skorb
16.33	anxiety, worry	trevoga; bespokojstro; zabota
16.34	regret, be sorry	žalet ́; kajat ́sja
16.35	pity	žalost ́; sožalenie
16.37	cry, weep	plakat
16.38	tear (noun)	sleza
16.39	groan	stonat
16.41	hate	nenavist
16.42	anger	gnev
16.44	envy, jealousy	zavist ́; revnost
16.45	shame (noun)	styd, stydlivost
16.48	proud	gordyj; nadmennyj
16.51	dare	smet ́; derzat
16.52	brave	xrabryj
16.53	fear, fright	strax; bojazn
16.54	danger	opasnost
16.62	desire, want	želat ́; xotet
16.622	choose	vybrat ́; vybirat
16.63	hope	nadežda
16.65	faithful	vernyj
16.66	true	istinnyj; pravil ́nyj; vernyj
16.67	lie, tell lies	lož ́; lgat
16.68	deceit	obman
16.69	forgive	prostit
16.71	good	xorošij
16.72	bad	ploxoj; durnoj
16.73	right, correct	pravyj, pravil ́nyj
16.74	wrong	nepravil ́nyj; ošibočnyj
16.76	fault	vina
16.77	mistake, error	ošibka; zabluždenie
16.78	blame	poricanie; uprëk
16.79	praise	xvala
16.81	beautiful	krasivyj; prekrasnyj
16.82	ugly	nekrasivyj; durnoj
16.83	greedy	žadnyj
16.84	clever	xitryj; umnyj
17.11	mind	um
17.13	think (= reflect)	dumat ́; myslit
17.14	think (= be of the opinion)	dumat ́ (mnit ́)
17.15	believe	verit
17.16	understand	ponjat ́; ponimat
17.17	know	znat
17.171	guess	gadat
17.172	imitate	podražat
17.18	seem	kazat ́sja
17.19	idea, notion	ideja
17.21	wise	mudryj; umnyj
17.22	foolish, stupid	durackij; glupyj
17.23	insane, crazy	bezumnyj; sumasšedšij
17.24	learn	učit ́sja
17.242	study	učit
17.25	teach	učit
17.26	pupil	učenik
17.27	teacher	učitel
17.28	school	škola; učilišče
17.31	remember	pomnit
17.32	forget	zabyt
17.34	clear, plain	jasnyj, javnyj
17.35	obscure	nejasnyj; smutnyj
17.36	secret	tajnyj
17.37	sure, certain	vernyj
17.38	explain	ob-jasnit ́, po-jasnit
17.41	intention, purpose	namerenie
17.42	cause	pričina
17.43	doubt	somnenie; somnevat ́sja
17.44	suspect	podozrenie, podozrevat
17.441	betray	predat
17.45	need, necessity	nužda
17.46	easy	lëgkij
17.47	difficult	trudnyj
17.48	try, attempt	pytat ́sja; probovat
17.49	way, manner	obraz
17.51	and	i
17.52	because	potomu; čto
17.53	if	jesli
17.54	or	ili
17.55	yes, affirmative	da
17.56	no, negative	net
17.61	how?	kak
17.62	how many?	skol ́ko
17.63	how much?	skol ́ko
17.64	what?	čto
17.65	when?	kogda
17.66	where?	gde
17.67	which?	kakoj
17.68	who?	kto
17.69	why?	počemu
18.11	voice	golos
18.12	sing	pet
18.13	shout, cry out	kričat
18.15	whisper	šeptat
18.16	mumble	bormotat
18.17	whistle	svistat
18.18	shriek, screech	vizžat
18.19	howl	vyt
18.21	speak, talk	govorit
18.211	stutter, stammer	zaikat ́sja; zapinat ́sja
18.22	say	skazat
18.221	tell story	rasskazat
18.222	speech (make a)	proiznosit ́ reč
18.23	silent (be)	molčat
18.24	language	jazyk
18.26	word	slovo
18.28	name	imja
18.31	ask (question, inquire)	sprosit
18.32	answer	otvetit
18.33	admit, confess	priznat ́sja
18.34	deny	otricat ́; otkazat ́sja
18.35	ask, request	prosit
18.36	promise	obeščat ́; sulit
18.37	refuse	otkazat
18.38	forbid	zapretit
18.39	rebuke, scold	upreknut
18.41	call (=summon)	vyzvat ́ (zvat ́)
18.42	call (=name)	nazvat ́; nazyvat ́sja
18.43	announce	ob ́javit ́; vozvestit
18.44	threaten	grozit
18.45	boast	xvastat ́(sja)
18.51	write	pisat
18.52	read	čitat
18.56	paper	bumaga
18.57	pen	pero (avtoručka...)
18.61	book	kniga
18.67	poet	poet; (stixotvorec)
18.71	flute	flejta
18.72	drum	baraban
18.73	horn, trumpet	truba
18.74	rattle	treščotka
19.11	country	strana
19.12	one's native country	rodina; otečestvo
19.15	city, town	gorod, gorodok
19.16	village	selo; derevnja
19.17	boundary	granica (rubež)
19.21	people (populace)	narod
19.23	tribe, clan	plemja; rod
19.24	chief, chieftain	vožd
19.25	staff, walking stick	palka
19.31	rule, govern	pravit
19.32	king, ruler	korol
19.33	queen	koroleva
19.36	noble, nobleman	dvorjanin
19.37	citizen, subject	graždanin
19.41	master	xozjain (gospodin)
19.42	slave	rab; nevol ́nik
19.43	servant	sluga
19.44	freeman	svobodnyj; vol ́nyj
19.45	command, order	prikazat
19.46	obey	slušat ́sja
19.47	let, permit	pozvolit ́; razrešit
19.51	friend, companion	drug; prijatel
19.52	enemy	vrag (neprijatel ́; nedrug)
19.54	neighbor	sosed
19.55	stranger	čužoj
19.56	guest	gost
19.57	host	xozjain
19.58	help, aid	pomošč ́, pomoč
19.59	hinder, prevent	mešat ́; prepjatstvovat
19.61	custom	obyčaj; nravy
19.62	strife, quarrel	ssora; razdor; spor
19.63	conspiracy, plot	zagovor
19.65	meet	vstretit
19.72	prostitute	prostitutka; bljudnica; kurva
20.11	fight (vb)	sražat ́sja; bit ́sja; drat ́sja
20.13	war, battle	vojna; boj
20.14	peace	mir
20.15	army	armija (vojsko)
20.17	soldier	soldat
20.21	weapons, arms	oružie
20.22	club	bulava; dubyna
20.222	battle-ax	sekira
20.23	sling	prašča
20.24	bow	luk
20.25	arrow	strela
20.26	spear	kop ́jo
20.27	sword	meč; sablja
20.28	gun, cannon	ruž ́jo; puška
20.31	armor (defensive)	bronja
20.33	helmet	šlem
20.34	shield	ščit
20.35	fortress	krepost
20.36	tower	bašnja
20.41	victory	pobeda
20.42	defeat	poraženie
20.43	attack	ataka; nastuplenie
20.44	defend	oborona; zaščita
20.45	retreat	otstuplenie
20.46	surrender	sdat ́sja
20.47	captive, prisoner	plennyj (plennik)
20.471	guard, sentinel	storož
20.48	booty, spoils	dobyča
20.49	ambush	zasada
20.51	fisherman	rybak; rybolov
20.52	fishhook	(rybolovnyj) krjučok
20.53	fishing line	udilišče lesa
20.54	fishnet	set
20.55	fish trap	lovuška (dlaj ryb)
20.56	bait	primanka
20.61	hunt	oxota
20.62	shoot	streljat
20.63	miss (target)	promaxnut ́sja
20.64	trap (noun)	lovuška
20.65	trap (vb)	lovit ́ (v lovuškax)
21.11	law	pravo
21.15	court	sud
21.16	judge (vb)	sudit
21.17	judgment	prigovor
21.18	judge (noun)	sud ́ja
21.21	plaintiff	istec
21.22	defendant	otvetčik
21.23	witness	svidetel
21.24	swear	prisjagat ́; kljast ́sja
21.25	oath	kljatva; prisjaga
21.31	accuse	obvinit
21.32	condemn	osudit
21.33	convict (vb)	priznat ́ vinovnym
21.34	acquit	opravdat
21.35	guilty	vinovnyj
21.36	innocent	nevinnyj
21.37	penalty, punishment	nakazanie; kara
21.38	fine	štraf
21.39	prison, jail	tjur ́ma (temnica)
21.42	murder	ubijstvo
21.43	adultery	preljubodejanie
21.44	rape	iznasilovanie
21.46	arson	podžog
21.47	perjury	kljatvoprestuplenie; verolomstvo
21.51	steal	vorovat ́; krast
21.52	thief	vor
22.11	religion	religija; vera
22.12	God	bog
22.13	temple, church	xram; cerkov
22.14	altar	altar ́; prestol
22.15	sacrifice, offering	žertva
22.16	worship	poklonjat ́sja
22.17	pray	molit ́sja
22.18	priest	svjaščennik; pop
22.19	holy, sacred	svjatoj
22.22	preach	propovedat
22.23	bless	blagoslovit
22.24	curse	prokljast ́; proklinat
22.26	fast (vb)	postit ́sja
22.31	heaven	nebo; raj
22.32	hell	ad
22.35	demon (evil spirit)	bes
22.37	idol	idol; kumir
22.42	magic, witchcraft, sorcery	magija; čary; čarodejstvo; volšebstvo
22.43	sorcerer, witch	ved ́ma; koldun ́ja; čarodejka
22.44	fairy, elf	feja; el ́f
22.45	ghost, phantom	prividenie; prizrak
22.47	omen, portent	predznamenovanie; znak
