entry_id	trans_english	Wayampi_Phonemic
1.1	world	pɨlũŋa
1.21	earth, land	pɨlũŋa; ɨwɨ
1.212	earth=ground, soil	ɨwɨ
1.213	dust	kuʔi
1.214	mud	tuyu
1.215	sand	ɨsĩ
1.22	mountain, hill	ɨwɨ-tɨ
1.222	cliff, precipice	[palɛti]
1.23	plain, field	ɨwɨ-tamɛ
1.24	valley	ɨapɨ
1.25	island	ɨpãʔã
1.26	mainland	--
1.27	shore	palana-pɔpɨ ɨsĩŋu
1.28	cave	takulu-ikwa
1.31	water	ɨɨ
1.32	sea	palana
1.322	calm (of sea)	n-ɔ-ata-y
1.323	rough (of sea)	palawɨlɨ
1.324	foam	ɨlɨyui
1.329	ocean	palana
1.33	lake	ɨpa
1.34	gulf, bay	--
1.341	lagoon	--
1.342	reef	--
1.343	headland, point	--
1.35	wave	yaapiyapi
1.352	tide	--
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	ɨɨ; tɨãkã
1.362	whirlpool	yɛla
1.37	spring, well	tɛapɨ
1.38	swamp	ɨlɛkɔa
1.39	waterfall	ɨtu
1.41	woods, forest	kaʔa
1.42	tree (cf 08.600)	wɨla; -ʔɨ; ɨwa-
1.43	wood	wɨla
1.44	stone, rock	takulu
1.45	earthquake	ɨwɨ-kuta
1.51	sky	ɨwa
1.52	sun	kwalaɨ
1.53	moon	yaɨ
1.54	star	yaɨ-tata
1.55	lightning	wɛla
1.56	thunder	tupã
1.57	lightning (as striking)	wɛla
1.58	storm	ɨwɨtu-way
1.59	rainbow	mɔyu
1.61	light (noun)	ɨapɛa
1.62	darkness	apɛtumɨ
1.63	shade, shadow	i-luwãɨa
1.64	dew	ɨapɨ
1.71	air	kuyau
1.72	wind	ɨwɨtu
1.73	cloud	ɨwakũ
1.74	fog	atãsĩ
1.75	rain (noun)	amã
1.76	snow (noun)	--
1.77	ice	iluwã mãʔɛ̃
1.78	weather	aa
1.81	fire	tata
1.82	flame (noun)	tata
1.83	smoke (noun)	atãsĩ
1.84	ashes	tanɛmu
1.841	embers	tata-lapɨĩ
1.851	burn (vb trans)	-kay; -aapɨ
1.852	burn (vb intrans)	-ɛnɨ
1.86	light, kindle, ignite	-mɔ-ɛnɨ
1.861	extinguish	-mɔ-wɛ
