entry_id	trans_english	Li_of_Baoding_Phonemic
9.791	fan (vb)	ʔou.2
9.81	carve	hwɨ:m.1
9.82	sculptor	coŋ.3 tɨn.3 rou.1
9.83	statue	ki:t.7
9.84	chisel	cu:n.3
9.88	paint (noun)	the:k.8
9.89	paint (vb)	tɨn.3 hi.3; thi:u.3 mou.1
10.11	move	fei.1 ku:n.1
10.12	turn over	gou.2
10.13	turn around	hei.1
10.14	wind, wrap	fei.1 hjat.7 teɨ.1
10.15	roll	hwɨ:m.1 hjat.7 teɨ.1
10.16	drop (vb)	fei.1 lu:i.1 fou.1
10.17	twist	thɨ:n.1 hei, hei.1 thɨ:n.1
10.21	rise	tɨ:m.1
10.22	raise, lift	pɨ:n.1
10.23	fall	peɨ.1 lɨ:ŋ.1
10.24	drip	ba:i.1; ba:i.1 tho:ŋ.3
10.25	throw	fat́.7
10.252	catch (ball)	luń.3
10.26	shake	cɨ.2 riŋ.1
10.32	flow	hwo:n.1
10.33	sink	da:n.3
10.34	float	cɨ.2 go:m.1
10.35	swim	łu:t.7
10.351	dive	deɨ.1
10.352	splash	chi:u.3
10.36	sail (vb)	bi:k.7
10.37	fly (vb)	deŋ.3
10.38	blow	he:p.7
10.41	creep, crawl	fi:ŋ.1
10.412	kneel	cha:p.7
10.413	crouch	deɨ.1 pɨ:n.1
10.42	slide, slip	kia.3 hei.1
10.43	jump, leap	gui.3; hun.1
10.431	kick	coŋ.3; tɨ:m.3
10.44	dance	ńu:n.2
10.45	walk	ku:n.1
10.451	limp	ʔeń.2 ku:n.1
10.46	run	ki:u.1
10.47	go	chia.1
10.471	go up	pai.3 chia.1
10.472	climb	cɨ.2 lun.1 chia.1
10.473	go down	cɨ.2 zoŋ.3 lai.2
10.474	go out	va.1 loŋ.1
10.48	come	va.1 ʔeń.2
10.481	come back	bai.1
10.49	go away, depart	bai.1 ro:n.2
10.491	disappear	che:u.2 va.1
10.51	flee	ko:ŋ.1
10.52	follow	kha:n.1 pho.3
10.53	pursue	cau.2
10.55	reach, arrive	cau.2
10.56	approach	chi:u.3
10.57	enter	po:k.7
10.61	carry (bear)	roŋ.2
10.612	carry-in-hand	fo:m.1
10.613	carry-on-shoulder	ʔia.1; me:k.7; go:m.3
10.614	carry-on-head	koŋ.1
10.615	carry-underarm	tɨ:ŋ.2
10.62	bring	tut.7
10.63	send	ku.3 li:ŋ.2
10.64	lead (vb)	kiu.3
10.65	drive	vu:k.7 re:k.7
10.66	ride	vu:k.7 re:k
10.67	push, shove	koŋ.2
10.71	road	koŋ.2
10.72	path	fat́.7
10.74	bridge	phɨ:ŋ.3
10.75	carriage, wagon, cart	ci:n.1; kan.1
10.76	wheel	ŋe.1 bi.2
10.77	axle	cau.2 kan.1; ve:ŋ.1
10.78	yoke	va:t́.7
10.81	ship	ʔa:ŋ.3 koŋ.3
10.83	boat	khi:t.7
10.831	canoe	te.1
10.832	outrigger	te.1
10.84	raft	khi:m.3; hɨ:m.3
10.85	oar	ma.3
10.851	paddle (noun)	tɨ:ŋ.2 kan.1
10.852	row (vb)	ci:ŋ.1 ma:k.9
10.86	rudder	tu:i.3
10.87	mast	ku.3
10.88	sail (noun)	ke.3 vu:k.7 koŋ.1
10.89	anchor	ke:k.7
10.91	harbor, port	chat.7
10.92	land (vb)	zu:ŋ.3; gi:u.3
11.11	have	mou.2 zek.7
11.12	own, possess	ti:ŋ.2 na:ŋ.3
11.13	take	chi.2
11.14	seize, grasp	ti:ŋ.2 di:m.3
11.15	hold	ke.3
11.16	get, obtain	khɨn.1 ke.3
11.17	keep, retain	khaɨ.3 ke.3; łeń.1 ke.3
11.18	thing	kau.7; gi:m.3
11.21	give	choŋ.2
11.22	give back	dɨ.3
11.24	preserve, look after	dɨ.3
11.25	save, rescue	dɨ.3
11.27	destroy	fou.1 ma.2; fou.1 haɨ.2
11.28	harm, injure, damage	dɨ.3
11.31	seek, look for	dɨ.3
11.32	find	dɨ.3
11.33	lose	dɨ.3
11.34	release, let go	dɨ.3
11.43	money	dɨ.3
11.44	coin	kom.1
11.51	rich	cho:n.2
11.52	poor	coŋ.3
11.53	beggar	kau.2
11.54	avaricious, stingy	cu:n.1
11.61	lend	to:ŋ.3
11.62	borrow	zo:ŋ.1
11.63	owe	za.1
11.64	debt	chɨ:m.3
11.65	pay (vb)	tip.7
11.66	account, reckoning	go:p.7
11.69	tax, tribute	cip.7
11.77	hire	fan.2
11.78	wages	fan.2
11.79	earn	ʔwa.2
11.81	buy	ʔwa.2
11.82	sell	chop.7; thop.7 pom.3
11.83	trade, barter	co:p.7; fi:p.8; kɨp.7
11.84	merchant	plom.2
11.85	market (place)	ru:ŋ.1
11.86	store, shop	phe:k.7
11.87	price	thaɨ.3
11.88	dear (costly, expensive)	chut́.7 met́.7
11.89	cheap	fou.1; da:m.3
11.91	share (distribute)	cɨ.2 chut́.7; plun.2
11.92	weigh	khwet́.7
12.1	after	pe:ŋ.1
12.11	behind	fe:ŋ.1
12.2	beside	ło:ŋ.1 thom.1
12.3	down, below	dɨ.3
12.4	before	phai.3 ten.2
12.41	front	phai.3 hwi:ŋ.1
12.5	inside, in	plaɨ.3; lai.1
12.6	outside	cha.1 hwan.1 thɨ:n.1
12.7	under	cha.1 hwan.1 thok.7
12.8	up, above	phai.3 po:i.1
12.11	place	phai.3 khu:ŋ.1
12.12	put	loŋ.1
12.13	sit	lɨ:ŋ.3
12.14	lie down	hwɨp.7
12.15	stand	loŋ.1
12.16	remain, stay	ʔeń.2
12.17	remains, left overs	ta:u.3
12.21	collect, gather	phe:k.7
12.212	pick up	that.7
12.213	pile up	be:ŋ.1
12.22	join, unite	bi:p.7
12.23	separate	na.1
12.232	divide	kwa:k.9; kwa:k.9 kwa:k.9; nɨm.1
12.24	open	geɨ.1
12.25	shut, close	ło:k.7
12.26	cover	thɨn.3
12.27	hide, conceal	tho:i.1; bi:ŋ.3
12.31	high	mu:t.7
12.32	low	hwo:ŋ.2
12.33	top	kau.3
12.34	bottom	hau.1
12.35	end	phaŋ.1 pha.1
12.352	pointed	ti.2 ba:ŋ.2
12.353	edge	hwom.1; oŋ.2
12.36	side	hwaŋ.1
12.37	middle, center	khiu.3
12.41	right (side)	dan.2 łua.3
12.42	left (side)	chu:ŋ.3
12.43	near (adv)	daŋ.1
12.44	far (adv)	zaɨ.2
12.45	east	leŋ.3
12.46	west	cheɨ.3; cɨ.2; ceɨ.3
12.47	north	łau.3
12.48	south	fu.3
12.53	grow	chau.3
12.54	measure	pa.1
12.541	span, fathom	tom.1
12.55	large, big	thou.1
12.56	small, little	gou.1
12.57	long	fam.3
12.58	tall	fu:t.7
12.59	short	fu:t.7 cheɨ.3
12.61	wide, broad	fu:t.7 łau.3
12.62	narrow	fu:t.7 pa.1
12.63	thick (in dimension)	łau.3 fu:t.7
12.65	thin (in dimension)	gwa:n.1
12.67	deep	ŋu:n.1
12.68	shallow	kha:i.3
12.71	flat	bɨ.3 ba:i.3, ba:i.3 ba:i.3
12.73	straight	ło:i.1
12.74	crooked	ŋu:n.2 ke.3 ło:i.1
12.75	hook	rau.2
12.76	corner	ko:m.1
12.77	cross	cɨ.2 kit.7
12.78	square	khun.1 ʔa:u.1
12.81	round	thi:k.7
12.82	circle	khɨ:m.1
12.83	sphere, ball	gau.2
12.84	line	bu.1 phu:n.1
12.85	hole	cɨ.2 thom.1; cɨ.2 tho:m.1
12.92	like, similar	man.3; ńo:ŋ.2
12.93	change	do:i.3 ʔi:t.7
13.0	zero, nothing	phai.3 du:n.3
13.1	one	do:i.3 zi.2
13.2	two	łɨ:m.3
13.3	three	łau.3 bui.1
13.4	four	do:i.3 ta.2
13.5	five	fu.3 bui.1
13.6	six	phɨ:n.1
13.7	seven	pou.2
13.8	eight	pa:n.1
13.9	nine	plɨ:k.7
13.10	ten	ma:n.1; khau.2
13.101	eleven	za.1
13.102	twelve	ku:k.7
13.103	fifteen	ka:u.3
13.104	twenty	faŋ.1
13.105	hundred	han.3 nei.2
13.106	thousand	han.3 nei.2
13.107	count	zɨn.3
13.14	every, all	tai.3
13.15	much, many	zɨn.3
13.16	more	phaŋ.3 ŋa:i.2
13.17	little (quantity), few	ńoŋ.3 gwou.3
13.18	enough	chu:n.3 ci:p.7
13.181	some	cho:n.2 chut́.7
13.19	multitude, crowd	ba:i.3
13.21	full	ŋo.1
13.22	empty	dia.3
13.23	part, piece	ran.2 gɨt.7
13.24	half	cau.2 chi.1
13.33	alone, only	ta.1 ka:u.3
13.34	first	łeń.1 ta:u.3 hwan.1
13.35	last	ʔɨ.3 lom.3
13.36	second	pai.3 hwan.1
13.37	pair	pai.3 chop.7; pɨ.1 chop.7
13.38	two times	cɨ.2 rau.2 fa.3
13.42	third	ka:u.3 dom.1
13.44	three times	dau.3 di:ŋ.3 hwan.1
14.11	time	ru:i.1 hwan.1; cɨ.2 kom.2
14.12	age	pai.3 chop.7
14.13	new	hwan.1 nei.2
14.14	young	ʔɨ.3 hau.2
14.15	old	ʔɨ.3 ńem.1
14.16	early	ʔɨ.3 phan.3
14.17	late	pɨ.1 rau.3
14.18	now	di:m.3 ci:ŋ.2
14.19	immediately	ci:ŋ.2
14.21	swift, fast, quick	cheŋ.2 khi.3
14.22	slow	cheŋ.2 khi.3 thi.2
14.23	hasten, hurry	cheŋ.2 khi.3 ʔ:t.7
14.24	retard, delay	cheŋ.2 khi.3 zi.2
14.25	begin, beginning	cheŋ.2 khi.3 ta.2
14.252	last, endure	cheŋ.2 khi.3 ti.3
14.26	end (temporal)	cheŋ.2 khi.3 ŋou.1
14.27	finish	cheŋ.2 khi.3 lak.7
14.28	cease, stop	ńa:n.1
14.29	ready	pou.2
14.31	always	ńa:n.1 kha:i.2
14.32	often	ńa:n.1 ʔaŋ.1
14.33	sometimes	ńa:n.1 ta.2; ńa:n.1 fou.3
14.331	soon	ńa:n.1 khi:u.2; ńa:n.1 dań.3
14.332	long-time (for a)	fa.3 ra:n.2
14.34	never	ńa:n.1 fun.1
14.35	again	chun.3
14.41	day	ha:i.1 thui.1
14.42	night	ha:i.1
14.43	dawn	ha:i.1
14.44	morning	thu:n.2; re:k.7 ha:i.1
14.45	noon, midday	vi.3
14.451	afternoon	dat.7
14.46	evening	łe:ŋ.1
14.47	today	hwa:n.3
14.48	tomorrow	ho:m.1
14.481	day-after-tomorrow	fa.3
14.49	yesterday	vi.3 ta.1 łeń.́
14.491	day-before-yesterday	plaɨ.3
14.51	hour	pleɨ.1
14.53	clock, timepiece	ro:ŋ.1
14.61	week	loŋ.1 thi:u.1
14.62	Sunday	ŋi:ŋ.1
14.63	Monday	zu:i.3 la:i.3
14.64	Tuesday	zu:i.3
14.65	Wednesday	ʔje:ŋ.1
14.66	Thursday	chau.1
14.67	Friday	deń.3
14.68	Saturday	tek.7
14.71	month	thɨn.3
14.73	year	ło:k.7
14.74	winter	kha:u.1
14.75	spring	lo:k.7
14.76	summer	ga:n.3
14.77	autumn	khi:u.1
14.78	season	khi:u.1
15.21	smell (vb intrans)	ze:ŋ.1
15.212	sniff	thu:k.9
15.22	smell (vb trans)	mi:t.1
15.25	fragrant, good smelling	mo.3
15.26	stinking, bad smelling	hwat.7
15.31	taste	pu:t.7; nom.1
15.35	sweet	ʔun.1
15.36	salty	cha:k.8
15.37	bitter	ki:t.7
15.38	acid, sour	łeŋ.1 cho:m.1
15.39	brackish	re:k.7 cho:m.1
15.41	hear	khɨn.1
15.42	listen	khaɨ.3
15.44	sound, noise	pan.3
15.45	loud	khaɨ.2; ra:n.2
15.46	quiet, silence	chi:ŋ.3
15.51	see	fou.3; fau.3
15.52	look, look at	łun.2
15.55	show	kha:i.2; łeń.1 ńei.3
15.56	shine	łeń.1 ńei.3
15.57	bright	re:k.7 ńei.3
15.61	color	ńet.7
15.62	light (in color)	hweɨ.1
15.63	dark (in color)	ko.1 ʔja.3
15.64	white	mi:ŋ.2 łin.1
15.65	black	mi:ŋ.2 ta.1 deń.1
15.66	red	łeń.1 fat́.7; łeń.1 vi.3
15.67	blue	ra:u.1
15.68	green	ra:u.1 met́.7
15.69	yellow	to:ŋ.3
15.71	touch	ʔo:p.7
15.712	pinch	ru:t.7
15.72	feel	ʔop.7
15.74	hard	chok.7
15.75	soft	chok.7 hwo:k.7
15.76	rough	ńan.1 ŋa:n.1; lok.7 ŋa:n.1
15.77	smooth	ʔɨ:n.1
15.78	sharp	kheɨ.1
15.79	blunt, dull	ŋai.3
15.81	heavy	nom.3 cha.1
15.82	light (in weight)	kaŋ.1
15.83	wet, damp	khi.3
15.84	dry	khi.3 ŋa:n.1
15.85	hot	cɨ.2 gei.1
15.851	warm	lo.3
15.86	cold	ʔaɨ.2
15.87	clean	no:ŋ.1 daŋ.1 geɨ.1
15.88	dirty, soiled	ʔaɨ.2
15.89	wrinkled	da.3
16.11	soul, spirit	ŋui.3 hi:m.3
16.15	surprised, astonished	łan.1
16.18	good fortune, luck	hi.2 va:ŋ.1
16.19	misfortune, bad luck	ri:n.1 ke.1 thun.1
16.23	joyful, glad, happy	thua.3
16.25	laugh	za:ŋ.2
16.251	smile	łoń.1
16.26	play	re:k.7
16.27	love	diu.1
16.29	kiss	cho.1
16.3	embrace	cho.1
16.31	pain	hwai.1
16.32	grief, sorrow, sadness	łeń.1 mɨ:n.1
16.33	anxiety, worry	re:k.7 mɨ:n.1
16.34	regret, be sorry	ceń.3
16.35	pity	łu:k.7
16.37	cry, weep	chi:ŋ.1
16.38	tear (noun)	chim.1
16.39	groan	cho:m.3
16.41	hate	khu:ŋ.1, khu:ŋ.1 gweɨ.1
16.42	anger	du.2; ʔɨ:i.3
16.44	envy, jealousy	cho:ŋ.1
16.45	shame (noun)	hjɨ:i.1
16.48	proud	ŋo:ŋ.2; ple:m.1; po:i.1
16.51	dare	ti.1
16.52	brave	ʔo.1
16.53	fear, fright	ŋi:n.2 kiu.3; ʔo.1 ci:p.7
16.54	danger	tun.1; ka.3
16.62	desire, want	ʔo.1 te.2; łɨ:k.7 ʔo.1
16.622	choose	la:u.1 chi.2
16.63	hope	ʔo.1hjaɨ.1
16.65	faithful	ŋop.7
16.66	true	lɨ:m.2
16.67	lie, tell lies	kwa:t́.7
16.68	deceit	re:k.7 cho:m.3
16.69	forgive	mi:t.7 mi:t.7
16.71	good	khi:n.3 dia.2; khak.7 ti:t.9
16.72	bad	mak.7 dek.7
16.73	right, correct	zu:n.3 ʔi:n.2
16.74	wrong	chi.2 ʔi:u.2; kɨ.3 la.2
16.76	fault	he:n.1
16.77	mistake, error	re:k.7 vu:k.7; khun.1 na:n.1
16.78	blame	bɨ:n.1
16.79	praise	pha:ŋ.2 tek.7
16.81	beautiful	khu.1; ʔu:ŋ.2; ńu:k.7
16.82	ugly	han.3
16.83	greedy	la:i.3; la:i.3 kom.3
16.84	clever	lak.7 chi.1
17.11	mind	man.1
17.13	think (= reflect)	gwai.2
17.14	think (= be of the opinion)	doŋ.1 ra.3
17.15	believe	ło:i.1 ra.3
17.16	understand	ło:i.1 ra.3
17.17	know	me.3 he.3
17.171	guess	chi.1 ra.3
17.172	imitate	dɨ.3 ra.3
17.18	seem	ra.3 cɨ.2 cu:n.1
17.19	idea, notion	ʔɨ.3 ra.3; ʔa.3 ra.3
17.21	wise	vu:k.7 me.3 he.3
17.22	foolish, stupid	nei.2
17.23	insane, crazy	dɨ.3 nei.2
17.24	learn	haɨ.2; ma.2
17.242	study	dɨ.3 haɨ.2; dɨ.3 ma.2
17.25	teach	thi:u.1
17.26	pupil	vu:k.7; chaŋ.3
17.27	teacher	thun.1; ko.2
17.28	school	ca:n.1
17.31	remember	gop.7 ga:u.3
17.32	forget	ʔou.2 vit.7
17.34	clear, plain	ŋwa:t́.7
17.35	obscure	ri:n.1; ri:n.1 thun.1
17.36	secret	ri:n.1
17.37	sure, certain	cok.7 phɨ:n.1 za.1
17.38	explain	ri:n.1
17.41	intention, purpose	chi:m.3 mok.9
17.42	cause	thun.1
17.43	doubt	chia.3
17.44	suspect	phe:ŋ.1
17.441	betray	ga:m.1
17.45	need, necessity	theń.1
17.46	easy	li:ŋ.2
17.47	difficult	gai.3
17.48	try, attempt	theń.1
17.49	way, manner	ki.1 tu:t.9
17.51	and	ki:m.2 ci.3
17.52	because	ca:n.1
17.53	if	ca:n.1 vu:k.7
17.54	or	ʔwa:i.2
17.55	yes, affirmative	ʔɨ:ŋ.1
17.56	no, negative	tha:i.3
17.61	how?	thak.7, thok.7
17.62	how many?	chia.3
17.63	how much?	bit.7
17.64	what?	bui.1 chia.3
17.65	when?	ti.2 na:ŋ.3
17.66	where?	ru:n.2
17.67	which?	laŋ.1
17.68	who?	ho.3
17.69	why?	kok.7 ke.2
18.11	voice	tau.3 kok.7; bou.3 ploŋ.3
18.12	sing	ti:ŋ.3
18.13	shout, cry out	bou.3
18.15	whisper	han.1
18.16	mumble	na:ŋ.3 mi:n.3
18.17	whistle	toŋ.2 ka.3; bu.1 lok.7
18.18	shriek, screech	pha.3 gwou.3
18.19	howl	cɨ.2 rau.2; thaŋ.3 ho:ŋ.2
18.21	speak, talk	thoŋ.2 ci.1; kwa:n.3 li.3
18.211	stutter, stammer	kok.7 ʔwaŋ.3
18.22	say	kui.2 tok.9
18.221	tell story	ve:ŋ.1
18.222	speech (make a)	nou.3
18.23	silent (be)	ʔa:u.1 chi.1 ziu.3
18.24	language	meŋ.1 leŋ.1
18.26	word	tun.2 tiu.3
18.28	name	za:ŋ.2
18.31	ask (question, inquire)	tho:ŋ.3 khun.1
18.32	answer	dek.7 na:ŋ.3
18.33	admit, confess	go:m.1 ploŋ.3 tho:ŋ.3; ŋa:i.2 ploŋ.3 tho:ŋ.3
18.34	deny	bou.3 ʔa:u.1
18.35	ask, request	ve:ŋ.1
18.36	promise	baŋ.3
18.37	refuse	haŋ.1; ke:ŋ.3
18.38	forbid	ra:i.2
18.39	rebuke, scold	ce.2 lu:n.1; ce.3 tho:ŋ.3
18.41	call (=summon)	ʔin.2 mou.3
18.42	call (=name)	la:i.3 daŋ.1
18.43	announce	ci.1 ni.3
18.44	threaten	tha:i.2 tho:ŋ.3
18.45	boast	ci:n.1 ce.2
18.51	write	hwa.3 pheŋ.3
18.52	read	kun.2 dui.2
18.56	paper	chi.2 bia.2; łɨ:k.7 bi:ŋ.3
18.57	pen	ha.1 pha:u.1
18.61	book	tho:n.1 chai.1
18.67	poet	vat.7
18.71	flute	ti:p.7
18.72	drum	ma:u.3
18.73	horn, trumpet	kɨ:m.2, ki:m.3
18.74	rattle	ha.1 pha:u.1
19.11	country	teŋ.1 li.1; chui.1
19.12	one's native country	ba:i.3 ka.2
19.15	city, town	łau.1
19.16	village	vaŋ.1
19.17	boundary	rut.9 chei.1
19.21	people (populace)	thou.3 ki:ŋ.3
19.23	tribe, clan	phu.3 lu.3
19.24	chief, chieftain	ʔwai.2 bia.2
19.25	staff, walking stick	mań.1; ma:i.3 phok.7
19.31	rule, govern	po:k.7 ła.1
19.32	king, ruler	ŋo:t.7 ła.1
19.33	queen	haŋ.54 qa.0 śa:k.11
19.36	noble, nobleman	go:i.3 ła.1
19.37	citizen, subject	gip.7
19.41	master	ʔa:u.1 ca:u.3
19.42	slave	ceɨ.1
19.43	servant	gań.1
19.44	freeman	tha:i.2 be:n.2 he.1
19.45	command, order	lu:ŋ.1
19.46	obey	vu:k.7 lu:ŋ.1
19.47	let, permit	pha:t.7 lut.9
19.51	friend, companion	ti:m.3 phu:n.2
19.52	enemy	pha:t.7 kwa.2
19.54	neighbor	zu:n.3 ko.2; ʔa:u.1 khi.3 chu.2
19.55	stranger	bi.1 ko.2
19.56	guest	ceŋ.2 na:ŋ.3
19.57	host	ma:n.1
19.58	help, aid	tu:n.2 to:i.1
19.59	hinder, prevent	khoŋ.2 ko.3
19.61	custom	łi:t.7
19.62	strife, quarrel	tu:n.2 phu:n.2; cau.2 ma.3
19.63	conspiracy, plot	tu:n.2 bu.2....ʔwen.3 ma.3
19.65	meet	cau.2 ma.3
19.72	prostitute	ʔwen.3 ma.3
20.11	fight (vb)	hwat.7 khwa:n.3
20.13	war, battle	ka.1
20.14	peace	mou.3 tua.2
20.15	army	zok.7
20.17	soldier	ki:t.7
20.21	weapons, arms	łɨ:k.7 zok.7
20.22	club	toŋ.2 ka.2
20.222	battle-ax	ci:u.1 di.2
20.23	sling	ka.2 do.3
20.24	bow	ti:n.3 tha:n.3
20.25	arrow	hi.2 teŋ.2
20.26	spear	phut
20.27	sword	chan.1
20.28	gun, cannon	pai.3 thou.2; pha.3 thou.2
20.31	armor (defensive)	hwi:n.1
20.33	helmet
20.34	shield
20.35	fortress
20.36	tower
20.41	victory
20.42	defeat
20.43	attack
20.44	defend
20.45	retreat
20.46	surrender
20.47	captive, prisoner
20.471	guard, sentinel
20.48	booty, spoils
20.49	ambush
20.51	fisherman
20.52	fishhook
20.53	fishing line
20.54	fishnet
20.55	fish trap
20.56	bait
20.61	hunt
20.62	shoot
20.63	miss (target)
20.64	trap (noun)
20.65	trap (vb)
21.11	law
21.15	court
21.16	judge (vb)
21.17	judgment
21.18	judge (noun)
21.21	plaintiff
21.22	defendant
21.23	witness
21.24	swear
21.25	oath
21.31	accuse
21.32	condemn
21.33	convict (vb)
21.34	acquit
21.35	guilty
21.36	innocent
21.37	penalty, punishment
21.38	fine
21.39	prison, jail
21.42	murder
21.43	adultery
21.44	rape
21.46	arson
21.47	perjury
21.51	steal
21.52	thief
22.11	religion
22.12	God
22.13	temple, church
22.14	altar
22.15	sacrifice, offering
22.16	worship
22.17	pray
22.18	priest
22.19	holy, sacred
22.22	preach
22.23	bless
22.24	curse
22.26	fast (vb)
22.31	heaven
22.32	hell
22.35	demon (evil spirit)
22.37	idol
22.42	magic, witchcraft, sorcery
22.43	sorcerer, witch
22.44	fairy, elf
22.45	ghost, phantom
22.47	omen, portent
