entry_id	trans_english	Li_of_Baoding_Phonemic
2.91	I	fa.1
2.92	you (singular)	fa.1 łau.3 cu:n.1
2.93	he/she/it	meɨ.1 ta.1
2.94	we	meɨ.1 ta.1 łau.3 cu:n.1
2.941	we (inclusive)	khun.1
2.942	we (exclusive)	pha.3
2.95	you (plural)	pai.3
2.96	they	te.2 kha:u.3
3.11	animal	kan.3 pho.3
3.12	male (adj)	ʔa:u.1 thau.3 tui.3
3.13	female (adj)	tu:n.2 ka.3
3.15	livestock	pha.3 ńiu.1
3.16	pasture	pai.3 ńiu.1
3.18	herdsman	pai.3 tui.3
3.19	stable, stall	łɨ:k.7 tui.3
3.2	cattle (bovine)	tui.3
3.21	bull	ze:ŋ.1
3.22	ox	pha.3 ze:ŋ.1
3.23	cow	pai.3 ze:ŋ.1
3.24	calf	pha.3 pou.1
3.25	sheep	pai.3 pou.1
3.26	ram	pou.1
3.28	ewe	ze:ŋ.1
3.29	lamb	pha.3 ze:ŋ.1
3.32	boar	łɨ:k.7 ze:ŋ.1
3.34	sow	ka.3
3.35	pig	pha.3 ka.3
3.36	goat	pai.3 ka.3
3.37	he-goat	łɨ:k.7 ka.3; go:i.1 ka.3
3.38	kid	lua.2
3.41	horse (equine)	lua.2
3.42	stallion	pha.3 khai.1
3.44	mare	pai.3 khai.1
3.45	foal, colt	khai.1
3.46	ass, donkey	ŋe.1
3.47	mule	ʔep.8
3.5	fowl	ru:k.7
3.52	cock, rooster	tat́.7
3.54	hen	ŋa:u.1
3.55	chicken	ŋa.1 ŋom.1
3.56	goose	pɨ.1 gu:k.7
3.57	duck	de:t.8; de:u.2
3.58	nest	ʔe:k.7
3.581	bird	khou.1
3.582	seagull	khou.1 thau.3
3.583	heron	hu.3 tu.3
3.584	eagle	tat́.7 nau.2 nit.7
3.585	hawk	khai.1 tu:n.1
3.586	vulture	pa.1
3.591	bat	thua.3
3.592	parrot	mɨn.3
3.593	crow	hu:i.3
3.594	dove	mi:u.2
3.596	owl	mi:u.2 tu:n.1
3.61	dog	tiu.1
3.614	rabbit	ła.1
3.62	cat	phi:k.7 ła.1
3.622	opossum	lo:p.7 ła.1
3.63	mouse, rat	ŋe:k.7 ła.1
3.65	fish	fe:k.7 chei.1
3.652	fin (dorsal)	bou.2
3.653	fishscale	pɨ:m.2
3.654	gill	ła.1 phou.2
3.655	shell	ła.1 tui.3
3.661	shark	zai.1
3.662	porpoise, dolphin	pa.1 hwou.3
3.663	whale	mui.1
3.664	stingray	tau.2 mut́.7
3.665	freshwater eel	kɨ.3 diu.2
3.71	wolf	dai.1
3.72	lion	te:k.7
3.73	bear	lo:i.1
3.74	fox	nok.7
3.75	deer	ke:ŋ.2; chi:u.1
3.76	monkey	fan.1 ke:ŋ.2
3.77	elephant	lok.7 tho.3
3.78	camel	hjan.2
3.81	insect	than.1; fou.1
