entry_id	trans_english	Carib_De'kwana_Phonemic
1.1	world	
1.21	earth, land	
1.212	earth=ground, soil	nono
1.213	dust	
1.214	mud	
1.215	sand	sāʔdaʔda
1.22	mountain, hill	hɨ̄
1.222	cliff, precipice	
1.23	plain, field	
1.24	valley	
1.25	island	dantadɨ
1.26	mainland	
1.27	shore	
1.28	cave	ewɨ̄tɨ
1.31	water	tuna
1.32	sea	dama
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	
1.329	ocean	
1.33	lake	čūʔhə
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	
1.362	whirlpool	
1.37	spring, well	
1.38	swamp	
1.39	waterfall	yedukadɨ
1.41	woods, forest	čūta
1.42	tree (cf 08.600)	dē
1.43	wood	dē
1.44	stone, rock	təʔhu
1.45	earthquake	dehūši
1.51	sky	kahu
1.52	sun	šī
1.53	moon	nūnə
1.54	star	šidīčə
1.55	lightning	
1.56	thunder	
1.57	lightning (as striking)	
1.58	storm	
1.59	rainbow	
1.61	light (noun)	šī
1.62	darkness	
1.63	shade, shadow	
1.64	dew	
1.71	air	
1.72	wind	hehēnčə
1.73	cloud	kāʔdutu
1.74	fog	
1.75	rain (noun)	konōho
1.76	snow (noun)	
1.77	ice	
1.78	weather	
1.81	fire	wāʔto
1.82	flame (noun)	wāʔto
1.83	smoke (noun)	widīnčə
1.84	ashes	wedēnnə
1.841	embers	
1.851	burn (vb trans)	ukā-dɨ
1.852	burn (vb intrans)	daʔtwa-dɨ
1.86	light, kindle, ignite	-kemetə-
1.861	extinguish	
1.87	match (noun)	tɨsočāmɨ
1.88	firewood	-keme-dɨ
1.89	charcoal	
2.1	person, human being	ssoto
2.21	man (vs. woman)	danwa
2.22	woman	wodi
2.23	male	danwa
2.24	female	wodi
2.25	boy	mudekə̄kə
2.251	young man (adolescent)	mudēši
2.26	girl	wodi-ʔčə
2.261	young woman (adolescent)	mudēši
2.27	child	nnedɨ
2.28	infant, baby	
2.31	husband	-ɲno
2.32	wife	
2.33	marry	
2.34	marriage, wedding	
2.341	divorce	
2.35	father	haha
2.36	mother	denɨ
2.37	parents	
2.38	married man	
2.39	married woman	
2.41	son	nnedɨ
2.42	daughter	nnedɨ
2.43	offspring (son or daughter)	nnedɨ
2.44	brother	-nuwā-dɨ
2.444	older brother	
2.445	younger brother	šīʔčɨ
2.45	sister	
2.454	older sister	yāya
2.455	younger sister	
2.456	sibling	
2.458	twins	
2.46	grandfather	kōko
2.461	old man	
2.47	grandmother	-tamū-du
2.471	old woman	noʔsamoʔkɨ
2.48	grandson	hādɨ
2.49	granddaughter	hādɨ
2.51	uncle	wōdɨ
2.511	mother's brother	yawo
2.512	father's brother	haha
2.52	aunt	waynɲeʔney
2.521	mother's sister	denɨ
2.522	father's sister	waynɲeʔney
2.53	nephew	honɨ; honɨ-kə
2.54	niece	hāse
2.55	cousin	waiɲe; yāʔko
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	wōdɨ̄mə
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	-hannɨ-dɨ
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	tunkemhɨnɨ
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	
2.82	family	himmə
2.91	I	ɨwɨ
2.92	you (singular)	əmədə
2.93	he/she/it	tɨwɨ
2.94	we	
2.941	we (inclusive)	kɨwɨ
2.942	we (exclusive)	nɲa
2.95	you (plural)	ənwanno
2.96	they	tɨnwano
3.11	animal	
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	
3.21	bull	
3.22	ox	
3.23	cow	
3.24	calf	
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	[kūši]
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	
3.54	hen	kudaymādu
3.55	chicken	wamēdi
3.56	goose	
3.57	duck	[hātu]
3.58	nest	danɲami
3.581	bird	hawi
3.582	seagull	
3.583	heron	tadāya
3.584	eagle	demōši
3.585	hawk	hiyāna
3.586	vulture	kudūmu
3.591	bat	
3.592	parrot	[dodo]
3.593	crow	
3.594	dove	hadūma
3.596	owl	
3.61	dog	sɨ̄ʔna
3.614	rabbit	
3.62	cat	[mēši]
3.622	opossum	dawāde
3.63	mouse, rat	asɨ̄kɨ
3.65	fish	nākukwāno
3.652	fin (dorsal)	
3.653	fishscale	
3.654	gill	
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	
3.665	freshwater eel	
3.71	wolf	
3.72	lion	kawadīmə
3.73	bear	hədēmu
3.74	fox	awadudi
3.75	deer	kawādi
3.76	monkey	yadākadu
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	dāmə
3.812	nit (louse egg)	
3.813	flea	
3.814	centipede	
3.815	scorpion	mɨnə̄tə
3.816	cockroach	
3.817	ant	
3.818	spider	modoy
3.819	spider web	
3.82	bee	wannə
3.821	beeswax	
3.822	beehive	
3.823	wasp	sūnwa
3.83	fly	wedēsede
3.831	sandfly (midge), gnat	
3.832	mosquito	
3.84	worm	motto
3.85	snake	əkə̄yu
3.91	firefly	
3.92	butterfly	matūtu
3.93	grasshopper	kɨdatay
3.94	snail	memu
3.95	frog	kɨʔto
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	heʔde
4.11	body	
