entry_id	trans_english	Selkup_Phonemic
1.1	world	mir̃
1.21	earth, land	təttɨ
1.212	earth=ground, soil	čʸu
1.213	dust	tuspo
1.214	mud	tam
1.215	sand	ḳor̃a
1.22	mountain, hill	maḳḳa; ḳə
1.222	cliff, precipice	- -
1.23	plain, field	nur̃ḳɨlʸ təttɨ
1.24	valley	- -
1.25	island	mar̃kɨ
1.26	mainland	- -
1.27	shore	ḳanɨk
1.28	cave	- -
1.31	water	üt
1.32	sea	mor̃æ; čʸɔntɨs
1.322	calm (of sea)	sümɨkɨtɨlʸ
1.323	rough (of sea)	sümɨsɨmɨlʸ
1.324	foam	šʸi
1.329	ocean	- -
1.33	lake	to
1.34	gulf, bay	ḳalsɨ
1.341	lagoon	- -
1.342	reef	- -
1.343	headland, point	soḳḳɨ ~ soḳ
1.35	wave	ḳɔmpɨ
1.352	tide	- -
1.353	lowtide	- -
1.354	hightide	- -
1.36	river, stream, brook	ḳoltɨ; kɨ; kɩkæ
1.362	whirlpool	pur̃ɨlʸta; küŋɨlʸ kolʸa
1.37	spring, well	ɔtɨr̃; tɛr̃ɨ
1.38	swamp	nʸar̃ɨ; lɨmpæ
1.39	waterfall	- -
1.41	woods, forest	mačʸɨ; sæḳḳɨ
1.42	tree (cf 08.600)	po
1.43	wood	po
1.44	stone, rock	pü
1.45	earthquake	- -
1.51	sky	nom
1.52	sun	čʸelɨ
1.53	moon	ir̃ætɨ
1.54	star	ḳišʸḳæ
1.55	lightning	nuttü
1.56	thunder	ḳɔn
1.57	lightning (as striking)	nuttü
1.58	storm	pusḳa; mɛr̃ḳɨlʸpalʸčʸa
1.59	rainbow	nuttaŋkɨ; ḳɔttaŋkɨ
1.61	light (noun)	čʸelɨ
1.62	darkness	lɨpɨḳ
1.63	shade, shadow	ḳɛtɨ; tika
1.64	dew	čʸaptɨn üt
1.71	air	nut kɛy
1.72	wind	mær̃ḳɨ
1.73	cloud	nulʸ mar̃ḳɨ; tɩnolɨ
1.74	fog	čʸaptɨ
1.75	rain (noun)	sor̃ɨntæ
1.76	snow (noun)	sɨr̃ɨ
1.77	ice	ulḳa
1.78	weather	čʸelɨ
1.81	fire	tü
1.82	flame (noun)	tüšʸe
1.83	smoke (noun)	pur̃ḳɨ
1.84	ashes	šʸimɨ
1.841	embers	sičʸillakalʸa
1.851	burn (vb trans)	čʸotɨḳo
1.852	burn (vb intrans)	čʸɔpɨḳo
1.86	light, kindle, ignite	ačʸaltɨḳo
1.861	extinguish	ḳaptɨḳo
1.87	match (noun)	soypo ~ solʸpo
1.88	firewood	po
1.89	charcoal	polʸ sičʸi
2.1	person, human being	ḳum ~ ḳup
2.21	man (vs. woman)	ir̃a; ḳum; ḳumɨlʸ ḳum
2.22	woman	ima; imalʸ ḳum
2.23	male	ir̃alʸ
2.24	female	imalʸ
2.25	boy	iya
2.251	young man (adolescent)	ilʸmatɨlʸ ḳum
2.26	girl	nætælʸa; nætæk
2.261	young woman (adolescent)	nætæk; nætællaka
2.27	child	iya
2.28	infant, baby	iyalʸa
2.31	husband	ir̃atɨ
2.32	wife	imatɨ
2.33	marry	imaŋḳo; ir̃aŋḳo
2.34	marriage, wedding	- -
2.341	divorce	- -
2.35	father	əsɨ
2.36	mother	əmɨ
2.37	parents	əssɨitɨ
2.38	married man	imasɨmɨlʸ (ir̃a)
2.39	married woman	ir̃asɨmɨlʸ (ima)
2.41	son	iya ~ iyatɨ
2.42	daughter	nælʸa
2.43	offspring (son or daughter)	- -
2.44	brother	tɩmnʸa
2.444	older brother	mɛr̃ḳɨ tɩmnʸa
2.445	younger brother	kɨpa tɩmnʸa
2.45	sister	nenʸnʸa
2.454	older sister	mɛr̃ḳɨ nenʸnʸa
2.455	younger sister	kɨpa nenʸnʸa
2.456	sibling	tɛtɨčʸalʸ tɩmnʸa; tɛtɨčʸalʸ nenʸnʸa
2.458	twins	šʸittæḳɩlʸ
2.46	grandfather	ilʸčʸa
2.461	old man	ir̃a; ir̃aḳota; ir̃alɩpɨ
2.47	grandmother	imɨlʸa
2.471	old woman	imaḳota; imaḳotalɩpɨ
2.48	grandson	kətsan
2.49	granddaughter	kətsan
2.51	uncle	ilʸčʸa
2.511	mother's brother	tɩtæ; ilʸčʸa
2.512	father's brother	tɩmnʸa; ilʸčʸa
2.52	aunt	imɨlʸa
2.521	mother's sister	onʸa; imɨlʸa
2.522	father's sister	nenʸnʸa; imɨlʸa
2.53	nephew	kətsan
2.54	niece	kətsan
2.55	cousin	- -
2.56	ancestors	- -
2.57	descendants	- -
2.61	father-in-law (of a man)	əsɨlʸir̃a; ilʸčʸa; ḳənir̃a
2.611	father-in-law (of a woman)	ḳənir̃a
2.62	mother-in-law (of a man)	əmɨlʸima; imɨlʸa; imɨlʸalʸ ima
2.621	mother-in-law (of a woman)	imɨlʸalʸ ima
2.63	son-in-law (of a man)	kər̃mæ; ḳənɨk; šʸelɨ
2.631	son-in-law (of a woman)	šʸelɨ
2.64	daughter-in-law (of a man)	æmnæ
2.641	daughter-in-law (of a woman)	æmnæ
2.71	stepfather	əsɨku; apaku
2.72	stepmother	əmɨku
2.73	stepson	iyaku
2.74	stepdaughter	nælʸaku
2.75	orphan	čʸilʸalʸ
2.76	widow	ir̃akɨtɨlʸ ima
2.77	widower	imakɨtɨlʸ ir̃a
2.81	relatives, kinsmen	tɛtɨčʸa
2.82	family	iyalʸ mɔt; ḳumɨlʸ mɔt
2.91	I	man ~ mat
2.92	you (singular)	tan ~ tat
2.93	he/she/it	təp ~ təm
2.94	we	me
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	tɛ
2.96	they	təpɨn ~ təpɨt
3.11	animal	sur̃ɨm
3.12	male (adj)	ḳor̃ɨ
3.13	female (adj)	čʸektɨ
3.15	livestock	mɔtḳɨlʸ sur̃ɨlʸ mɨ
3.16	pasture	up
3.18	herdsman	ɔttɨntɨtɨy ḳum
3.19	stable, stall	sur̃ɨlʸ mɔt
3.2	cattle (bovine)	mɔtḳɨlʸ sur̃ɨlʸ mɨ
3.21	bull	ḳor̃ɨ
3.22	ox	- -
3.23	cow	sɨr̃ɨ
3.24	calf	tor̃nʸak
3.25	sheep	- -
3.26	ram	- -
3.28	ewe	- -
3.29	lamb	- -
3.32	boar	- -
3.34	sow	sɨpɨnʸčʸa
3.35	pig	- -
3.36	goat	- -
3.37	he-goat	- -
3.38	kid	- -
3.41	horse (equine)	čʸuntɨ
3.42	stallion	- -
3.44	mare	- -
3.45	foal, colt	- -
3.46	ass, donkey	- -
3.47	mule	- -
3.5	fowl	- -
3.52	cock, rooster	- -
3.54	hen	- -
3.55	chicken	- -
3.56	goose	töka
3.57	duck	šʸipa
