entry_id	trans_english	Waorani_Phonemic
1.1	world	ĩ-gipo
1.21	earth, land	õ-bæ
1.212	earth=ground, soil	õ-gipo
1.213	dust	gidĩ-bõ
1.214	mud	akĩ-bæ̃
1.215	sand	ẽbõdai
1.22	mountain, hill	ãdã-kidi
1.222	cliff, precipice	õta-dã-a
1.23	plain, field	biyõdæ
1.24	valley	wĩyãbẽka
1.25	island	waãtĩĩ-wæ̃dẽ
1.26	mainland	õbæ-koo
1.27	shore	æ-pæ̃ wedeka
1.28	cave	õta-to
1.31	water	æ-pæ̃
1.32	sea	gãwa-pæ̃ yæ̃dæ̃
1.322	calm (of sea)	dæ̃æ̃ gõgæ̃
1.323	rough (of sea)	bæ̃æ̃-gõta bæ̃æ̃-gõta ã
1.324	foam	bãwãta
1.329	ocean	gãwa-pæ̃ yæ̃dæ̃-gade põdĩ
1.33	lake	gãwa-pæ̃
1.34	gulf, bay	--
1.341	lagoon	gãwa-pæ̃
1.342	reef	pĩ pĩ kæ-wa-te
1.343	headland, point	--
1.35	wave	
1.352	tide	
1.353	lowtide	(æ-pæ̃) gædæ go-pæ̃
1.354	hightide	(æ-pæ̃) gædæ põ-bæ̃
1.36	river, stream, brook	õ-dõ
1.362	whirlpool	
1.37	spring, well	æ-pæ̃ ta-yõbõ
1.38	swamp	akĩ-bæ̃ ĩ-yõbõ
1.39	waterfall	tĩyataa
1.41	woods, forest	a-wæ̃-dẽ
1.42	tree (cf 08.600)	a-wæ̃
1.43	wood	a-wæ̃
1.44	stone, rock	di-ka
1.45	earthquake	goĩke
1.51	sky	õ-õdæ
1.52	sun	dæ̃ke
1.53	moon	apãi-kã
1.54	star	dẽ-bõ
1.55	lightning	dãĩ-pa
1.56	thunder	detæ-bo
1.57	lightning (as striking)	dãĩ-pa
1.58	storm	wĩdi kæ-ĩ
1.59	rainbow	dai-bẽ
1.61	light (noun)	yãõ
1.62	darkness	wẽ-bõ
1.63	shade, shadow	gãdẽ ĩ-yõbõ
1.64	dew	owæ̃-bæ̃
1.71	air	woboyæ̃ bãbo-ke
1.72	wind	woboyæ̃
1.73	cloud	bogĩbã
1.74	fog	bogĩbã
1.75	rain (noun)	ko-õdæ
1.76	snow (noun)	yogi-bõ
1.77	ice	yogi-ĩ-ka
1.78	weather	bogĩbã dã-dõ ẽ-bõ
1.81	fire	gõ-ga
1.82	flame (noun)	õ-gẽdẽ õ-gẽdẽ bæko
1.83	smoke (noun)	tẽbãa
1.84	ashes	gõ-dãi
1.841	embers	gõ-ga-ye-bo
1.851	burn (vb trans)	tã
1.852	burn (vb intrans)	gõ; bæko
1.86	light, kindle, ignite	tã-dõ
1.861	extinguish	bõdæ ẽbõdẽ
1.87	match (noun)	gõ-ga-ta
1.88	firewood	tẽdẽ-wæ̃
1.89	charcoal	gõ-ga-ye-bo
2.1	person, human being	wao-kã
2.21	man (vs. woman)	õgĩyæ̃-gã
2.22	woman	õkiyæ̃-gã
2.23	male	õgĩyæ̃
2.24	female	õkiyæ̃
2.25	boy	wẽ-yæ̃-gã õgĩyæ̃-gã
2.251	young man (adolescent)	edẽdĩ-gã
2.26	girl	wẽyæ̃-gã õkiyæ̃-gã
2.261	young woman (adolescent)	bake-kã
2.27	child	wẽyæ̃-gã
2.28	infant, baby	tækæ ẽ-ya-dĩ-gã
2.31	husband	dã-dõ-ogæ̃-gã
2.32	wife	dã-dõ-ogæ̃-gã
2.33	marry	bõ
2.34	marriage, wedding	
2.341	divorce	pãbæ̃
2.35	father	bæ̃po
2.36	mother	badã
2.37	parents	bæ̃po-idi
2.38	married man	õgĩyæ̃-gã do bõ-ĩ-gã
