entry_id	trans_english	Qau_Kelao_Phonemic
1.1	world	tu.42 lu.42
1.21	earth, land	to.13 ji.31
1.212	earth=ground, soil	pa.42 tau.42
1.213	dust	paŋ.42 ʔji.42 zuŋ.13
1.214	mud	paŋ.13
1.215	sand	cau.31
1.22	mountain, hill	mu.42 cI.31 tɨn.35 cau.31
1.222	cliff, precipice	bi.31 zau.31
1.23	plain, field	pin.35 cI.31 lau.13
1.24	valley	cu.42 ma.31 kjau.42
1.25	island	ta.13 ŋ.31
1.26	mainland	cau.31 ŋ.42
1.27	shore	ŋ.42
1.28	cave	mo.42 ŋ.42
1.31	water	ŋ.42 piŋ.35
1.32	sea	phau.13 phau.13
1.322	calm (of sea)	ŋ.42 li.31
1.323	rough (of sea)	pjaŋ.13 ŋ.42
1.324	foam	ŋ.42 ke.35; ko.35 śi.42
1.329	ocean	zau.31 zau.31
1.33	lake	zəu.35 pəu.42
1.34	gulf, bay	ki.35 tuŋ.31
1.341	lagoon	mu.42 tai.42
1.342	reef	mu.42 tai.42
1.343	headland, point	paŋ.35 ŋ.35
1.35	wave	paŋ.35 ŋ.35 tjaŋ.35 tjaŋ.35
1.352	tide	paŋ.35 ʔe.42 taŋ.42 ńi.35
1.353	lowtide	to.13 ji.31
1.354	hightide	jy.13
1.36	river, stream, brook	ta.31
1.362	whirlpool	ca.35
1.37	spring, well	mo.35 zo.35
1.38	swamp	mo.42 zo.31 taŋ.13
1.39	waterfall	ńi.42 li.42
1.41	woods, forest	ve.31 li.31
1.42	tree (cf 08.600)	śi.35 pja.42
1.43	wood	jy.13 səu.42
1.44	stone, rock	laŋ.42 li.35
1.45	earthquake	ŋa.31 ljaŋ.31; ʔji.42; ta.42 ŋa.31 ljaŋ.31
1.51	sky	ŋ.42 ŋau.35
1.52	sun	ve.31
1.53	moon	tu.42 lu.42 pu.35
1.54	star	ŋa.42
1.55	lightning	məŋ.31
1.56	thunder	nai.31
1.57	lightning (as striking)	nai.31
1.58	storm	məŋ.31 taŋ.31 ʔu.42
1.59	rainbow	fe.35
1.61	light (noun)	pai.35
1.62	darkness	pai.35 məŋ.13
1.63	shade, shadow	pai.35 məŋ.13
1.64	dew	pa.42 tau.42
1.71	air	ta.31 tau.13 pai.35
1.72	wind	cu.31
1.73	cloud	ha.35 li.31
1.74	fog	cu.31 pai.35; mo.31 pai.35
1.75	rain (noun)	ńəŋ.31 pai.35
1.76	snow (noun)	ho.42 chai.31
1.77	ice	ma.42 ʔaŋ.42
1.78	weather	ka.35 tha.42
1.81	fire	həŋ.35
1.82	flame (noun)	pu.31 sa.35
1.83	smoke (noun)	ta.13 sa.35
1.84	ashes	pu.31 sa.35
1.841	embers	ta.13 sa.35
1.851	burn (vb trans)	li.31 pu.13
1.852	burn (vb intrans)	li.31 lo.35
1.86	light, kindle, ignite	li.42 məi.35
1.861	extinguish	li.42 məi.35 li.31
1.87	match (noun)	li.42 tjaŋ.35 tjaŋ.35
1.88	firewood	li.42 tu.35 ʔjəu.35
1.89	charcoal	pu.35
2.1	person, human being	mo.42 məi.35
2.21	man (vs. woman)	phəi.42 tjau.35
2.22	woman	li.31 hun.35
2.23	male	pa.13
2.24	female	ma.13
2.25	boy	pa.13 ma.13
2.251	young man (adolescent)	pu.31 sa.35
2.26	girl	ta.13 sa.13
2.261	young woman (adolescent)	li.42
2.27	child	li.42 məi.35
2.28	infant, baby	li.42
2.31	husband	ćəu.13
2.32	wife	ta.35
2.33	marry	ćəu.13 tjaŋ.35 tjaŋ.35
2.34	marriage, wedding	pai.35 ʔaŋ.42
2.341	divorce	pai.35 pai.35
2.35	father	ʔaŋ.42
2.36	mother	ŋ.42 pai.42
2.37	parents	li.42 kaŋ.42
2.38	married man	pu.42 ńa.13
2.39	married woman	pu.42 co.35 ńa.35
2.41	son	ta.13 ńa.35
2.42	daughter	ta.13 co.35 ńa.35
2.43	offspring (son or daughter)	li.42 kja.35
2.44	brother	li.42 kja.35
2.444	older brother	tei.13; li.31 pa.13
2.445	younger brother	li.31 pa.13
2.45	sister	li.31 ma.42; pu.31 ńaŋ.31
2.454	older sister	ke.42 co.35 ma.42
2.455	younger sister	ćəu.35 ma.42
2.456	sibling	li.42 ka.42
2.458	twins	li.42 məi.35 ka.42
2.46	grandfather	ćəu.13 pjau.42; pjau.42 ŋ.42 pai.42
2.461	old man	pu.31 co.35 ńa.35
2.47	grandmother	pu.31 ləŋ.35
2.471	old woman	pa.13 kjaŋ.42
2.48	grandson	pu.13
2.49	granddaughter	ta.13 kjaŋ.42
2.51	uncle	ta.13
2.511	mother's brother	pu.31 cau.13
2.512	father's brother	pu.31 cau.13
2.52	aunt	mo.42 lai.31
2.521	mother's sister	mo.42 lai.31
2.522	father's sister	pa.31 ləŋ.31
2.53	nephew	ma.13 ləŋ.31
2.54	niece	li.42 me.42
2.55	cousin	li.42 məi.35 me.42
2.56	ancestors	li.42 pu.35
2.57	descendants	pu.35 hi.42
2.61	father-in-law (of a man)	ha.42 lau.42
2.611	father-in-law (of a woman)	ki.35
2.62	mother-in-law (of a man)	ʔi.42
2.621	mother-in-law (of a woman)	mu.31
2.63	son-in-law (of a man)	həŋ.42
