entry_id	trans_english	Maonan_Phonemic
1.1	world	kha.3 pan.2
1.21	earth, land	te.3
1.212	earth=ground, soil	khəm.5
1.213	dust	phuŋ.5
1.214	mud	khəm.5 ʔma.3 / ʔwoŋ.3
1.215	sand	sa.1
1.22	mountain, hill	kɔŋ.5 pja.1
1.222	cliff, precipice	koŋ.1 mɨt.8
1.23	plain, field	ćhan.5
1.24	valley	ta.5 vjen.5
1.25	island	ja:u.3 ćhəm.6
1.26	mainland	ta:u.3
1.27	shore	faŋ.5 ni.1
1.28	cave	ŋa:m.4 ka:m.1
1.31	water	nam.3
1.32	sea	hai.3
1.322	calm (of sea)	tə.0 pɨŋ.4
1.323	rough (of sea)	nam.1
1.324	foam	pə.5 la:ŋ.4
1.329	ocean	ni.1 (river); ćui.3 (stream)
1.33	lake	ta:u.1 nam.3 cu:n.5
1.34	gulf, bay	nam.3 uʔ.7 (spring); ʔbən.6 (well)
1.341	lagoon	phu.4 pu.4
1.342	reef	ʔdɔŋ.2
1.343	headland, point	mai.4
1.35	wave	mai.4
1.352	tide	tu:i.2
1.353	lowtide	tu:i.2 lu:n.4
1.354	hightide	ti.4 cən.4
1.36	river, stream, brook	pən.2
1.362	whirlpool	la.7 van.1
1.37	spring, well	ni.4 njen.2
1.38	swamp	zət.7
1.39	waterfall	va.1 ʔda:p.8
1.41	woods, forest	va.1
1.42	tree (cf 08.600)	va.1 taŋ.1; va.1 khəm.4
1.43	wood	va.1 ʔda:p.8
1.44	stone, rock	fin.1 la:u.4
1.45	earthquake	lap.7
1.51	sky	him.5; ku.6 pa:ŋ.6
1.52	sun	ńi.2
1.53	moon	ləm.1
1.54	star	fa.3
1.55	lightning	lap.7 mu:n.1
1.56	thunder	fin.1
1.57	lightning (as striking)	ću.5
1.58	storm	tweŋ.5
1.59	rainbow	la:k.8 pa:k.8
1.61	light (noun)	thian.5 khi.4
1.62	darkness	vi.1
1.63	shade, shadow	ma.2 vi.1
1.64	dew	kwan.2
1.71	air	vuʔ.5
1.72	wind	ta:u.3
1.73	cloud	ta:u.3
1.74	fog	tjən.3 vi.1
1.75	rain (noun)	ʔdap.7 vi.1
1.76	snow (noun)	koŋ.1 vi.1
1.77	ice	nit.7
1.78	weather	tha:n.5
1.81	fire	zən.1
1.82	flame (noun)	ai.1 ma:n.1
1.83	smoke (noun)	la:ʔ.8 piəʔ.8
1.84	ashes	ai.1 ma:n.1
1.841	embers	la:ʔ.8 piəʔ.8
1.851	burn (vb trans)	la:ʔ.8 ma:n.1; mi.2
1.852	burn (vb intrans)	ai.1 cɔ.2; ai.1 nɔ:m.1
1.86	light, kindle, ignite	la:ʔ.8 piəʔ.8
1.861	extinguish	ai.1 cɔ.2; ai.1 nɔ:m.3
1.87	match (noun)	la:ʔ.8 će.3
1.88	firewood	la:ʔ.8 će.3
1.89	charcoal	ka.6 la:u.4
2.1	person, human being	lja.3
2.21	man (vs. woman)	vɛ.4 wa:ŋ.3
2.22	woman	li.2 hun.4
2.23	male	tɛ.2
2.24	female	ni.4
2.25	boy	tɛ.2 ni.4
2.251	young man (adolescent)	la:ʔ.8 ma:n.1
2.26	girl	la:ʔ.8 piəʔ.8
2.261	young woman (adolescent)	ka:ŋ.1 lən.2
2.27	child	va:i.4 nuŋ.4
2.28	infant, baby	va:i.4
2.31	husband	nuŋ.4
2.32	wife	vɛ.2 nuŋ.4
2.33	marry	vɛ.2
2.34	marriage, wedding	nuŋ.4; la:ʔ.8 piəʔ.8
2.341	divorce	la:ʔ.8 tu.2 ma.5
2.35	father	kɔŋ.5
2.36	mother	kɔŋ.5
2.37	parents	pa.2
2.38	married man	pa.2
2.39	married woman	la:ʔ.8 ćha:n.1
2.41	son	la:ʔ.8 ćha:n.1 piəʔ.8
2.42	daughter	ɔ.1; tja.1; cu.2
2.43	offspring (son or daughter)	luŋ.2
2.44	brother	luŋ.2
2.444	older brother	ku.4; vai.6
2.445	younger brother	ni.4 la:ʔ.8 kwi.2
2.45	sister	pa.3; ku.4
2.454	older sister	la:ʔ.8 va:i.4; la:ʔ.8 nuŋ.4
2.455	younger sister	la:ʔ.8 va:i.4; la:ʔ.8 nuŋ.4
2.456	sibling	kɔŋ.1 pa.2
2.458	twins	ka:ŋ.1 lən.2
2.46	grandfather	tɛ.2
2.461	old man	tɛ.2
2.47	grandmother	ni.4
2.471	old woman	ni.4; ni.4 kə.6 la:u.4
2.48	grandson	la:ʔ.8 za:u.4
2.49	granddaughter	la:ʔ.8 za:u.4
2.51	uncle	la:ʔ.8 lja.3
2.511	mother's brother	la:ʔ.8 lja.3
2.512	father's brother	ta.5
2.52	aunt	ma.3
2.521	mother's sister	la:ʔ.8 ma:n.1
2.522	father's sister	la:ʔ.8 piəʔ.8
2.53	nephew	la:ʔ.8 kun.3
2.54	niece	ti.2 po.2 ma:i.5
2.55	cousin	ai.1 ko.3 tɔ:k.8
2.56	ancestors	va:i.4 nuŋ.4
2.57	descendants	ja:n.1
2.61	father-in-law (of a man)	he.2
2.611	father-in-law (of a woman)	ŋ.2
2.62	mother-in-law (of a man)	man.2
2.621	mother-in-law (of a woman)	ne.1
2.63	son-in-law (of a man)	na:u.1
2.631	son-in-law (of a woman)	ne.1
2.64	daughter-in-law (of a man)	ja.1 ai.1 na:u.1; ja.1 ai.1 ne.1
2.641	daughter-in-law (of a woman)	se.1
2.71	stepfather	ja.1 ai.1 se.1
2.72	stepmother	te.1
2.73	stepson	tɔ.1
2.74	stepdaughter	sai.3; ta:ʔ.8
