entry_id	trans_english	Serbo-Croatian_Phonemic
12.35	end	kraj, (konac)
12.352	pointed	šiljat
12.353	edge	ivica, rub; oštrica; brid
12.36	side	strana; bok
12.37	middle, center	sredina; srednji
12.41	right (side)	desni
12.42	left (side)	l(ij)evi
12.43	near (adv)	blizu
12.44	far (adv)	daleko
12.45	east	istok
12.46	west	zapad
12.47	north	s(j)ever
12.48	south	jug
12.53	grow	rasti
12.54	measure	m(j)eriti
12.541	span, fathom	ped, pedalj; razmak, raspon; hvat
12.55	large, big	velik, krupan
12.56	small, little	mali; malen; sitan
12.57	long	dug; dugačak
12.58	tall	visok
12.59	short	kratak
12.61	wide, broad	širok
12.62	narrow	uzak; t(j)esan
12.63	thick (in dimension)	debeo, gust
12.65	thin (in dimension)	tanak
12.67	deep	dubok
12.68	shallow	plitak
12.71	flat	pljosnat; ravan
12.73	straight	prav, ravan
12.74	crooked	kriv
12.75	hook	kuka
12.76	corner	ugao; kut; ćošak
12.77	cross	krst/ križ
12.78	square	kvadrat
12.81	round	okrugao
12.82	circle	krug
12.83	sphere, ball	kugla, sfera
12.84	line	linija; crta
12.85	hole	rupa
12.92	like, similar	sličan, nalik
12.93	change	prom(ij)eniti (se) ~ m(ij)enjati (se)
13.0	zero, nothing	nula; ništa
13.1	one	jedan
13.2	two	dva
13.3	three	tri
13.4	four	četiri
13.5	five	pet
13.6	six	šest
13.7	seven	sedam
13.8	eight	osam
13.9	nine	devet
13.10	ten	deset
13.101	eleven	jedanaest
13.102	twelve	dvanaest
13.103	fifteen	petnaest
13.104	twenty	dvadeset
13.105	hundred	sto
13.106	thousand	hiljada/ tisuća
13.107	count	brojati
13.14	every, all	svaki; svi
13.15	much, many	mnogo
13.16	more	više
13.17	little (quantity), few	malo
13.18	enough	dosta, dovoljno
13.181	some	nešto; nekoliko; neki
13.19	multitude, crowd	mnoštvo, bezbroj; gužva
13.21	full	pun
13.22	empty	prazan, pust
13.23	part, piece	deo/ dio; komad, parče
13.24	half	po/ pol, pola, polovina/ polovica
13.33	alone, only	sam; jedini; samo
13.34	first	prvi
13.35	last	poslednji/ posljednji; zadnji
13.36	second	drugi
13.37	pair	par
13.38	two times	dva puta
13.42	third	treći
13.44	three times	tri puta
14.11	time	vr(ij)eme
14.12	age	dob; doba, v(ij)ek
14.13	new	nov
14.14	young	mlad
14.15	old	star
14.16	early	rano, rani
14.17	late	kasno; pozno; dockan
14.18	now	sad(a)
14.19	immediately	odmah, sm(j)esta
14.21	swift, fast, quick	brz; hitar
14.22	slow	spor, polako
14.23	hasten, hurry	žuriti (se), hitati; hit(j)eti, brzati
14.24	retard, delay	okl(ij)evati; usporiti; odugovlačiti; odložiti; odgoditi
14.25	begin, beginning	početi; početak
14.252	last, endure	trajati
14.26	end (temporal)	kraj, završetak
14.27	finish	završiti; dovršiti
14.28	cease, stop	prestati
14.29	ready	spreman; gotov
14.31	always	uv(ij)ek
14.32	often	često
14.33	sometimes	ponekad(a), katkad(a)
14.331	soon	uskoro, skoro
14.332	long-time (for a)	dugo
14.34	never	nikad(a)
14.35	again	opet, ponovo
14.41	day	dan
14.42	night	noć
14.43	dawn	zora
14.44	morning	jutro
14.45	noon, midday	podne
14.451	afternoon	popodne, pos(ij)e podne
14.46	evening	veče/ večer
14.47	today	danas
14.48	tomorrow	sutra
14.481	day-after-tomorrow	prekosutra
14.49	yesterday	juče/ jučer
14.491	day-before-yesterday	prekjuče/ prekjučer
14.51	hour	sat, čas
14.53	clock, timepiece	sat, časovnik
14.61	week	ned(j)elja/ tjedan, sedmica
14.62	Sunday	ned(j)elja
14.63	Monday	poned(j)eljak
14.64	Tuesday	utorak
14.65	Wednesday	sr(ij)eda
14.66	Thursday	četvrtak
14.67	Friday	petak
14.68	Saturday	subota
14.71	month	m(j)esec
14.73	year	godina
14.74	winter	zima
14.75	spring	proleće/ proljeće
14.76	summer	leto/ ljeto
14.77	autumn	jesen
14.78	season	godišnje doba; sezona
15.21	smell (vb intrans)	mirisati
15.212	sniff	mirisati, njušiti
15.22	smell (vb trans)	mirisati
15.25	fragrant, good smelling	mirisav
15.26	stinking, bad smelling	smrdljiv; smradan
15.31	taste	okusiti; kušati; probati
15.35	sweet	sladak
15.36	salty	slan
15.37	bitter	gorak
15.38	acid, sour	kiseo
15.39	brackish	slan
15.41	hear	čuti
15.42	listen	slušati
15.44	sound, noise	zvuk; šum; buka; galama
15.45	loud	glasan
15.46	quiet, silence	tišina; mir
15.51	see	vid(j)eti
15.52	look, look at	gledati
15.55	show	pokazati
15.56	shine	blistati, sijati, svetleti (se)/ svijetliti (se)
15.57	bright	sv(ij)etao; sjajan
15.61	color	boja
15.62	light (in color)	sv(ij)etao
15.63	dark (in color)	taman
15.64	white	beo/ bijel
15.65	black	crn
15.66	red	crven
15.67	blue	plav, modar
15.68	green	zelen
15.69	yellow	žut
15.71	touch	dotaći; dirati
15.712	pinch	štipati
15.72	feel	os(j)etiti; pipati
15.74	hard	tvrd
15.75	soft	mek(an)
15.76	rough	hrapav
15.77	smooth	gladak
15.78	sharp	oštar
15.79	blunt, dull	tup
15.81	heavy	težak
15.82	light (in weight)	lak, lagan
15.83	wet, damp	mokar; vlažan
15.84	dry	suh/ suv
15.85	hot	vruć
15.851	warm	topao
15.86	cold	hladan
15.87	clean	čist
15.88	dirty, soiled	prljav
15.89	wrinkled	izboran; izgužvan
16.11	soul, spirit	duša; duh
16.15	surprised, astonished	iznenadjen; začudjen, zaprepašćen
16.18	good fortune, luck	sreća
16.19	misfortune, bad luck	nesreća
16.23	joyful, glad, happy	radostan; srećan/ sretan; veseo
16.25	laugh	smejati se/ smijati se
16.251	smile	sm(ij)ešiti se
16.26	play	igrati se
16.27	love	voleti/ voljeti
16.29	kiss	(po)ljubiti
16.3	embrace	(za)grliti (se)
16.31	pain	bol; patnja
16.32	grief, sorrow, sadness	tuga; žalost
16.33	anxiety, worry	briga, t(j)eskoba
16.34	regret, be sorry	žaliti; kajati se
16.35	pity	sažaliti (se)
16.37	cry, weep	plakati
16.38	tear (noun)	suza
16.39	groan	stenjati
16.41	hate	mrzeti/ mrziti
16.42	anger	(na)ljutiti; gnev/ gnjev; ljutnja; srdžba
16.44	envy, jealousy	zavid(j)eti; zavist, ljubomora
16.45	shame (noun)	stid; sram
16.48	proud	ponosan; ponosit; ohol
16.51	dare	sm(j)eti; odvažiti se
16.52	brave	hrabar; odvažan
16.53	fear, fright	strah; bojazan
16.54	danger	opasnost
16.62	desire, want	želeti/ željeti; ht(j)eti; žud(j)eti
16.622	choose	izabrati, birati
16.63	hope	nada
16.65	faithful	v(j)eran; odan
16.66	true	istinit; tačan/ točan; prav(i)
16.67	lie, tell lies	laž; lagati
16.68	deceit	pr(ij)evara, obmana
16.69	forgive	oprostiti
16.71	good	dobar
16.72	bad	loš, rdjav; nevaljao/ nevaljan
16.73	right, correct	tačan/ točan, prav; pravilan
16.74	wrong	pogrešan
16.76	fault	krivica, krivnja
16.77	mistake, error	(po)greška; zabluda
16.78	blame	(o)kriviti; krivica, odgovornost
16.79	praise	(po)hvaliti; pohvala
16.81	beautiful	l(ij)ep; krasan
16.82	ugly	ružan
16.83	greedy	lakom, pohlepan
16.84	clever	v(j)ešt; pametan
17.11	mind	um
17.13	think (= reflect)	misliti, razmišljati
17.14	think (= be of the opinion)	misliti
17.15	believe	v(j)erovati
17.16	understand	razum(j)eti; shvatiti ~ shvatati/ shvaćati
17.17	know	znati; poznavati
17.171	guess	nagadjati, pogoditi
17.172	imitate	oponašati, imitirati
17.18	seem	činiti se, izgledati
17.19	idea, notion	misao, ideja; pojam
17.21	wise	mudar
17.22	foolish, stupid	lud; glup
17.23	insane, crazy	lud; mahnit
17.24	learn	(na)učiti
17.242	study	učiti; proučavati; studirati
17.25	teach	učiti; predavati
17.26	pupil	učenik
17.27	teacher	učitelj, nastavnik, profesor
17.28	school	škola
17.31	remember	s(j)etiti se; pamtiti
17.32	forget	zaboraviti
17.34	clear, plain	jasan; jednostavan, prost
17.35	obscure	nejasan, nerazumljiv
17.36	secret	tajna; tajni
17.37	sure, certain	siguran
17.38	explain	objasniti
17.41	intention, purpose	nam(j)era
17.42	cause	prouzrokovati; uzrok
17.43	doubt	sumnjati; sumnja/ dvojba
17.44	suspect	sumnjati
17.441	betray	izdati; iznev(j)eriti; odati
17.45	need, necessity	trebati; potreba
17.46	easy	lak
17.47	difficult	težak
17.48	try, attempt	pokušati; probati
17.49	way, manner	način
17.51	and	i
17.52	because	zato što, jer
17.53	if	ako, ukoliko
17.54	or	ili
17.55	yes, affirmative	da
17.56	no, negative	ne
17.61	how?	kako
17.62	how many?	koliko
17.63	how much?	koliko
17.64	what?	šta/ što
17.65	when?	kad(a)
17.66	where?	gd(j)e
17.67	which?	koji
17.68	who?	ko/ tko
17.69	why?	zašto
18.11	voice	glas
18.12	sing	p(j)evati
18.13	shout, cry out	vikati
18.15	whisper	šaptati, šaputati
18.16	mumble	mrmljati, mumlati, mumljati
18.17	whistle	zviždati
18.18	shriek, screech	vriskati, derati se
18.19	howl	urlati, urlikati; zavijati
18.21	speak, talk	govoriti, pričati
18.211	stutter, stammer	zamuckivati
18.22	say	kazati; reći, govoriti
18.221	tell story	pričati
18.222	speech (make a)	govor
18.23	silent (be)	ćutati/ ćutjeti/ šutjeti, mučati
18.24	language	jezik
18.26	word	r(ij)eč
18.28	name	ime
18.31	ask (question, inquire)	pitati
18.32	answer	odgovoriti
18.33	admit, confess	priznati
18.34	deny	odreći, poreći
18.35	ask, request	moliti; tražiti
18.36	promise	obećati
18.37	refuse	odbiti; uskratiti
18.38	forbid	zabraniti
18.39	rebuke, scold	pokoriti
18.41	call (=summon)	zvati
18.42	call (=name)	(na)zvati (se)
18.43	announce	objaviti, oglasiti, obznaniti
18.44	threaten	pr(ij)etiti
18.45	boast	hvaliti se, hvalisati se
18.51	write	pisati
18.52	read	čitati
18.56	paper	papir; hartija
18.57	pen	hemijska olovka; pero
18.61	book	knjiga
18.67	poet	p(j)esnik
18.71	flute	flauta
18.72	drum	bubanj
18.73	horn, trumpet	truba
18.74	rattle	zvečka, čegrtaljka
19.11	country	zemlja
19.12	one's native country	domovina; otad͜žbina
19.15	city, town	grad; varoš
19.16	village	selo
19.17	boundary	granica
19.21	people (populace)	narod
19.23	tribe, clan	pleme; rod
19.24	chief, chieftain	vodja, poglavar; poglavica
19.25	staff, walking stick	štap
19.31	rule, govern	vladati, upravljati
19.32	king, ruler	kralj; vladar
19.33	queen	kraljica
19.36	noble, nobleman	plemić
19.37	citizen, subject	gradjanin; podanik
19.41	master	gospodar; gazda
19.42	slave	rob
19.43	servant	sluga
19.44	freeman	slobodan čov(j)ek
19.45	command, order	zapov(ij)edati; narediti
19.46	obey	(po)slušati
19.47	let, permit	dozvoliti, pustiti
19.51	friend, companion	prijatelj, drug
19.52	enemy	neprijatelj
19.54	neighbor	sus(j)ed, komšija
19.55	stranger	stranac; tudjinac
19.56	guest	gost
19.57	host	domaćin
19.58	help, aid	pomoći
19.59	hinder, prevent	smetati, ometati; (s)pr(ij)ečiti; onemogućiti
19.61	custom	običaj; navika, navada
19.62	strife, quarrel	razdor; svadja
19.63	conspiracy, plot	zav(j)era; urota
19.65	meet	sresti (se), upoznati (se)
19.72	prostitute	prostitutka, kurva
20.11	fight (vb)	boriti se, biti se, tući se
20.13	war, battle	rat; bitka; borba
20.14	peace	mir
20.15	army	vojska; armija
20.17	soldier	vojnik; ratnik
20.21	weapons, arms	oružje
20.22	club	buzdovan, budža, batina
20.222	battle-ax	bojna s(j)ekira
20.23	sling	praćka, praća
20.24	bow	luk
20.25	arrow	str(ij)ela
20.26	spear	koplje; sulica
20.27	sword	mač
20.28	gun, cannon	puška; top
20.31	armor (defensive)	oklop
20.33	helmet	šlem/ kaciga
20.34	shield	štit
20.35	fortress	tvrdjava
20.36	tower	toranj
20.41	victory	pob(j)eda
20.42	defeat	poraziti, pob(j)editi; poraz
20.43	attack	napadati; navaliti; napad; navala
20.44	defend	(od)braniti (se)
20.45	retreat	povući se, ustupiti, odstupiti
20.46	surrender	predati (se)
20.47	captive, prisoner	zarobljenik; sužanj
20.471	guard, sentinel	čuvar; stražar
20.48	booty, spoils	pl(ij)en
20.49	ambush	zas(j)eda
20.51	fisherman	ribar, ribolovac, alas
20.52	fishhook	udica
20.53	fishing line	
20.54	fishnet	mreža
20.55	fish trap	klopka za ribu
20.56	bait	mamac
20.61	hunt	loviti
20.62	shoot	ustr(ij)eliti; paliti, pucati
20.63	miss (target)	promašiti
20.64	trap (noun)	klopka, zamka
20.65	trap (vb)	postaviti zamku (klopku); loviti zamkom (klopkom)
21.11	law	zakon; pravo
21.15	court	sud
21.16	judge (vb)	suditi
21.17	judgment	presuda; osuda
21.18	judge (noun)	sudija/ sudac
21.21	plaintiff	tužilac/ tužitelj
21.22	defendant	(op)tuženi, (op)tuženik
21.23	witness	sv(j)edok
21.24	swear	zakleti se; priseći
21.25	oath	zakletva, prisega
21.31	accuse	(op)tužiti
21.32	condemn	osuditi
21.33	convict (vb)	osuditi
21.34	acquit	osloboditi
21.35	guilty	kriv
21.36	innocent	nevin
21.37	penalty, punishment	kazna
21.38	fine	globa, kazna
21.39	prison, jail	zatvor
21.42	murder	ubistvo/ ubojstvo
21.43	adultery	preljuba/ preljub
21.44	rape	silovanje
21.46	arson	nam(j)erna paljevina
21.47	perjury	krivokletstvo
21.51	steal	(u)krasti
21.52	thief	lopov, tat
22.11	religion	v(j)era, religija, v(j)eroispov(ij)ed, v(j)eroispov(ij)est
22.12	God	bog
22.13	temple, church	hram; crkva
22.14	altar	oltar, žrtvenik
22.15	sacrifice, offering	žrtva
22.16	worship	vršiti božju službu; (po)štovati; obožavati
22.17	pray	moliti se
22.18	priest	sveštenik/ svećenik, pop
22.19	holy, sacred	svet
22.22	preach	propov(ij)edati
22.23	bless	blagosloviti
22.24	curse	prokleti
22.26	fast (vb)	postiti
22.31	heaven	nebo
22.32	hell	pakao
22.35	demon (evil spirit)	djavo, vrag, demon, zloduh
22.37	idol	idol; kumir
22.42	magic, witchcraft, sorcery	čar; magija, madjija
22.43	sorcerer, witch	vrač, vračar ~ vračara, vračarica; čarobnjak, v(j)eštac ~ v(j)eštica
22.44	fairy, elf	vila; čarobnica
22.45	ghost, phantom	avet; utvara
22.47	omen, portent	znamenje; nagov(j)eštaj
