entry_id	trans_english	Panare_Phonemic
12.32	low	kawə ehke
12.33	top	-ipipu-n
12.34	bottom	y-unwan yeʔɲe
12.35	end	kiɲə
12.352	pointed	tɨ-počiri-ke
12.353	edge	-ɨn-ta-n
12.36	side	-yooro-e
12.37	middle, center	ikitya
12.41	right (side)	arʸe yaka
12.42	left (side)	poe yaka
12.43	near (adv)	ɲenča ehke
12.44	far (adv)	ɲenča
12.45	east	ehčerekun wosanto
12.46	west	ehčerekun wənto
12.47	north	ehčerekun wosanto yooroe
12.48	south	
12.53	grow	-uwəhsa-
12.54	measure	-apə-
12.541	span, fathom	--
12.55	large, big	tosen-pe; tosan-pe
12.56	small, little	pɨɨča; ari-pɨɨča
12.57	long	t-ankəča-ke
12.58	tall	kawə
12.59	short	kawə ehke
12.61	wide, broad	t-ankəča-ke
12.62	narrow	t-ankəča-ke ehke
12.63	thick (in dimension)	asɨɨ-pe
12.65	thin (in dimension)	pityaka-sa
12.67	deep	yukwai-pe
12.68	shallow	yukwai-pe ehke
12.71	flat	kanapai-ke
12.73	straight	təhsan
12.74	crooked	toʔmeik
12.75	hook	wənətə
12.76	corner	ty-əwan
12.77	cross	--
12.78	square	--
12.81	round	tɨ-muruhku-ke
12.82	circle	
12.83	sphere, ball	[perota]
12.84	line	
12.85	hole	tahta
12.92	like, similar	mɨnkaik
12.93	change	-eɲakantə-
13.0	zero, nothing	wehke
13.1	one	tyityasa
13.2	two	asak
13.3	three	asonwa
13.4	four	asaʔnan
13.5	five	eɲa-katoome
13.6	six	tyityasa eɲa-katoe-tyo
13.7	seven	asak ku-eɲa-katoe-tyo
13.8	eight	asaʔnan kiʔɲe
13.9	nine	asaʔnan eɲa-katoe-tyo
13.10	ten	(asa)pana eɲa yɨpun
13.101	eleven	tyityasa pata yɨpun
13.102	twelve	asak pata yɨpun
13.103	fifteen	pata-katoome
13.104	twenty	(asa)pana pata yɨpun
13.105	hundred	[sien] pe
13.106	thousand	[mil] pe
13.107	count	yuʔ(-ku)
13.14	every, all	atawən
13.15	much, many	kure
13.16	more	-yimityaka
13.17	little (quantity), few	kure ehke ča
13.18	enough	čanko; mainči
13.181	some	kura pɨkapɨ
13.19	multitude, crowd	kure eʔɲapa
13.21	full	tuke
13.22	empty	ataarɨʔka
13.23	part, piece	iʔyahpə
13.24	half	t-usu-kɨtə
13.33	alone, only	-nkən
13.34	first	paken
13.35	last	kiɲə
13.36	second	ty-asaʔna-n
13.37	pair	asaʔnən
13.38	two times	asak kiɲo pək
13.42	third	ty-asonwa-n
13.44	three times	asonwo pək
14.11	time	
14.12	age	
14.13	new	pik, y-an-se
14.14	young	pih-pe
14.15	old	yuwačon-pe
14.16	early	
14.17	late	
14.18	now	amenkən
14.19	immediately	amenkən sa putuk
14.21	swift, fast, quick	peʔɲe
14.22	slow	tamai-pe
14.23	hasten, hurry	peʔɲe (+ verb)
14.24	retard, delay	-urupa-(-mɨ)(-mi)
14.25	begin, beginning	-iʔyahtə-; iʔyahtətoʔ
14.252	last, endure	arikɨʔka
14.26	end (temporal)	-iriʔma-
14.27	finish	-ɨmɨnka-
14.28	cease, stop	-ɨpɨnka-; -os-awaama-
14.29	ready	
14.31	always	
14.32	often	tuwəʔnaamak
14.33	sometimes	tyuwiʔyɨnčaaɲe
14.331	soon	peʔɲe
14.332	long-time (for a)	tuwəʔnaamak
14.34	never	
14.35	again	t-yako-pe
14.41	day	wataweikasa
14.42	night	sɨpaawə
14.43	dawn	-ataweika-
14.44	morning	anawənkən
14.45	noon, midday	wewa
14.451	afternoon	koʔmanpe
14.46	evening	koʔmanpe
14.47	today	muya muh
14.48	tomorrow	anawən
14.481	day-after-tomorrow	koeɲan
14.49	yesterday	koeɲan
14.491	day-before-yesterday	koeɲan
14.51	hour	[ora]
14.53	clock, timepiece	ehčerekun ɲityo
14.61	week	[semana]
14.62	Sunday	
14.63	Monday	
14.64	Tuesday	
14.65	Wednesday	
14.66	Thursday	
14.67	Friday	
14.68	Saturday	
14.71	month	wənə riʔma-
14.73	year	onkoma riʔma-
14.74	winter	kano-nya
14.75	spring	kanoʔ ukampe
14.76	summer	kamaawə
14.77	autumn	
14.78	season	
15.21	smell (vb intrans)	-ɨsɨɨwahta-
15.212	sniff	
15.22	smell (vb trans)	-eʔmu-
15.25	fragrant, good smelling	apasu-təpək; t-apo-ke
15.26	stinking, bad smelling	yahtəʔka; t-ɨkɨ-ke
15.31	taste	-apə-
15.35	sweet	t-ukatɨ-ke
15.36	salty	kasuh-pa
15.37	bitter	tuʔɲe
15.38	acid, sour	katahpe
15.39	brackish	kasuhpa
15.41	hear	-itya-
15.42	listen	-itya-
15.44	sound, noise	-yaipu
15.45	loud	t-apuʔmo-ke
15.46	quiet, silence	wehke tyaipu
15.51	see	-iɲei-
15.52	look, look at	-usəhpə-
15.55	show	ɲipo
15.56	shine	-učeɲama-
15.57	bright	oweka-tə
15.61	color	
15.62	light (in color)	
15.63	dark (in color)	tɨ-puru-ke
15.64	white	tamuʔɲe
15.65	black	tɨ-puru-ke
15.66	red	t-ukin-ke
15.67	blue	t-akuʔya-ke
15.68	green	t-akuʔya-ke
15.69	yellow	t-ukin-ke
15.71	touch	-apə-; -eɲah-pa-
15.712	pinch	-ihka-; -ipiri-kɨtə-
15.72	feel	-apə-
15.74	hard	karatah-pe
15.75	soft	karatah-pe ehke
15.76	rough	t-ərəʔrə-če
15.77	smooth	t-ɨkarin-ke
15.78	sharp	t-ɨyɨh-ke
15.79	blunt, dull	t-ɨyɨ-ke ehke
15.81	heavy	taməʔɲe
15.82	light (in weight)	taməʔɲe ehke
15.83	wet, damp	t-ərəmə-če
15.84	dry	t-ukočike-če
15.85	hot	katapəhtə
15.851	warm	
15.86	cold	t-ɨʔnatə-ke
15.87	clean	tɨpuru-ke ehke
15.88	dirty, soiled	tɨpuru-ke
15.89	wrinkled	yu-weh-pityu-sa
16.11	soul, spirit	iɲə
16.15	surprised, astonished	yos-awantəka-sa
16.18	good fortune, luck	
16.19	misfortune, bad luck	
16.23	joyful, glad, happy	aya-pe
16.25	laugh	-os-onoʔ(-pɨ)(-pi)
16.251	smile	
16.26	play	-os-amaɲi(-pɨ)(-pi)
16.27	love	-ɨpɨɨma-
16.29	kiss	-uwaʔkɨmiʔ(-kɨ)(-ki)
16.3	embrace	-uwaʔkɨmiʔ(-kɨ)(-ki)
16.31	pain	-munko
16.32	grief, sorrow, sadness	ayape ehke yučin
16.33	anxiety, worry	-usuruku-
16.34	regret, be sorry	
16.35	pity	
16.37	cry, weep	-tyei(-mɨ)(-mi)
16.38	tear (noun)	t-yon usukun
16.39	groan	-ɨkara(-pɨ)(-pi)
16.41	hate	-uiyaʔ-ka; aɲ-ipi-ʔka
16.42	anger	wɨsɨpe
16.44	envy, jealousy	-os-awanpika-
16.45	shame (noun)	-eʔyapa (-mɨ: -mi)
16.48	proud	-otaʔrə-
16.51	dare	
16.52	brave	nkasɨmɨʔ-ka
16.53	fear, fright	yɨnkasɨ
16.54	danger	awatə
16.62	desire, want	iʔ(-pɨ)(-pi)
16.622	choose	-imenka-
16.63	hope	t-yɨpəh-t-yon
16.65	faithful	
16.66	true	ayan
16.67	lie, tell lies	asu; t-ičemaʔ-ke
16.68	deceit	muʔna-tə
16.69	forgive	t-onke-če
16.71	good	ayape
16.72	bad	arʸɨpɨ-pe
16.73	right, correct	t-ah-se ehke
16.74	wrong	t-ah-se
16.76	fault	
16.77	mistake, error	t-ah-se
16.78	blame	-aʔkama-
16.79	praise	ayape y-aʔkama-
16.81	beautiful	korʸa-pe
16.82	ugly	taʔme
16.83	greedy	
16.84	clever	tinča-ke
17.11	mind	
17.13	think (= reflect)	-uč-inča-ma-
17.14	think (= be of the opinion)	
17.15	believe	
17.16	understand	t-inča
17.17	know	t-inča
17.171	guess	
17.172	imitate	-ɨkuʔ(-ku)
17.18	seem	
17.19	idea, notion	
17.21	wise	t-inča-ke
17.22	foolish, stupid	t-inča-ke ehke
17.23	insane, crazy	t-inča-ke ehke
17.24	learn	[-ɨpirentya-]
17.242	study	[-ɨpirentya-]
17.25	teach	[-ɨpirentya-ma-]
17.26	pupil	[pirentya-ɲe]
17.27	teacher	[pirentya-ma-ɲe]
17.28	school	[pirentya-nəto]
17.31	remember	-uč-inča-ma-
17.32	forget	-on(ke)-
17.34	clear, plain	katapon
17.35	obscure	katapon ehke
17.36	secret	
17.37	sure, certain	ayan kiɲe
17.38	explain	-aʔkama- arʸipeɲe
17.41	intention, purpose	-ɲepe; -toʔpe
17.42	cause	-ɲepe; -toʔpe
17.43	doubt	
17.44	suspect	
17.441	betray	-uʔ(-tu)
17.45	need, necessity	
17.46	easy	aʔroka-tə ehke
17.47	difficult	aʔroka-tə; wenkama-tə
17.48	try, attempt	-apə-
17.49	way, manner	mɨnkaik
17.51	and	-yako; yaʔnən; yaʔkən
17.52	because	-npək; -npan
17.53	if	-npək; -npan
17.54	or	
17.55	yes, affirmative	aye
17.56	no, negative	čiʔka
17.61	how?	sɨnkae
17.62	how many?	əhsa
17.63	how much?	əhsa tɨnse
17.64	what?	nəhpa
17.65	when?	sɨnkae-ya; sɨnka-ya-wo
17.66	where?	əhtə; əhtə-na; əhtɨ-no
17.67	which?	tɨnapa
17.68	who?	nək
17.69	why?	əhkaik čɨnpək
18.11	voice	-yaipu
18.12	sing	waare(-mɨ)(-mi)
18.13	shout, cry out	yɨkarah(pətɨn)
18.15	whisper	
18.16	mumble	
18.17	whistle	-ityakin(-mɨ)(-mi)
18.18	shriek, screech	yɨkɨhtɨ(-mɨ)(-mi)
18.19	howl	
18.21	speak, talk	-oromaepun(-mɨ)(-mi)
18.211	stutter, stammer	-ɨnkɨʔ-pətɨ-n
18.22	say	ka-
18.221	tell story	oromae yaʔkama-
18.222	speech (make a)	
18.23	silent (be)	ntapoʔka
18.24	language	oromaepu
18.26	word	oromaepu
18.28	name	-ičeik
18.31	ask (question, inquire)	-aʔkapo-
18.32	answer	
18.33	admit, confess	-os-aʔkama-
18.34	deny	-ɨnanɨʔ(-pɨ)(-pi)
18.35	ask, request	-aʔkapo-
18.36	promise	
18.37	refuse	-ɨnanɨʔ(-pɨ)(-pi)
18.38	forbid	-ɨnanɨʔ(-pɨ)(-pi)
18.39	rebuke, scold	-ompiʔ(ku)
18.41	call (=summon)	-aʔkapo-
18.42	call (=name)	-ičeihtyə-
18.43	announce	-aʔkama-
18.44	threaten	
18.45	boast	-otaʔrə-
18.51	write	-amenkə-
18.52	read	[kapeere] ɲei-
18.56	paper	[kapeere]
18.57	pen	[kapeere] y-amenkə-to
18.61	book	[kapeere]
18.67	poet	
18.71	flute	aramataimə; ariʔrik
18.72	drum	
18.73	horn, trumpet	kaaču
18.74	rattle	[maraka]
19.11	country	pata
19.12	one's native country	yɨ-pata-n
19.15	city, town	tato pata-n
19.16	village	pata
19.17	boundary	
19.21	people (populace)	eʔɲapa
19.23	tribe, clan	
19.24	chief, chieftain	iʔyan
19.25	staff, walking stick	iye
19.31	rule, govern	-apoʔma-
19.32	king, ruler	--
19.33	queen	--
19.36	noble, nobleman	
19.37	citizen, subject	
19.41	master	-ičein
19.42	slave	n-apoʔma-n
19.43	servant	n-apoʔma-n
19.44	freeman	
19.45	command, order	apoʔma-nə-toʔ
19.46	obey	-os-apəʔ(-sɨ)
19.47	let, permit	ənaanɨpɨʔka
19.51	friend, companion	-powənan
19.52	enemy	-
19.54	neighbor	-powənan
19.55	stranger	tonkonan
19.56	guest	panakon
19.57	host	
19.58	help, aid	-uwayuupa-
19.59	hinder, prevent	-ɨnaama-; -ahtə-
19.61	custom	
19.62	strife, quarrel	-us-ənə-
19.63	conspiracy, plot	
19.65	meet	-apoo-
19.72	prostitute	
20.11	fight (vb)	-us-ənə-
20.13	war, battle	-us-ənə-
20.14	peace	as-ɨnəʔ-ka weʔ-n-toʔ
20.15	army	[waaria]
20.17	soldier	[waaria]
20.21	weapons, arms	-kon
20.22	club	iye
20.222	battle-ax	
20.23	sling	tunko puʔmato
20.24	bow	kaʔka
20.25	arrow	kaʔka poin mən
20.26	spear	[ərainčihtyə]
20.27	sword	[ehpaara]
20.28	gun, cannon	kapuuča
20.31	armor (defensive)	wəʔ-nanɨʔ-n-toʔ
20.33	helmet	arako
20.34	shield	wəʔ-nanɨʔ-n-to
20.35	fortress	
20.36	tower	
20.41	victory	tyɨ-pək wəh-sayuupa-toʔ
20.42	defeat	tyɨ-pək wəh-sayuupa-toʔ
20.43	attack	
20.44	defend	
20.45	retreat	
20.46	surrender	
20.47	captive, prisoner	
20.471	guard, sentinel	
20.48	booty, spoils	
20.49	ambush	
20.51	fisherman	kana y-an-ɲe pe mənək
20.52	fishhook	wənətə
20.53	fishing line	wənətə yači
20.54	fishnet	kana y-an-toʔ
20.55	fish trap	kana yanto
20.56	bait	kana yok
20.61	hunt	ataraama-
20.62	shoot	-uwə-; -ama-
20.63	miss (target)	-ikima-; -ɨɲama-
20.64	trap (noun)	
20.65	trap (vb)	
21.11	law	apoʔma-nəto
21.15	court	
21.16	judge (vb)	
21.17	judgment	
21.18	judge (noun)	
21.21	plaintiff	
21.22	defendant	
21.23	witness	
21.24	swear	
21.25	oath	
21.31	accuse	-aʔkama-
21.32	condemn	
21.33	convict (vb)	
21.34	acquit	
21.35	guilty	
21.36	innocent	
21.37	penalty, punishment	awa-nə-toʔ
21.38	fine	
21.39	prison, jail	mukuʔnto
21.42	murder	-ama-
21.43	adultery	
21.44	rape	
21.46	arson	
21.47	perjury	
21.51	steal	-imempa-
21.52	thief	timi-ɲe
22.11	religion	
22.12	God	marʸewaka
22.13	temple, church	mukuʔma-nə-toʔ
22.14	altar	
22.15	sacrifice, offering	
22.16	worship	
22.17	pray	
22.18	priest	
22.19	holy, sacred	
22.22	preach	
22.23	bless	-uwayuupa-
22.24	curse	-ihkimɨ(-kɨ)(-ki)
22.26	fast (vb)	
22.31	heaven	
22.32	hell	
22.35	demon (evil spirit)	mahtikiri; tukuəik
22.37	idol	
22.42	magic, witchcraft, sorcery	kowae t-uka-k
22.43	sorcerer, witch	iʔyan
22.44	fairy, elf	
22.45	ghost, phantom	koičamun
22.47	omen, portent	
